SW Version,2022.1
Date and Time Started,2024-Feb-01 17:31:00
Date and Time Ended,2024-Feb-01 17:31:12
Scan Name,Scan_3J3D3-1J3D0
Link Settings,
Reset RX After Applying Settings,false
Open Area,19584
Horizontal Opening,177
Horizontal Percentage,69.70
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251841,0.251903,0.251903,0.251872,0.251841,0.251841,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.248496,0.248879,0.251102,0.250584,0.2501,0.248879,0.25001,0.246673,0.248495,0.247765,0.246725,0.24608,0.245584,0.242083,0.237791,0.234212,0.248668,0.250676,0.24137,0.228321,0.241438,0.249411,0.25144,0.25181,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
96,0.211767,0.215195,0.228658,0.225802,0.223853,0.220397,0.219864,0.218653,0.216718,0.215369,0.212717,0.203606,0.188132,0.174545,0.16172,0.15782,0.195768,0.207269,0.17064,0.143013,0.160453,0.191317,0.220994,0.241616,0.250149,0.251593,0.251161,0.251224,0.25067,0.250211,0.250978,0.251655,0.251903
88,0.150208,0.150049,0.155546,0.155295,0.153348,0.152249,0.15305,0.149325,0.148452,0.142922,0.125758,0.108388,0.0901106,0.0734644,0.0598533,0.0553008,0.110125,0.126754,0.0729023,0.0316381,0.0414471,0.0530819,0.0692052,0.112813,0.156119,0.188227,0.199873,0.198942,0.196767,0.19104,0.195713,0.218481,0.246387
80,0.129043,0.128246,0.126626,0.126403,0.126241,0.125992,0.124544,0.118071,0.102516,0.085212,0.0661365,0.0459364,0.0311673,0.0210133,0.0121918,0.00759256,0.0141281,0.016724,0.00291662,0.000279073,0.000757587,0.00174191,0.00248424,0.00641928,0.0298537,0.0725818,0.105002,0.128976,0.134167,0.135317,0.13743,0.142684,0.167908
72,0.125933,0.125921,0.12592,0.12592,0.125673,0.123819,0.1149,0.0953609,0.0745911,0.0525014,0.032755,0.0187647,0.009143,0.00345557,0.00069512,9.2031e-05,0.00033391,0.000169876,1.90738e-06,2.38422e-07,3.57633e-07,5.96056e-07,7.15267e-07,5.591e-05,0.00297217,0.0246617,0.0644006,0.0980582,0.12166,0.125928,0.126068,0.126585,0.129813
64,0.12592,0.12592,0.12592,0.125673,0.122692,0.111789,0.0916564,0.0681114,0.0446454,0.0251508,0.0119005,0.00422508,0.000722539,6.49701e-05,1.90738e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000178459,0.00546869,0.0336156,0.0740795,0.106167,0.123624,0.125951,0.125967,0.125967
56,0.12592,0.12592,0.125828,0.124119,0.11408,0.0942376,0.0704448,0.0437863,0.0224205,0.0103652,0.00315778,0.000470645,1.31132e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.93397e-06,0.000940814,0.0131963,0.05031,0.087647,0.115269,0.1253,0.125967,0.125967
48,0.125925,0.12592,0.124572,0.116098,0.0950599,0.0677329,0.0396648,0.0187119,0.00720536,0.00170734,0.000139,1.66896e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.32599e-05,0.0026714,0.0221244,0.0620239,0.0965156,0.119627,0.125828,0.125967
40,0.126271,0.125366,0.117591,0.0960227,0.0674563,0.0386878,0.0162183,0.00541302,0.00100614,5.49563e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000251178,0.00727319,0.0359079,0.075075,0.105007,0.123239,0.125982
32,0.129205,0.121228,0.101687,0.0695737,0.0400621,0.0155277,0.00478263,0.000703584,2.30077e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.26501e-06,0.00138309,0.0161519,0.0506846,0.0864106,0.113312,0.12631
24,0.134738,0.110962,0.0803252,0.0474419,0.0186866,0.00553664,0.000830663,2.15772e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000154617,0.0060173,0.0306342,0.0673738,0.0993358,0.127304
16,0.14097,0.099092,0.0552871,0.0239889,0.00638268,0.00104965,2.5988e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.74186e-06,0.00149276,0.0144298,0.0453608,0.0851475,0.126924
8,0.14404,0.0848054,0.0329341,0.007908,0.00133218,3.92205e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000130179,0.00527593,0.0276624,0.072008,0.130039
0,0.144454,0.0770801,0.0200235,0.00250653,7.54606e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.66896e-06,0.00154676,0.0198211,0.0641664,0.135841
-8,0.144366,0.0745519,0.0196046,0.0022333,2.41999e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.54974e-06,0.001444,0.0194698,0.0642236,0.137209
-16,0.141265,0.0761273,0.0272853,0.00561937,0.000274424,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.08114e-05,0.00520666,0.0241243,0.0690965,0.137372
-24,0.134983,0.0855694,0.0430377,0.016965,0.00323575,0.000137331,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.53689e-07,0.00113823,0.0129304,0.0367197,0.0840018,0.135288
-32,0.128765,0.100881,0.0638215,0.031671,0.0114911,0.00163915,4.54194e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.62676e-05,0.00543686,0.023611,0.0583457,0.101284,0.131783
-40,0.127449,0.112817,0.089997,0.0565052,0.0273384,0.0102177,0.00139668,4.31544e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.19211e-06,0.00129773,0.0151797,0.0412644,0.0857755,0.116768,0.127071
-48,0.126715,0.121241,0.107179,0.0837,0.0502891,0.0249194,0.00925606,0.00137737,5.68637e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000180605,0.00755345,0.029379,0.0715155,0.108511,0.123935,0.126029
-56,0.126048,0.125396,0.119318,0.103308,0.0797497,0.050161,0.0250781,0.0100743,0.001686,0.000127556,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.70472e-05,0.00267474,0.0199044,0.0530574,0.0998391,0.121392,0.125828,0.125959
