SW Version,2022.2
Date and Time Started,2024-Feb-15 10:21:44
Date and Time Ended,2024-Feb-15 10:22:20
Scan Name,Scan_3J6D1-1J6D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,24192
Horizontal Opening,177
Horizontal Percentage,69.70
Vertical Opening,153
Vertical Percentage,64.52
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251748,0.250644,0.249651,0.250797,0.251347,0.237612,0.218956,0.230504,0.238675,0.247738,0.25101,0.25181,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.25022,0.250888,0.251872,0.251872,0.251903,0.25181,0.251872,0.251593,0.251624,0.251224,0.250823,0.248637,0.242162,0.225155,0.207979,0.197043,0.205515,0.20972,0.186621,0.165981,0.176304,0.179875,0.188002,0.204803,0.231757,0.247651,0.250402,0.251102,0.251563,0.251624,0.251779,0.251903,0.251872
104,0.219367,0.217873,0.236717,0.238157,0.233981,0.230515,0.228113,0.221468,0.218335,0.211996,0.1946,0.174349,0.160027,0.148083,0.133782,0.121583,0.150393,0.16298,0.104501,0.0738071,0.0826628,0.0913391,0.0987507,0.114826,0.132814,0.172813,0.207195,0.213736,0.217746,0.220897,0.226186,0.238782,0.251624
96,0.147669,0.146753,0.154764,0.154846,0.152339,0.149442,0.141451,0.125294,0.109862,0.0944626,0.0794299,0.0643633,0.0461623,0.0262658,0.0114403,0.00741898,0.0320727,0.0545091,0.0209216,0.00424189,0.00538047,0.00724482,0.0062475,0.00674246,0.0101239,0.0241221,0.0811812,0.129271,0.139269,0.142022,0.146376,0.164659,0.214199
88,0.127397,0.127556,0.127294,0.126725,0.122792,0.11154,0.0981865,0.0827768,0.0645646,0.0464967,0.0298389,0.0133112,0.00428647,0.000936642,8.63088e-05,5.24529e-06,0.00022674,0.00119271,0.000118973,3.93397e-06,6.07977e-06,4.05318e-06,5.48371e-06,7.98714e-06,2.7657e-05,0.00109209,0.0184992,0.0846272,0.122379,0.126138,0.126302,0.127486,0.140446
80,0.125924,0.125928,0.125832,0.122987,0.10926,0.0927691,0.0728401,0.0479979,0.0295916,0.0142431,0.00516887,0.00123944,0.000160935,6.67582e-06,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.08619e-05,0.00204185,0.0337604,0.10408,0.124795,0.125967,0.125975,0.126161
72,0.12592,0.12592,0.12373,0.110319,0.0902031,0.0638953,0.0375996,0.0203739,0.00729834,0.00198105,0.000338917,2.5988e-05,1.43053e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,9.90644e-05,0.00762343,0.0660305,0.116928,0.125835,0.125959,0.125967
64,0.125951,0.125396,0.116283,0.093583,0.0633655,0.0341443,0.0159119,0.00407988,0.000689398,6.95001e-05,2.86107e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.02659e-06,0.000974789,0.0265412,0.0980552,0.124198,0.125959,0.125967
56,0.125891,0.122809,0.10283,0.072809,0.0381288,0.0172837,0.00368613,0.000364071,2.70609e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000125529,0.00894954,0.0693236,0.116857,0.125743,0.125975
48,0.12532,0.113852,0.0828468,0.0453413,0.018361,0.00339907,0.000226382,7.15267e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.17239e-06,0.00186196,0.030946,0.101357,0.124071,0.126107
