SW Version,2022.2
Date and Time Started,2024-Feb-15 10:07:50
Date and Time Ended,2024-Feb-15 10:08:27
Scan Name,Scan_3J1D0-1J1D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,20672
Horizontal Opening,169
Horizontal Percentage,66.67
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251779,0.251378,0.251872,0.251872,0.251163,0.25004,0.251655,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.248174,0.250827,0.251872,0.251872,0.25181,0.251686,0.251593,0.250523,0.250341,0.24968,0.249114,0.249879,0.245801,0.243862,0.234085,0.229376,0.244003,0.24625,0.218581,0.204473,0.219208,0.228979,0.239665,0.247998,0.251102,0.251779,0.251934,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.190613,0.19841,0.227116,0.226519,0.223251,0.216044,0.212291,0.208473,0.207578,0.204212,0.198802,0.186542,0.164949,0.152688,0.137894,0.129034,0.181429,0.184154,0.129444,0.0929447,0.116908,0.128389,0.145441,0.180705,0.216598,0.236603,0.245779,0.246465,0.247012,0.24792,0.248642,0.250279,0.251841
96,0.143018,0.142058,0.143375,0.142637,0.139777,0.136239,0.13362,0.130573,0.126591,0.110878,0.0864565,0.0669498,0.0493512,0.033886,0.0170858,0.0100528,0.0548094,0.0699922,0.0124236,0.00264696,0.00700866,0.0098286,0.01203,0.0152128,0.0366833,0.0794369,0.125801,0.14461,0.151829,0.153606,0.160896,0.183934,0.241419
88,0.12761,0.127341,0.126741,0.126403,0.126151,0.125333,0.122678,0.11654,0.0959182,0.0717191,0.0527448,0.0307209,0.0129436,0.00420636,0.000869049,0.00022221,0.000770223,0.00164678,5.80558e-05,2.1458e-06,2.21733e-05,4.53002e-05,0.000105025,0.000174167,0.00257782,0.022137,0.0626314,0.106652,0.124358,0.127172,0.129158,0.13281,0.159591
80,0.125928,0.125922,0.125921,0.125519,0.1243,0.119792,0.105696,0.0799489,0.0572443,0.0354297,0.0160884,0.00481577,0.000834835,4.43465e-05,1.90738e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.67582e-05,0.00366515,0.0263872,0.0695699,0.111235,0.124093,0.125967,0.125982,0.127111
72,0.12592,0.12592,0.125735,0.12358,0.115731,0.0963298,0.0697443,0.0480114,0.0254483,0.00994268,0.00233749,0.000219706,3.33791e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,0.000260119,0.00898812,0.0396352,0.0850467,0.118263,0.125353,0.125959,0.125967
64,0.125921,0.125766,0.1237,0.114668,0.0909563,0.0634283,0.0415512,0.020902,0.00655125,0.00141301,8.78586e-05,2.62264e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.33791e-06,0.00175932,0.0202646,0.054392,0.103041,0.122263,0.125797,0.125967
56,0.1259,0.124361,0.117241,0.0950247,0.0649573,0.0412698,0.0197575,0.00619647,0.00127818,7.70104e-05,1.0729e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000224355,0.00894948,0.0361551,0.0788412,0.115792,0.124654,0.125959
48,0.125586,0.121385,0.100096,0.0677598,0.0418569,0.0206067,0.00600454,0.00123109,8.17788e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.31819e-06,0.0021011,0.0198243,0.0517206,0.10009,0.121378,0.126006
