SW Version,2022.1
Date and Time Started,2024-Feb-01 18:23:27
Date and Time Ended,2024-Feb-01 18:23:39
Scan Name,Scan_3J5D1-0J5D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,16640
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
8,0.121643,0.0616426,0.0130194,0.00151529,4.95918e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.53689e-07,0.000234607,0.00452704,0.0341716,0.106379
0,0.113562,0.0682589,0.0233047,0.00530704,0.00118472,5.51947e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.83217e-05,0.00198498,0.013592,0.0518239,0.109032
-8,0.113555,0.065287,0.0188156,0.00381058,0.000672708,2.12196e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.90875e-05,0.00129904,0.0106694,0.0471331,0.108832
-16,0.111887,0.0771737,0.0432768,0.0159257,0.00387746,0.000895395,3.8982e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.88766e-06,0.000782621,0.00793994,0.0347138,0.0801369,0.117666
-24,0.11525,0.0945178,0.0684117,0.0398687,0.014822,0.00399763,0.0010009,6.59237e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000273589,0.00527903,0.0254334,0.0681139,0.107633,0.125159
-32,0.122033,0.108971,0.0899654,0.0627135,0.0359647,0.0149022,0.00409884,0.00122168,0.000118138,2.02659e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.85327e-05,0.0030108,0.0182061,0.0549147,0.0982268,0.122238,0.125928
-40,0.125636,0.119708,0.109307,0.0889958,0.0630223,0.0375886,0.017785,0.00551876,0.00175145,0.000317102,9.29847e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.34846e-05,0.001704,0.0140317,0.0441115,0.0921013,0.119506,0.125882,0.125967
-48,0.125982,0.124968,0.120441,0.109074,0.0920519,0.0685583,0.0437265,0.0232619,0.00907462,0.00304775,0.000826967,5.42411e-05,1.0729e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.99083e-05,0.00135686,0.0118013,0.0383871,0.082476,0.116184,0.125681,0.125967,0.125967
-56,0.126042,0.125931,0.125735,0.120953,0.1094,0.0947959,0.0734672,0.0496984,0.0296722,0.0158346,0.0060831,0.00168612,0.000285153,6.79503e-06,2.38422e-07,2.38422e-07,3.06373e-05,7.98714e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.53002e-05,0.00153568,0.0112261,0.0349932,0.0768858,0.111488,0.125366,0.125959,0.125967,0.125998
-64,0.130693,0.128705,0.127328,0.126608,0.121879,0.110635,0.0984973,0.081099,0.0572849,0.0372959,0.0237423,0.0125259,0.00530072,0.00176111,0.000535616,0.000651966,0.00395769,0.00466771,0.000870003,8.24941e-05,0.000169757,0.000550636,0.000721704,0.00266961,0.0115083,0.0305136,0.0653039,0.104781,0.123857,0.12613,0.12613,0.127337,0.137196
-72,0.154016,0.151985,0.155858,0.155548,0.154894,0.151543,0.14283,0.130763,0.116202,0.100408,0.0770225,0.0632208,0.0534418,0.0428985,0.0335958,0.0306788,0.0640986,0.0610424,0.0281784,0.00881498,0.0135777,0.0213549,0.0291196,0.0431202,0.0647226,0.0952878,0.125662,0.140719,0.142007,0.142437,0.148277,0.163406,0.184104
-80,0.205807,0.214074,0.225685,0.224248,0.220892,0.217428,0.215825,0.208389,0.200428,0.185944,0.174732,0.158221,0.14498,0.13171,0.122485,0.116264,0.141482,0.140288,0.1027,0.0767262,0.091485,0.107561,0.122386,0.137547,0.158729,0.177389,0.190213,0.192936,0.192418,0.193854,0.196716,0.205393,0.221252
-88,0.245937,0.243705,0.247736,0.247883,0.247649,0.247651,0.247447,0.247305,0.247069,0.244655,0.238631,0.228028,0.21936,0.206227,0.195834,0.187709,0.203832,0.200519,0.171692,0.151869,0.162803,0.17603,0.188751,0.209675,0.22392,0.231889,0.23296,0.233317,0.232481,0.230693,0.235363,0.240426,0.246866
-96,0.24797,0.247969,0.247969,0.247939,0.247969,0.247939,0.248,0.247939,0.247939,0.247941,0.247785,0.246382,0.244009,0.239285,0.231577,0.228088,0.2372,0.238378,0.219308,0.200625,0.21432,0.22029,0.234689,0.241337,0.246805,0.246956,0.247048,0.247231,0.246927,0.247078,0.246958,0.247631,0.247939
-104,0.24797,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247756,0.247475,0.247847,0.24791,0.246049,0.241476,0.245928,0.246926,0.247661,0.247941,0.247878,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247969
-112,0.247939,0.247969,0.247939,0.24797,0.248,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939
-120,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.24797,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969
Scan End
