SW Version,2022.1
Date and Time Started,2024-Feb-01 18:23:15
Date and Time Ended,2024-Feb-01 18:23:27
Scan Name,Scan_3J5D2-0J5D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,15488
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.250372,0.251194,0.251872,0.251872,0.251872,0.251872,0.251841,0.25181,0.25181,0.251717,0.251748,0.251717,0.251378,0.251102,0.250947,0.250946,0.251872,0.251841,0.2511,0.249418,0.251347,0.251841,0.251872,0.251903,0.251903,0.251903,0.251872,0.251903,0.251872,0.251872,0.251934,0.251841,0.251903
104,0.225569,0.229228,0.241494,0.242685,0.242234,0.241265,0.238899,0.234393,0.231901,0.228854,0.230966,0.225414,0.226099,0.221461,0.211535,0.205588,0.23853,0.240034,0.207561,0.188948,0.215646,0.236438,0.247012,0.250304,0.250977,0.24991,0.24906,0.247798,0.246951,0.244273,0.245119,0.249272,0.251748
96,0.168533,0.169458,0.17491,0.174993,0.164537,0.160864,0.156295,0.151643,0.146735,0.14398,0.140428,0.13214,0.118562,0.102313,0.0880884,0.0826202,0.136413,0.147177,0.0983028,0.0643079,0.0801086,0.0958076,0.13063,0.170251,0.188715,0.197014,0.198724,0.195028,0.195959,0.189496,0.194127,0.205419,0.236279
88,0.144735,0.140634,0.135778,0.132205,0.129318,0.127743,0.126867,0.126264,0.125276,0.120442,0.108497,0.0895326,0.0719376,0.0618328,0.0520237,0.042533,0.0562699,0.0600987,0.0294351,0.0113652,0.0133986,0.0149993,0.0247059,0.0535034,0.0933605,0.123413,0.139977,0.143749,0.148529,0.143553,0.14265,0.147667,0.18114
80,0.128808,0.127184,0.126161,0.125977,0.12594,0.125932,0.125465,0.123199,0.112382,0.0981443,0.0796198,0.0616903,0.0480885,0.032929,0.0176632,0.00833519,0.0138471,0.0121981,0.00153401,0.000135066,0.000301962,0.00038994,0.000992552,0.00712477,0.0319542,0.068114,0.101411,0.120798,0.126832,0.127272,0.126982,0.127974,0.133266
72,0.125931,0.125923,0.125921,0.125921,0.125859,0.125059,0.120102,0.107269,0.0889185,0.0672525,0.0481967,0.0309512,0.0140593,0.00409228,0.000654946,7.09306e-05,0.0002085,9.23886e-05,4.05318e-06,1.0729e-06,1.54974e-06,1.66896e-06,4.53002e-06,0.000426299,0.00681685,0.032667,0.068039,0.102042,0.120507,0.125582,0.125951,0.125975,0.126013
64,0.125921,0.12592,0.12592,0.125859,0.124391,0.116947,0.100806,0.0822346,0.0587687,0.0374703,0.0184092,0.00622413,0.000963226,7.03346e-05,2.98028e-06,5.96056e-07,4.76844e-07,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.31819e-06,0.00073446,0.0092499,0.0366711,0.073712,0.106458,0.122249,0.125735,0.125967,0.125967
56,0.125921,0.12592,0.12589,0.123849,0.116707,0.100391,0.0801994,0.0543633,0.0291502,0.0126049,0.00334566,0.000343209,2.02659e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.91012e-05,0.00157216,0.0150477,0.046335,0.0837005,0.110989,0.123332,0.125889,0.125967
48,0.126038,0.12589,0.124451,0.116547,0.0972077,0.0734778,0.0465703,0.0242147,0.00861981,0.0016146,0.000112058,2.1458e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000125052,0.0034638,0.0218643,0.0538368,0.0908893,0.114049,0.12441,0.125967
40,0.128482,0.124442,0.11508,0.0951129,0.0690949,0.0436148,0.0206109,0.00599024,0.000700008,3.36175e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.43053e-06,0.000298147,0.00614629,0.0272608,0.0601225,0.0947052,0.11632,0.125475
32,0.137819,0.116818,0.0934528,0.06843,0.0441678,0.0197537,0.00469751,0.000471361,1.82393e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.5103e-06,0.000990644,0.0102027,0.0342703,0.0678125,0.0996644,0.120789
24,0.144936,0.107752,0.0729198,0.0497617,0.0241963,0.00552615,0.000454314,1.65703e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000100733,0.00318353,0.0172109,0.0453768,0.0793986,0.114617
16,0.150391,0.101032,0.0580545,0.0275111,0.00572321,0.000413543,8.5832e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,0.000419027,0.00569662,0.0239429,0.0599181,0.10988
8,0.151642,0.105577,0.0483275,0.00951424,0.000582108,9.17926e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.47959e-05,0.00148108,0.0134099,0.0512708,0.110072
0,0.154381,0.110208,0.0462703,0.0145016,0.00312822,9.71571e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000142815,0.00313323,0.0194792,0.0610291,0.106584
-8,0.155458,0.109178,0.0482656,0.0181289,0.00488587,0.000282411,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,0.000279788,0.00459511,0.0246844,0.0642429,0.10568
-16,0.155997,0.10648,0.0717547,0.0398005,0.0168897,0.00443656,0.000239614,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.5181e-05,0.00238875,0.0146593,0.0461478,0.075733,0.112623
-24,0.140281,0.11587,0.0947189,0.065397,0.0376411,0.0165085,0.00441725,0.000284199,2.74186e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.74186e-06,0.00091578,0.00974447,0.0374146,0.0677362,0.0955274,0.123453
-32,0.129975,0.121077,0.114182,0.0912969,0.0628984,0.0343989,0.0148246,0.00380033,0.000266914,2.86107e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000132444,0.00476141,0.0232443,0.0579014,0.084028,0.115433,0.125727
-40,0.126312,0.125521,0.122957,0.112205,0.0898233,0.0636333,0.0357438,0.0170285,0.00502999,0.000443346,6.79503e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.18156e-05,0.00188866,0.0163836,0.0503602,0.0784741,0.108353,0.124915,0.125967
-48,0.125962,0.125951,0.125766,0.123223,0.113373,0.0967119,0.0691135,0.0414402,0.0215432,0.00856845,0.00114097,3.32599e-05,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.4374e-06,0.000891341,0.0107176,0.0414726,0.0730228,0.105028,0.123546,0.125936,0.125959
-56,0.125951,0.12592,0.12592,0.125797,0.12427,0.117107,0.102624,0.0770958,0.0480339,0.0272874,0.0139653,0.00381738,0.000293617,8.5832e-06,5.96056e-07,3.57633e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.0729e-06,0.000409967,0.00709449,0.0324504,0.0664743,0.0992211,0.121378,0.125882,0.125959,0.125967
-64,0.125952,0.125921,0.12592,0.12592,0.125797,0.12427,0.118654,0.105197,0.0838096,0.0545661,0.0331925,0.0190709,0.00807571,0.00165012,0.000101806,1.26364e-05,1.2994e-05,5.00687e-06,7.15267e-07,2.38422e-07,7.15267e-07,3.57633e-07,8.34478e-07,0.00013757,0.00412852,0.0234555,0.0572067,0.0900198,0.118567,0.125582,0.125967,0.125959,0.125967
-72,0.125962,0.125926,0.125926,0.125924,0.125922,0.12583,0.125338,0.121731,0.113401,0.0961875,0.0712805,0.0459539,0.0294728,0.0184909,0.00976796,0.00389963,0.00584325,0.0022519,5.29297e-05,8.22557e-06,1.96698e-05,2.24117e-05,0.000116231,0.00340229,0.0213258,0.0557636,0.0885317,0.116642,0.125467,0.125959,0.125967,0.12599,0.126403
-80,0.128481,0.127408,0.126241,0.126123,0.126101,0.126074,0.126052,0.125984,0.124642,0.119397,0.10838,0.0930896,0.069511,0.0482742,0.0362089,0.0265519,0.0370452,0.0301036,0.0093542,0.00221268,0.00427813,0.00598332,0.009806,0.0284927,0.0625783,0.094393,0.121099,0.127782,0.127963,0.128436,0.128376,0.133275,0.157591
-88,0.149039,0.144426,0.144873,0.14514,0.143989,0.142152,0.142284,0.142507,0.141519,0.140674,0.139787,0.135298,0.126669,0.112153,0.0935518,0.078364,0.125743,0.11361,0.058966,0.0314433,0.0419682,0.0596991,0.0960727,0.143523,0.171012,0.183384,0.18511,0.180366,0.18434,0.182234,0.187192,0.216729,0.243739
-96,0.204262,0.207648,0.222227,0.218922,0.213831,0.204756,0.203047,0.203479,0.201768,0.198246,0.195857,0.196435,0.192814,0.187044,0.181462,0.175878,0.220789,0.217111,0.163455,0.132885,0.177714,0.212404,0.238433,0.244711,0.246738,0.247058,0.246921,0.246026,0.246505,0.245752,0.246379,0.247672,0.247939
-104,0.246474,0.247447,0.247823,0.247854,0.24699,0.24673,0.246816,0.244936,0.245405,0.245099,0.244085,0.243813,0.241573,0.2433,0.245155,0.245362,0.247734,0.247823,0.24609,0.243394,0.247441,0.24785,0.247912,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247969,0.247969
-112,0.247939,0.24797,0.248,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.248,0.247939,0.247941,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247939,0.247939,0.247939
-120,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.248,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939
Scan End
