SW Version,2022.1
Date and Time Started,2024-Feb-02 11:07:59
Date and Time Ended,2024-Feb-02 11:08:13
Scan Name,Scan_2J1D1-0J6D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,18240
Horizontal Opening,153
Horizontal Percentage,60.61
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251655,0.251102,0.250433,0.248849,0.25147,0.251347,0.247274,0.243139,0.247478,0.24879,0.250919,0.251532,0.25181,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.24693,0.251255,0.251779,0.251841,0.251593,0.251594,0.251409,0.250857,0.25046,0.249397,0.24722,0.24158,0.237367,0.224397,0.215099,0.212923,0.231482,0.231365,0.206617,0.193732,0.203676,0.213784,0.224725,0.237175,0.245377,0.250553,0.251624,0.250706,0.251041,0.250584,0.251133,0.251686,0.251872
104,0.212833,0.223036,0.239601,0.23857,0.233785,0.231536,0.226556,0.224599,0.218187,0.210609,0.199611,0.182176,0.16733,0.157786,0.148088,0.147612,0.184769,0.185956,0.140969,0.110162,0.126792,0.140125,0.147579,0.16857,0.194663,0.217419,0.234611,0.233895,0.234345,0.235464,0.23627,0.244338,0.250159
96,0.161906,0.163404,0.171657,0.170535,0.168974,0.167258,0.157558,0.148613,0.13376,0.124747,0.110486,0.092976,0.0812577,0.0663557,0.0544753,0.0518405,0.0980897,0.10392,0.0490422,0.0222097,0.0275919,0.034263,0.0309668,0.0357345,0.0483769,0.0885414,0.130249,0.152083,0.158594,0.162099,0.168892,0.197484,0.226666
88,0.13649,0.136533,0.134786,0.132749,0.129464,0.122938,0.110574,0.095703,0.0799487,0.0639392,0.0469006,0.031467,0.0209838,0.0123767,0.00701081,0.00511022,0.0187458,0.0234073,0.00395352,0.000714909,0.00138297,0.00156894,0.00131108,0.00127925,0.00234953,0.0157302,0.054198,0.0944884,0.121999,0.127299,0.128699,0.135122,0.161951
80,0.126598,0.126668,0.125571,0.121933,0.114878,0.100411,0.0847206,0.0653165,0.046435,0.0307013,0.017915,0.00946242,0.00355011,0.00135579,0.000428802,0.000181201,0.000559935,0.000537404,8.05867e-05,2.1458e-06,1.00137e-05,1.35901e-05,4.53002e-06,5.12608e-06,2.30077e-05,0.00142326,0.0190224,0.0601338,0.100005,0.122235,0.125936,0.126247,0.126567
72,0.125925,0.125369,0.122049,0.112452,0.096149,0.0776453,0.0568187,0.0366968,0.0220726,0.0112745,0.00428826,0.00133505,0.000342017,3.6121e-05,5.12608e-06,1.19211e-06,3.69554e-06,6.91424e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.56853e-05,0.00352042,0.0305597,0.0724267,0.109157,0.124658,0.125959,0.125967
64,0.125917,0.12367,0.113675,0.0964932,0.0753707,0.0516174,0.0320698,0.0169681,0.00755202,0.00236443,0.000522741,6.85464e-05,1.22787e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,0.000371819,0.00990287,0.0442492,0.0895704,0.117057,0.12572,0.125967
56,0.125807,0.118521,0.103684,0.0785386,0.0544616,0.0327257,0.0166964,0.00654147,0.00184586,0.000329142,3.14717e-05,1.78817e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.48096e-05,0.00315683,0.0257336,0.0670968,0.104755,0.123079,0.126161
48,0.126525,0.109719,0.0885801,0.0607059,0.0354468,0.0177057,0.00654362,0.00154557,0.000265483,1.40669e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,0.000510343,0.0117939,0.0420571,0.0881339,0.115515,0.12695
