SW Version,2022.1
Date and Time Started,2024-Feb-02 11:03:45
Date and Time Ended,2024-Feb-02 11:03:57
Scan Name,Scan_2J2D1-0J5D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,19328
Horizontal Opening,169
Horizontal Percentage,66.67
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.25181,0.25013,0.251224,0.250645,0.251378,0.25101,0.244081,0.243949,0.247363,0.250251,0.251102,0.251624,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251779,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251593,0.248966,0.245632,0.245464,0.227708,0.231726,0.226519,0.236676,0.21879,0.204082,0.181206,0.184154,0.200653,0.207194,0.23355,0.246109,0.250888,0.25181,0.25181,0.251872,0.251934,0.251872,0.251903,0.251903
104,0.25022,0.250675,0.250827,0.251903,0.251903,0.251841,0.251255,0.249142,0.249349,0.238138,0.237927,0.223643,0.203867,0.193357,0.174586,0.169221,0.181405,0.184616,0.158983,0.140287,0.145501,0.149903,0.143891,0.182233,0.195867,0.22992,0.231191,0.235367,0.241416,0.241083,0.244519,0.246194,0.251872
96,0.221352,0.224868,0.23723,0.24521,0.236012,0.229559,0.230473,0.210097,0.204576,0.19147,0.167785,0.137342,0.131412,0.11602,0.0996956,0.106348,0.138717,0.139264,0.0995763,0.0909738,0.08817,0.102835,0.103455,0.114494,0.137077,0.155698,0.172461,0.192616,0.196513,0.202559,0.214023,0.22159,0.235351
88,0.168934,0.169271,0.188788,0.19706,0.185076,0.170625,0.150911,0.148173,0.12958,0.10304,0.0851546,0.0664033,0.0490546,0.0415367,0.026629,0.0371477,0.067161,0.0738418,0.0354378,0.0230763,0.0282059,0.0316539,0.050028,0.0491168,0.0643892,0.110907,0.11964,0.158454,0.171067,0.17568,0.175504,0.180948,0.203044
80,0.137808,0.136784,0.137437,0.132969,0.123482,0.112504,0.090365,0.0667804,0.045107,0.0244901,0.016139,0.00763643,0.00363415,0.000622997,0.000479944,0.000110986,0.00520571,0.0101835,0.00185111,0.000385052,0.000632177,0.000877751,0.000944629,0.000747692,0.00268201,0.0132435,0.0455759,0.0801752,0.110631,0.125728,0.127372,0.130673,0.155976
72,0.127369,0.127177,0.123885,0.116756,0.0976423,0.0789598,0.0503498,0.0335698,0.0166212,0.00947251,0.00250141,0.000676285,4.57771e-05,3.57633e-07,2.38422e-07,2.38422e-07,5.3645e-05,3.32599e-05,1.43053e-06,2.38422e-07,2.38422e-07,5.96056e-07,1.19211e-06,2.38422e-07,5.00687e-06,0.00121762,0.0139415,0.0515144,0.085548,0.120629,0.125998,0.125967,0.125975
64,0.12593,0.125414,0.117004,0.101593,0.0823142,0.0522927,0.0374895,0.0131839,0.00677536,0.000983611,0.000100733,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.83997e-05,0.00175538,0.0240355,0.0629211,0.0953321,0.123695,0.125944,0.125967
56,0.125946,0.122486,0.106643,0.0866023,0.0562136,0.0351138,0.0152248,0.00578543,0.00109293,9.6561e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.96056e-07,0.000277047,0.00790036,0.0429893,0.071377,0.110644,0.125828,0.125967
48,0.126192,0.116898,0.0960227,0.0603054,0.0359218,0.0171087,0.00546273,0.000758659,1.83585e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.78817e-06,0.00107588,0.0214541,0.0568157,0.0891312,0.120178,0.125982
