SW Version,2022.1
Date and Time Started,2023-Nov-10 15:44:37
Date and Time Ended,2023-Nov-10 15:45:07
Scan Name,ff1-CA1
Link Settings,
Reset RX After Applying Settings,false
Open Area,83648
Horizontal Opening,513
Horizontal Percentage,100.00
Vertical Opening,153
Vertical Percentage,64.52
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.249509,0.249145,0.249509,0.249874,0.249752,0.249752,0.249874,0.249752,0.249752,0.249752,0.249874,0.249752,0.249752,0.249752,0.249752,0.249752,0.249874,0.249752,0.249752,0.249752,0.249752,0.249752,0.249874,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249874,0.249874,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249752,0.249874,0.249752,0.249874,0.249752,0.249752
112,0.218613,0.205454,0.214762,0.23336,0.236159,0.241165,0.238358,0.240372,0.240598,0.241051,0.23858,0.242765,0.241278,0.241392,0.241848,0.241051,0.239697,0.241734,0.239025,0.239585,0.240824,0.240259,0.238469,0.237363,0.235291,0.236595,0.236377,0.237915,0.238247,0.237143,0.234214,0.234644,0.236595,0.240034,0.245796,0.248179,0.246506,0.243806,0.241506,0.24162,0.239809,0.236924,0.237143,0.239249,0.238025,0.239249,0.237143,0.237915,0.238025,0.23858,0.238469,0.238025,0.235941,0.239585,0.238025,0.238358,0.236159,0.238802,0.238691,0.236814,0.239361,0.239249,0.241962,0.244505,0.247818
104,0.101889,0.0764625,0.0948662,0.125151,0.151164,0.157779,0.155385,0.138977,0.154168,0.151388,0.152017,0.154447,0.154634,0.148404,0.148146,0.150808,0.153429,0.153936,0.145659,0.157536,0.156,0.145411,0.157005,0.153521,0.146871,0.151432,0.147975,0.159599,0.161258,0.158022,0.164575,0.150675,0.147463,0.157876,0.18645,0.196091,0.1973,0.188163,0.17135,0.164787,0.155055,0.167701,0.165212,0.159103,0.154494,0.155479,0.154681,0.162899,0.157053,0.153936,0.162744,0.155668,0.160751,0.160449,0.155574,0.15247,0.143015,0.149052,0.159948,0.150277,0.15247,0.165212,0.163995,0.169646,0.208042
96,0.0174326,0.0114306,0.0154383,0.0305376,0.0437228,0.0471883,0.0497903,0.0444786,0.0428698,0.0449748,0.040554,0.0436296,0.0442365,0.0502891,0.047258,0.0503485,0.0438501,0.0491498,0.0460674,0.0502348,0.0444246,0.0452131,0.0492823,0.04141,0.0471449,0.0409235,0.0446182,0.0481333,0.048929,0.0451892,0.0467916,0.0419358,0.0396802,0.0496743,0.0667962,0.06964,0.0679396,0.058287,0.0511176,0.042345,0.0438351,0.0435702,0.052658,0.0482694,0.0447156,0.0429597,0.0439933,0.0457055,0.0456811,0.0465957,0.0464267,0.0405958,0.0444362,0.043511,0.0436929,0.0444439,0.0471449,0.0414872,0.0419461,0.0435258,0.0433819,0.0456607,0.044591,0.0515136,0.0695265
88,0.000539073,0.000159028,0.000505217,0.00177815,0.00297718,0.00363522,0.00394124,0.00414282,0.00409741,0.00549933,0.00488944,0.00592825,0.00493629,0.00526818,0.00543495,0.00439484,0.00510665,0.00469787,0.00481518,0.00469954,0.00457425,0.00456698,0.00492735,0.00382656,0.00358933,0.0040533,0.00356024,0.00421983,0.0045845,0.00518735,0.00387913,0.00436336,0.00297014,0.00410098,0.0063369,0.00893494,0.0088707,0.00654898,0.00471063,0.00331264,0.0026354,0.00289886,0.00328546,0.0032007,0.00295727,0.00341528,0.00386089,0.00381046,0.00392419,0.00339728,0.00407952,0.00397796,0.00410122,0.00407464,0.0035327,0.00425119,0.00375014,0.00366062,0.00306313,0.00298028,0.00334506,0.00381166,0.00406152,0.00681852,0.00872557
80,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,1.66896e-06,1.0729e-06,8.34478e-07,9.53689e-07,5.96056e-07,3.57633e-07,5.96056e-07,1.19211e-06,8.34478e-07,9.53689e-07,7.15267e-07,7.15267e-07,1.19211e-06,9.53689e-07,1.31132e-06,4.76844e-07,5.96056e-07,1.90738e-06,4.76844e-07,5.96056e-07,1.43053e-06,1.31132e-06,1.0729e-06,1.31132e-06,4.76844e-07,5.96056e-07,4.76844e-07,2.38422e-07,3.57633e-07,5.12608e-06,1.28748e-05,2.38422e-05,3.57633e-06,1.19211e-06,3.57633e-07,2.38422e-07,2.38422e-07,3.57633e-07,4.76844e-07,5.96056e-07,1.0729e-06,7.15267e-07,1.19211e-06,1.66896e-06,7.15267e-07,9.53689e-07,7.15267e-07,3.45712e-06,2.1458e-06,1.43053e-06,7.15267e-07,2.02659e-06,4.76844e-07,7.15267e-07,2.38422e-07,2.38422e-07,1.0729e-06,1.0729e-06,5.84134e-06,1.93122e-05
72,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07
64,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07
56,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07
48,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07
