SW Version,2022.1
Date and Time Started,2023-Nov-10 15:31:39
Date and Time Ended,2023-Nov-10 15:31:59
Scan Name,ff1-CA12
Link Settings,
Reset RX After Applying Settings,false
Open Area,20288
Horizontal Opening,305
Horizontal Percentage,60.00
Vertical Opening,73
Vertical Percentage,32.26
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251872,0.251872,0.251872,0.25181,0.251872,0.25181,0.251841,0.251686,0.251286,0.251132,0.250888,0.250131,0.24971,0.2498,0.249472,0.249262,0.248849,0.248438,0.248438,0.249114,0.249086,0.251194,0.251903,0.251872,0.25181,0.25181,0.251748,0.25181,0.251594,0.251934,0.251872,0.251872,0.251903,0.251934,0.251872,0.251872,0.251872,0.25181,0.251841,0.251748,0.251655,0.251748,0.251655,0.251748,0.25181,0.251532,0.251255,0.251194,0.251194,0.250341,0.250827,0.25144,0.251841,0.251686
96,0.247678,0.249561,0.251594,0.251624,0.25147,0.251347,0.250524,0.250191,0.249711,0.24797,0.247274,0.248116,0.245825,0.245186,0.243651,0.242845,0.241208,0.240799,0.238899,0.237133,0.23852,0.235258,0.235281,0.235235,0.235142,0.23333,0.232748,0.231457,0.230822,0.228444,0.22861,0.230688,0.237613,0.243318,0.243472,0.240892,0.238226,0.240012,0.239553,0.243499,0.244852,0.246101,0.246735,0.248498,0.249591,0.248967,0.246645,0.247507,0.245408,0.245433,0.242925,0.241865,0.241182,0.241057,0.240594,0.239525,0.237181,0.234012,0.233346,0.232786,0.230815,0.232408,0.236669,0.240794,0.238329
88,0.210704,0.221907,0.230708,0.231573,0.230632,0.22837,0.227477,0.223697,0.224506,0.222504,0.220747,0.221794,0.219159,0.218238,0.216941,0.215932,0.212892,0.211595,0.209909,0.208208,0.204364,0.205545,0.200505,0.202443,0.198422,0.193102,0.190509,0.185306,0.179965,0.174729,0.17369,0.169501,0.193696,0.209927,0.209281,0.200234,0.19005,0.184206,0.185444,0.197276,0.204602,0.208953,0.213011,0.216338,0.219659,0.222285,0.222551,0.221043,0.222692,0.222007,0.221823,0.218451,0.21492,0.214272,0.214685,0.213113,0.209409,0.206976,0.205846,0.205937,0.205554,0.207158,0.213427,0.219675,0.215523
80,0.172393,0.174376,0.177878,0.180176,0.181821,0.178916,0.177279,0.173761,0.170843,0.168171,0.165558,0.165047,0.160712,0.159829,0.158623,0.155387,0.153193,0.149979,0.14643,0.143063,0.140498,0.13712,0.129492,0.121786,0.117466,0.112795,0.106633,0.0958215,0.0872911,0.0799975,0.0727435,0.071527,0.0910023,0.114374,0.110286,0.0910006,0.0787755,0.0744668,0.0894629,0.113221,0.125723,0.132858,0.136588,0.140806,0.145255,0.151608,0.156176,0.164697,0.169769,0.176633,0.176392,0.176851,0.173778,0.17303,0.170855,0.16847,0.166787,0.165321,0.162707,0.16251,0.16327,0.16623,0.17735,0.185061,0.179334
72,0.149048,0.146403,0.144723,0.143224,0.140197,0.13711,0.135291,0.133663,0.132184,0.131763,0.130751,0.129964,0.128505,0.127474,0.126237,0.122665,0.120151,0.11496,0.112948,0.106508,0.0999484,0.0944722,0.0857637,0.0785049,0.0707139,0.0615442,0.0542861,0.0470053,0.0394892,0.0332069,0.0292101,0.0268208,0.0297653,0.033256,0.0284618,0.0220856,0.0178432,0.0159737,0.023174,0.0473676,0.0642286,0.0704485,0.0732554,0.0758218,0.0774886,0.0831766,0.0900419,0.0950643,0.101773,0.110691,0.119512,0.128333,0.132546,0.136425,0.135952,0.135114,0.135885,0.134655,0.133748,0.134685,0.134478,0.136236,0.143101,0.145862,0.142399
64,0.13266,0.130595,0.127959,0.126984,0.126467,0.126428,0.126265,0.126114,0.125982,0.125761,0.125244,0.122185,0.120011,0.117388,0.112284,0.107675,0.101747,0.0941857,0.0886107,0.0777405,0.0692913,0.0591558,0.0511891,0.042008,0.0352929,0.0285488,0.024008,0.0208103,0.0175805,0.015332,0.0125795,0.0106896,0.0111663,0.0116191,0.00929979,0.00635741,0.00480433,0.00425596,0.00527855,0.0103601,0.0173737,0.0203904,0.0220918,0.0245207,0.0282713,0.0332682,0.0393394,0.0446184,0.0524038,0.061145,0.0705369,0.0817396,0.0941279,0.105888,0.113962,0.120696,0.12431,0.126031,0.126341,0.126184,0.126161,0.126593,0.127359,0.128583,0.127922
56,0.126224,0.126098,0.125934,0.125923,0.125921,0.125766,0.125458,0.124937,0.123461,0.120469,0.116733,0.111594,0.107788,0.100965,0.0938059,0.0834408,0.0754484,0.0642642,0.0549349,0.0464562,0.0370795,0.0294334,0.0241484,0.0206084,0.0172942,0.0143188,0.0119637,0.00945921,0.007066,0.0050418,0.00330155,0.00252728,0.00255696,0.00240747,0.00120308,0.000508435,0.000383383,0.000216726,0.00108053,0.00324862,0.00376051,0.00334339,0.00265853,0.00266282,0.00404293,0.00739288,0.0120158,0.0189156,0.026949,0.0347532,0.0436681,0.0525528,0.0639755,0.077487,0.0900672,0.103399,0.112621,0.118371,0.122466,0.125152,0.125897,0.125959,0.125975,0.125998,0.125967
48,0.125851,0.125736,0.125766,0.125612,0.125212,0.123431,0.121412,0.115835,0.110725,0.1055,0.0987069,0.0886568,0.080502,0.0709132,0.0590262,0.0484934,0.0394661,0.0313319,0.02483,0.0205563,0.0170223,0.0134945,0.0109807,0.00861865,0.00602135,0.00426692,0.00251774,0.00129702,0.000549206,0.000185016,8.52359e-05,1.65703e-05,1.20403e-05,1.19211e-05,1.54974e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.1458e-06,9.66802e-05,0.000259165,9.71571e-05,1.68088e-05,7.03346e-06,1.60935e-05,0.000110509,0.000593194,0.00199059,0.00500377,0.0107378,0.0185461,0.0280565,0.0374226,0.0468024,0.0569514,0.0708483,0.0858555,0.0977645,0.108071,0.114865,0.120539,0.124312,0.125804,0.125975,0.125959
