SW Version,2022.1
Date and Time Started,2023-Nov-10 15:35:48
Date and Time Ended,2023-Nov-10 15:36:08
Scan Name,ff1-CA9
Link Settings,
Reset RX After Applying Settings,false
Open Area,14976
Horizontal Opening,217
Horizontal Percentage,43.08
Vertical Opening,57
Vertical Percentage,25.81
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251872,0.251903,0.251872,0.251841,0.251779,0.251903,0.251593,0.251655,0.25181,0.251594,0.251317,0.251717,0.251102,0.251378,0.251748,0.251686,0.25181,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.25181,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.250341,0.251501,0.251903,0.25181,0.25181,0.251686,0.251748,0.251286,0.25147,0.251686,0.250675,0.250888,0.250675,0.25022,0.249353,0.24879,0.249262,0.247912,0.246531,0.24474,0.244657,0.242128,0.244413,0.243755,0.241265,0.239646,0.239218,0.240001,0.239829,0.239708,0.243269,0.246847,0.24962,0.251378,0.249919,0.250312,0.251347,0.25147,0.251841,0.251841,0.251903,0.251841,0.251903,0.251841,0.251903,0.25181,0.251779,0.251717,0.251748,0.251378,0.250919,0.251316,0.251655,0.251194,0.251255,0.250918,0.250949,0.250131,0.250282,0.251194,0.250613,0.251501,0.251409,0.251286,0.250312
104,0.229531,0.23815,0.243755,0.242441,0.23945,0.236892,0.235932,0.237296,0.233807,0.232275,0.227699,0.227658,0.228257,0.226488,0.224191,0.223399,0.224837,0.221139,0.220085,0.220874,0.220502,0.21862,0.218169,0.214623,0.216812,0.213994,0.216183,0.214502,0.215376,0.217963,0.219538,0.225682,0.233956,0.236762,0.234039,0.231825,0.232407,0.234123,0.24166,0.245349,0.247974,0.249327,0.249241,0.248361,0.246544,0.245625,0.24695,0.245867,0.243522,0.242098,0.239587,0.238665,0.239378,0.237423,0.235886,0.234207,0.234055,0.230142,0.229442,0.230122,0.233716,0.237059,0.241458,0.239688,0.234178
96,0.182525,0.19204,0.202197,0.209067,0.206491,0.207163,0.203554,0.202391,0.196511,0.195601,0.193887,0.19204,0.189435,0.187056,0.188283,0.182177,0.183493,0.178497,0.173654,0.173923,0.170531,0.170098,0.164052,0.16556,0.160934,0.157317,0.149851,0.144746,0.139581,0.143725,0.145658,0.163115,0.187094,0.193424,0.187001,0.171191,0.159441,0.156985,0.164174,0.1792,0.18924,0.192615,0.202681,0.204451,0.210484,0.211629,0.212285,0.20964,0.20794,0.207059,0.203499,0.201902,0.200186,0.198922,0.198218,0.193135,0.191601,0.187406,0.189851,0.191281,0.192255,0.201675,0.207566,0.208119,0.199598
88,0.161548,0.162155,0.164549,0.165254,0.163975,0.1618,0.158067,0.158081,0.154851,0.154016,0.152094,0.149544,0.14876,0.14638,0.144252,0.142655,0.139836,0.137892,0.136468,0.133979,0.128922,0.128401,0.121869,0.116108,0.111314,0.10352,0.0973953,0.0933445,0.0878078,0.0870154,0.0877432,0.088926,0.10424,0.107675,0.0994666,0.0849777,0.0803968,0.0862916,0.106019,0.124532,0.138481,0.143406,0.148259,0.156857,0.15785,0.166499,0.171561,0.174722,0.173583,0.171997,0.174388,0.16974,0.168739,0.166338,0.166032,0.1632,0.159976,0.161547,0.157477,0.159235,0.158743,0.168728,0.176253,0.178346,0.164656
80,0.144486,0.141873,0.140005,0.136701,0.135121,0.133565,0.131995,0.130982,0.129904,0.129415,0.128336,0.127952,0.127398,0.12624,0.126038,0.124737,0.121688,0.119341,0.11486,0.107986,0.102735,0.0960742,0.0890281,0.0846635,0.0783164,0.0725472,0.0640735,0.0577443,0.0506037,0.0450776,0.0395078,0.0379791,0.0450415,0.0438448,0.0368953,0.0284278,0.0251307,0.0256183,0.0405607,0.0710816,0.0839625,0.0882798,0.0896957,0.0921944,0.0997277,0.10548,0.109777,0.118139,0.125762,0.13259,0.13887,0.14049,0.143614,0.143272,0.142104,0.141709,0.138482,0.138024,0.137865,0.139082,0.140246,0.141912,0.14545,0.145613,0.141655
72,0.128901,0.127692,0.126545,0.126331,0.126195,0.126066,0.126023,0.125955,0.12591,0.125082,0.125297,0.123865,0.122096,0.118224,0.11508,0.106556,0.101389,0.0921184,0.0878741,0.0809731,0.0715274,0.0656091,0.0567746,0.0463259,0.0401816,0.0322699,0.0278394,0.0231714,0.0197795,0.0169782,0.0151453,0.0145354,0.0152074,0.0137063,0.0113335,0.00882377,0.00748014,0.00758195,0.0117244,0.0209714,0.0336931,0.0410688,0.0487138,0.0525418,0.0560212,0.0594186,0.0636044,0.0711362,0.0784488,0.0868901,0.0954442,0.105764,0.114289,0.119404,0.124043,0.124914,0.126614,0.127281,0.127302,0.1269,0.127305,0.126998,0.127671,0.129029,0.127101
64,0.125997,0.125943,0.125924,0.125926,0.12583,0.125766,0.125124,0.124361,0.123521,0.120924,0.115548,0.110629,0.102194,0.0966571,0.0872814,0.0800114,0.0726953,0.0616265,0.0537018,0.0445173,0.0362038,0.0295575,0.0232958,0.0189124,0.0160014,0.0128983,0.0103524,0.0082278,0.00612018,0.00486036,0.00325744,0.00304978,0.00280694,0.00247864,0.00158169,0.000975147,0.000608573,0.000690709,0.00239769,0.00599882,0.00894662,0.0105188,0.0130739,0.0174724,0.0229039,0.0310457,0.0374824,0.0426413,0.0470369,0.0557474,0.0627546,0.0722526,0.0845685,0.0966786,0.106797,0.113299,0.118298,0.123155,0.124975,0.12582,0.125951,0.125975,0.125959,0.125998,0.125967
56,0.125926,0.125767,0.125458,0.125581,0.124998,0.123849,0.121671,0.116045,0.112501,0.1031,0.0957712,0.0886568,0.0802497,0.0706392,0.0614416,0.0517636,0.0416187,0.0322862,0.0245067,0.0197445,0.0155146,0.0122201,0.00990421,0.00754022,0.00534376,0.00329869,0.0017865,0.00102832,0.000483282,0.000206831,0.000129225,9.36999e-05,9.46536e-05,5.7579e-05,3.70747e-05,1.39477e-05,1.77625e-05,3.2187e-06,6.93809e-05,0.000500448,0.000980154,0.00113787,0.00153997,0.00245027,0.00391585,0.00753009,0.0133588,0.0213061,0.0287366,0.0365125,0.0437088,0.0508106,0.0596402,0.0696833,0.0813064,0.0951957,0.104277,0.111525,0.117058,0.121777,0.124929,0.125866,0.125959,0.125967,0.125967
48,0.124212,0.12323,0.122021,0.121932,0.119234,0.114131,0.105762,0.0969867,0.0880924,0.0793788,0.0703771,0.0610097,0.0517217,0.0407476,0.0321443,0.023513,0.0174391,0.0133118,0.0101984,0.00785686,0.00525566,0.00287454,0.00154629,0.000567326,0.000199321,0.000119688,1.7524e-05,2.92067e-05,3.57633e-07,2.38422e-07,1.00137e-05,2.38422e-07,8.5832e-06,2.38422e-07,2.38422e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.95644e-05,5.30489e-05,4.64923e-06,7.1169e-05,6.98577e-05,0.000336891,0.000786913,0.00202623,0.00412029,0.00864614,0.0152704,0.0230929,0.0313431,0.0400294,0.0490695,0.0567427,0.0677781,0.079021,0.0904083,0.102846,0.108453,0.11533,0.120731,0.125059,0.125905,0.125959
