SW Version,2022.1
Date and Time Started,2023-Nov-10 15:46:20
Date and Time Ended,2023-Nov-10 15:46:40
Scan Name,ff1-CA5
Link Settings,
Reset RX After Applying Settings,false
Open Area,9664
Horizontal Opening,225
Horizontal Percentage,44.62
Vertical Opening,57
Vertical Percentage,25.81
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939
112,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247969,0.247969,0.247969,0.247969,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247969,0.24797,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247969,0.24797,0.247969,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939
104,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247941,0.247941,0.24791,0.24791,0.247939,0.247883,0.24791,0.247939,0.247941,0.247939,0.247939,0.247969,0.247969,0.247969,0.24797,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247969,0.247969,0.247969
96,0.247507,0.247794,0.247939,0.247939,0.247939,0.247939,0.24791,0.247881,0.247794,0.247881,0.247912,0.247912,0.247765,0.247678,0.247334,0.247045,0.246505,0.246904,0.246673,0.246222,0.246109,0.245601,0.244715,0.245044,0.244767,0.244771,0.243728,0.243166,0.244194,0.244163,0.244795,0.246304,0.247823,0.247941,0.247881,0.247881,0.247852,0.247941,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247969,0.247939,0.24797,0.24791,0.247941,0.247879,0.247909,0.247879,0.247848,0.247938,0.247848,0.247816,0.247847,0.247879,0.24797,0.247939,0.247879
88,0.23788,0.241599,0.244988,0.245127,0.244964,0.245405,0.244194,0.244085,0.242102,0.242925,0.240517,0.239621,0.239124,0.237175,0.23568,0.236502,0.235703,0.233648,0.23143,0.233595,0.231408,0.229238,0.229124,0.228864,0.227245,0.229134,0.227016,0.227881,0.227446,0.228555,0.232728,0.236566,0.242711,0.244992,0.2458,0.243678,0.243759,0.244307,0.246562,0.247478,0.247823,0.247823,0.247738,0.247765,0.247418,0.247589,0.247528,0.247616,0.247555,0.247277,0.246813,0.246286,0.246016,0.24504,0.243949,0.243559,0.241142,0.241393,0.24084,0.240796,0.241553,0.243632,0.24626,0.245779,0.244126
80,0.216442,0.221866,0.22438,0.224437,0.222572,0.221997,0.219466,0.219483,0.218155,0.216988,0.215696,0.215586,0.212656,0.212362,0.210171,0.207544,0.20478,0.20392,0.20335,0.198709,0.197499,0.194959,0.194882,0.194426,0.190901,0.190882,0.189787,0.188092,0.186399,0.186259,0.18948,0.203365,0.217652,0.224071,0.219322,0.214041,0.208722,0.215475,0.224834,0.229217,0.231405,0.234363,0.236234,0.236296,0.234914,0.233709,0.235807,0.232619,0.231574,0.229131,0.227243,0.224457,0.222749,0.220277,0.21905,0.217143,0.216496,0.214232,0.214246,0.214524,0.215322,0.220021,0.225416,0.225073,0.218009
72,0.173986,0.182463,0.18757,0.187443,0.187666,0.185617,0.182513,0.179871,0.176972,0.175827,0.174556,0.172158,0.170211,0.16661,0.164074,0.163468,0.162416,0.160128,0.159287,0.157483,0.155351,0.153535,0.151023,0.149484,0.146354,0.143697,0.142233,0.136961,0.131419,0.127843,0.12754,0.135688,0.154965,0.163268,0.157686,0.142138,0.134004,0.129014,0.145006,0.164149,0.177284,0.181382,0.187492,0.18663,0.191807,0.190089,0.193621,0.190793,0.193061,0.193043,0.191504,0.188306,0.186381,0.181159,0.181165,0.179846,0.177937,0.178148,0.177979,0.179059,0.181265,0.190759,0.195904,0.19647,0.186823
64,0.147842,0.147349,0.146969,0.146082,0.145596,0.143497,0.143279,0.141964,0.140162,0.139782,0.138656,0.137584,0.136842,0.135971,0.134784,0.13382,0.131059,0.129355,0.127275,0.124154,0.121404,0.11826,0.113182,0.108639,0.104096,0.0952857,0.0897175,0.083389,0.0764673,0.0716192,0.0666108,0.0643352,0.076953,0.0861625,0.0731171,0.0595299,0.0489138,0.0480201,0.0622041,0.0913175,0.105084,0.110009,0.115647,0.124297,0.130904,0.137307,0.142694,0.147089,0.149182,0.149998,0.152982,0.153437,0.15309,0.154764,0.152632,0.151555,0.148738,0.147265,0.146568,0.146302,0.146971,0.150761,0.157561,0.157378,0.153184
56,0.136845,0.13489,0.133169,0.131949,0.131048,0.130277,0.129688,0.128976,0.128571,0.128135,0.127499,0.126464,0.125654,0.124503,0.123248,0.120595,0.118441,0.116239,0.111536,0.107756,0.102529,0.0928945,0.0858193,0.078522,0.0717507,0.0624042,0.0543799,0.046482,0.0392,0.0342313,0.0303389,0.0293777,0.0300995,0.0317327,0.0274618,0.0214038,0.0179426,0.0179758,0.0275648,0.0487447,0.0664985,0.0739783,0.0765234,0.0790445,0.0831455,0.087444,0.0949706,0.101102,0.108927,0.11533,0.119036,0.122861,0.123561,0.12597,0.128942,0.129296,0.130331,0.130388,0.130228,0.130266,0.13026,0.133415,0.13743,0.137986,0.134477
48,0.129628,0.128589,0.127433,0.126908,0.126532,0.126339,0.126167,0.125807,0.125341,0.124062,0.123464,0.120924,0.119497,0.116718,0.11363,0.110107,0.10375,0.0958989,0.0885356,0.0760434,0.0681567,0.0593837,0.0519531,0.0409398,0.0352492,0.0291055,0.0233415,0.019936,0.0170631,0.0145408,0.0125804,0.0115512,0.0113896,0.0110913,0.00886778,0.00627217,0.00430495,0.00327509,0.00577029,0.0168247,0.0291556,0.0350886,0.0392593,0.041186,0.0452402,0.0488179,0.0522543,0.0572739,0.0625121,0.0701408,0.0811796,0.0921656,0.101493,0.107573,0.112156,0.115621,0.119016,0.121616,0.124191,0.125513,0.125936,0.126161,0.126751,0.126806,0.126427
