SW Version,2022.1
Date and Time Started,2023-Nov-10 15:37:09
Date and Time Ended,2023-Nov-10 15:37:28
Scan Name,ff1-CA7
Link Settings,
Reset RX After Applying Settings,false
Open Area,14976
Horizontal Opening,305
Horizontal Percentage,60.00
Vertical Opening,65
Vertical Percentage,29.03
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969
112,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.24797,0.24797,0.247939,0.247969,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939
104,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.24797,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.24797
96,0.24797,0.247939,0.247939,0.24797,0.247939,0.247939,0.24797,0.24797,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247941,0.247939,0.247939,0.247881,0.247912,0.247881,0.247883,0.247823,0.247823,0.247796,0.24768,0.247505,0.247651,0.247332,0.247188,0.24742,0.247709,0.247651,0.247941,0.247939,0.247939,0.247941,0.247969,0.247939,0.24797,0.247879,0.247969,0.24791,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.24797,0.247941,0.247879,0.24791,0.247909,0.247848,0.247879,0.247847,0.247783,0.247661,0.247507,0.247325,0.247448,0.247415,0.247878,0.247879,0.247601
88,0.247536,0.247823,0.24791,0.247939,0.247939,0.247941,0.247852,0.247736,0.247852,0.247651,0.247825,0.247476,0.247045,0.247159,0.246987,0.246704,0.245937,0.24552,0.245629,0.245241,0.244081,0.24357,0.243054,0.243054,0.242649,0.242177,0.241892,0.24183,0.240897,0.240341,0.240156,0.24242,0.24548,0.247217,0.247033,0.246257,0.246232,0.246093,0.24679,0.246754,0.246566,0.247023,0.247265,0.247538,0.247509,0.247507,0.247386,0.247202,0.247019,0.246775,0.24632,0.245989,0.245302,0.244242,0.243922,0.243604,0.241836,0.241585,0.240892,0.239337,0.238617,0.238752,0.241283,0.243517,0.241365
80,0.23715,0.240748,0.241966,0.241677,0.241468,0.240846,0.237758,0.238446,0.237109,0.237302,0.234624,0.234608,0.233663,0.232817,0.232209,0.230579,0.229573,0.228421,0.226322,0.224128,0.225286,0.222638,0.221082,0.221014,0.219654,0.216102,0.214676,0.210205,0.206912,0.204552,0.201315,0.203004,0.218853,0.226212,0.223523,0.218708,0.216258,0.217075,0.218457,0.223232,0.225215,0.226441,0.22965,0.23075,0.232705,0.234792,0.234817,0.233189,0.232755,0.232713,0.230414,0.230443,0.22856,0.228042,0.225729,0.224705,0.222431,0.221418,0.219996,0.218243,0.217345,0.218863,0.224217,0.226516,0.221256
72,0.203237,0.208834,0.214409,0.213982,0.212964,0.211156,0.209936,0.204411,0.204883,0.202425,0.202574,0.199387,0.196963,0.194916,0.194524,0.191808,0.190112,0.188159,0.187207,0.185802,0.183951,0.181329,0.179147,0.175015,0.168025,0.160105,0.155044,0.147148,0.138896,0.135488,0.127622,0.129673,0.147353,0.159937,0.152897,0.143709,0.136263,0.136529,0.152062,0.166677,0.174874,0.178632,0.182732,0.184556,0.188492,0.189257,0.194786,0.198357,0.200838,0.202529,0.204121,0.203234,0.202501,0.199543,0.198468,0.197431,0.195249,0.191399,0.19204,0.190156,0.190283,0.193209,0.199781,0.202258,0.198531
64,0.169066,0.1715,0.174217,0.174464,0.171429,0.171397,0.167729,0.167475,0.165873,0.163659,0.162498,0.160424,0.15901,0.15785,0.155185,0.153634,0.151508,0.148819,0.143455,0.138941,0.130897,0.122202,0.114833,0.10886,0.0998061,0.0912487,0.0803289,0.071204,0.0671542,0.0608923,0.0581722,0.0565596,0.0671458,0.0762142,0.0715494,0.0608335,0.0535744,0.0550866,0.0688903,0.0933083,0.112082,0.118478,0.118979,0.122851,0.126517,0.13123,0.136532,0.141076,0.148871,0.152565,0.157336,0.159564,0.16368,0.16512,0.16478,0.164476,0.162765,0.160755,0.159666,0.16002,0.159117,0.162583,0.168716,0.173371,0.167289
56,0.144234,0.143663,0.143343,0.142343,0.141235,0.139783,0.138361,0.136789,0.136351,0.135915,0.134809,0.133907,0.132361,0.130932,0.128721,0.125405,0.119691,0.112866,0.102987,0.0960293,0.086341,0.0757633,0.0653178,0.0562351,0.0490813,0.0437454,0.0359327,0.0297431,0.0234399,0.0195738,0.0159949,0.0144377,0.0193226,0.0229948,0.0209465,0.0165023,0.0144154,0.0144433,0.0200991,0.0402101,0.0552984,0.0625926,0.0641984,0.0667728,0.0694049,0.0753321,0.0797151,0.0828459,0.0906191,0.097599,0.104481,0.11197,0.119501,0.125753,0.131751,0.135177,0.136063,0.136766,0.136679,0.136237,0.136533,0.139024,0.146614,0.149759,0.144559
48,0.1325,0.130953,0.129761,0.128934,0.128443,0.127878,0.127337,0.12682,0.125574,0.124665,0.123061,0.121048,0.115403,0.109753,0.101184,0.0939039,0.0842618,0.0729849,0.0603321,0.051467,0.0437947,0.0360625,0.0287781,0.0225243,0.0171442,0.0131641,0.0106857,0.00833828,0.00679682,0.00546452,0.00414664,0.00290267,0.00288539,0.00361901,0.00278894,0.00154581,0.000989929,0.000984207,0.00254826,0.00907971,0.0150005,0.0187333,0.0196115,0.0199177,0.0223082,0.0260184,0.029463,0.0356565,0.0430751,0.0507143,0.057658,0.0662743,0.0769366,0.08678,0.0969994,0.105815,0.113139,0.119593,0.123223,0.125418,0.126737,0.128739,0.131342,0.131586,0.130797
