SW Version,2022.1
Date and Time Started,2024-Feb-01 17:11:38
Date and Time Ended,2024-Feb-01 17:11:51
Scan Name,Scan_2J1D3-1J1D0
Link Settings,
Reset RX After Applying Settings,false
Open Area,16768
Horizontal Opening,153
Horizontal Percentage,60.61
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.241499,0.247045,0.249114,0.247883,0.247076,0.246702,0.244249,0.244423,0.244212,0.240956,0.236344,0.232137,0.225248,0.215377,0.20652,0.201333,0.22032,0.219325,0.200743,0.189042,0.200626,0.212208,0.223499,0.234827,0.246175,0.250857,0.25104,0.251347,0.251624,0.251377,0.25147,0.251841,0.251841
112,0.207259,0.217673,0.223054,0.220537,0.21974,0.217889,0.216408,0.212751,0.208466,0.19943,0.189165,0.175324,0.16069,0.142984,0.133964,0.134484,0.165351,0.163309,0.131152,0.113055,0.122712,0.140854,0.16083,0.185519,0.210314,0.2287,0.239191,0.240883,0.240855,0.239669,0.238303,0.242801,0.24954
104,0.164749,0.164006,0.168653,0.168959,0.168033,0.165082,0.156582,0.147821,0.13264,0.116668,0.0967326,0.0826198,0.0679589,0.0564427,0.0490712,0.047137,0.0777059,0.0805682,0.049523,0.0324856,0.037853,0.0477406,0.0555056,0.0776372,0.11007,0.144577,0.176405,0.190381,0.191935,0.187953,0.194309,0.208119,0.226424
96,0.137828,0.137592,0.136974,0.135708,0.131864,0.125776,0.115641,0.096646,0.0775524,0.0600278,0.0449235,0.0317576,0.0189656,0.0124311,0.00832082,0.00695799,0.0168842,0.01781,0.00684129,0.00288086,0.00386554,0.0054849,0.00669561,0.00862385,0.0199646,0.046874,0.0834852,0.120976,0.139503,0.141785,0.145475,0.158634,0.172681
88,0.128133,0.128413,0.127826,0.126133,0.120875,0.107935,0.0905627,0.0703491,0.05205,0.0347838,0.0210744,0.0120373,0.00595018,0.00293367,0.00149944,0.000844849,0.00169614,0.00190416,0.000455267,0.000112535,0.000196579,0.000330334,0.000433213,0.000616798,0.00181666,0.0145087,0.0476987,0.0854715,0.117256,0.127532,0.129786,0.132288,0.140888
80,0.126042,0.126079,0.124891,0.119795,0.108576,0.0887041,0.0679832,0.0461694,0.0304269,0.0160009,0.00762999,0.00326627,0.00115039,0.000448115,0.000123741,7.0573e-05,5.91287e-05,6.2109e-05,6.67582e-06,1.66896e-06,9.53689e-07,7.74872e-06,1.04906e-05,2.15772e-05,5.87711e-05,0.00212387,0.0209195,0.0564802,0.0941981,0.119215,0.125999,0.12653,0.12771
72,0.125896,0.12552,0.121585,0.110845,0.0908433,0.0661234,0.0448724,0.0271083,0.0133111,0.00519427,0.0017077,0.000504263,0.000150206,4.24392e-05,3.81476e-06,4.76844e-07,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.31132e-06,0.000160101,0.00656758,0.0338245,0.07129,0.105528,0.123324,0.125975,0.126099
64,0.126054,0.12361,0.113852,0.0941856,0.0697919,0.0456648,0.0253174,0.0118876,0.00405842,0.00105883,0.000236634,4.5181e-05,6.79503e-06,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.05318e-06,0.000977889,0.0156114,0.0477775,0.0860707,0.115568,0.125459,0.126799
56,0.126565,0.119612,0.101284,0.0784063,0.0511329,0.0296533,0.013173,0.00415963,0.000958815,0.00019646,2.96836e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.11828e-05,0.00567338,0.0318069,0.0678183,0.101684,0.123193,0.128247
48,0.128477,0.11104,0.086749,0.0586946,0.0319417,0.0145235,0.00431437,0.000799191,0.000110986,6.55661e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.86107e-06,0.00108697,0.015784,0.0476678,0.0835242,0.115895,0.133089
40,0.130276,0.102071,0.0673562,0.0398129,0.0174808,0.00558957,0.000923767,0.000118973,3.57633e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000119569,0.00597498,0.0311427,0.0656886,0.103735,0.134779
32,0.130422,0.0891966,0.0500135,0.0225948,0.00715374,0.00122168,0.000102283,1.19211e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.91424e-06,0.00146391,0.0168749,0.0483107,0.0914595,0.136828
24,0.130294,0.0786678,0.0340425,0.0115842,0.00205997,0.000208023,4.64923e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,0.000279788,0.00843454,0.0374741,0.0818574,0.13893
16,0.126524,0.0685683,0.0236197,0.00472708,0.000441558,1.7524e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.77394e-05,0.00367027,0.0272856,0.0747356,0.138425
8,0.123897,0.0638908,0.0213898,0.00378114,0.000353699,2.03851e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.15267e-07,0.000285987,0.00451715,0.0242197,0.0723656,0.139324
0,0.123534,0.0658039,0.0265014,0.0077945,0.00174024,0.000220421,1.22787e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.44383e-05,0.0011821,0.00916921,0.0288169,0.0729375,0.139356
-8,0.122697,0.0676864,0.028095,0.00945064,0.0023481,0.00032795,2.72993e-05,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.16047e-05,0.00152781,0.0103509,0.0310057,0.0745692,0.13874
-16,0.122973,0.073702,0.0391751,0.0182441,0.00615105,0.00152829,0.000198248,1.63319e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.15267e-07,0.000245694,0.00388151,0.0177685,0.0432083,0.0824167,0.135855
-24,0.122191,0.0861062,0.0557182,0.0305906,0.0133929,0.00426621,0.00108244,0.000148656,8.94083e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.96698e-05,0.00101067,0.00868852,0.0289529,0.0582329,0.0963116,0.130504
-32,0.12395,0.100097,0.069593,0.0429345,0.023206,0.00984915,0.00336128,0.000858678,0.000143411,1.27556e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,0.000127794,0.00271313,0.0161231,0.0411928,0.0751142,0.108763,0.128174
-40,0.124836,0.112126,0.0862376,0.061097,0.037462,0.0194712,0.00845176,0.00326543,0.000790608,0.000179055,2.06235e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.41861e-05,0.000710498,0.00763237,0.0270865,0.0574998,0.0927525,0.11732,0.126427
-48,0.12545,0.119848,0.103017,0.0780239,0.0539963,0.0329045,0.0175648,0.00782552,0.00328045,0.000816835,0.000204447,2.25309e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.43053e-06,0.000144484,0.00274317,0.0160103,0.0422229,0.0777443,0.107409,0.122825,0.12606
-56,0.125747,0.123851,0.11534,0.0955032,0.0733315,0.0506122,0.0311527,0.0172814,0.00844479,0.00346702,0.00109269,0.000399953,8.28517e-05,2.98028e-06,1.31132e-06,2.38422e-07,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,4.37505e-05,0.000935807,0.00841046,0.0297342,0.0606508,0.094985,0.117257,0.125133,0.126145
