SW Version,2022.1
Date and Time Started,2024-Feb-01 17:14:21
Date and Time Ended,2024-Feb-01 17:14:33
Scan Name,Scan_2J3D0-1J3D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,12800
Horizontal Opening,145
Horizontal Percentage,57.58
Vertical Opening,97
Vertical Percentage,41.94
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251347,0.251779,0.250614,0.251317,0.251841,0.251903,0.250826,0.251748,0.251007,0.248938,0.250885,0.245305,0.244736,0.240703,0.238962,0.242088,0.248631,0.24566,0.239696,0.240388,0.241473,0.245853,0.250191,0.250827,0.251841,0.251872,0.251934,0.251872,0.25181,0.251903,0.251841,0.251903,0.251903
112,0.2443,0.247507,0.244767,0.247045,0.245573,0.246864,0.242825,0.237639,0.240856,0.236364,0.231074,0.230268,0.222762,0.21662,0.215011,0.212589,0.235103,0.224467,0.209828,0.19849,0.199329,0.215493,0.232813,0.239359,0.245477,0.247248,0.249919,0.251102,0.251686,0.249479,0.251593,0.249621,0.251872
104,0.221889,0.247076,0.233482,0.227577,0.227176,0.223516,0.218111,0.210491,0.20397,0.194139,0.180499,0.154242,0.176263,0.15291,0.15105,0.140715,0.175288,0.192799,0.158447,0.127097,0.138536,0.174628,0.174489,0.203551,0.195171,0.221718,0.235126,0.241195,0.239516,0.24478,0.23523,0.249387,0.250887
96,0.182979,0.179976,0.19425,0.206834,0.184323,0.173804,0.172368,0.149549,0.144976,0.140165,0.121767,0.105426,0.103712,0.0779085,0.0814625,0.0770509,0.114629,0.0930952,0.0834483,0.0585971,0.0753849,0.0935798,0.0904788,0.103012,0.117835,0.184469,0.188817,0.196438,0.210194,0.195725,0.209118,0.218514,0.240801
88,0.152686,0.152323,0.157335,0.152501,0.149382,0.138795,0.12313,0.110271,0.0967864,0.0859965,0.0671809,0.0608709,0.0446755,0.0422422,0.0347152,0.0291092,0.0528586,0.0565369,0.0336663,0.0291992,0.0321094,0.034678,0.0335428,0.0445209,0.054933,0.0754331,0.122385,0.140922,0.160394,0.166628,0.172161,0.183121,0.205517
80,0.135945,0.136895,0.134919,0.129578,0.116013,0.104168,0.0891486,0.0726851,0.0572506,0.0405394,0.0333372,0.0264314,0.0181016,0.0142908,0.0112692,0.00959435,0.0162414,0.0173225,0.00987497,0.00730168,0.00824655,0.00937846,0.00996605,0.0107439,0.0170327,0.0309515,0.060703,0.0943936,0.129586,0.138461,0.141163,0.149289,0.167762
72,0.128681,0.126708,0.125427,0.110719,0.100369,0.0848305,0.0626429,0.0538693,0.039709,0.02508,0.0169368,0.0116794,0.00732397,0.00534137,0.00318747,0.00270514,0.00449485,0.00316398,0.0017071,0.00165942,0.00129082,0.00114359,0.00161269,0.0020856,0.00291936,0.00867428,0.0237171,0.0590769,0.0975235,0.12186,0.134333,0.132264,0.137785
64,0.126468,0.121866,0.111405,0.0913315,0.0823939,0.0660786,0.0463632,0.0309518,0.0187505,0.0134536,0.00860872,0.00463183,0.00256447,0.00144901,0.000435478,0.000376349,0.000671874,0.000797761,0.000460036,6.72351e-05,9.15541e-05,0.000136497,0.000256304,0.000206235,0.000361687,0.00274233,0.00955417,0.0321721,0.0735471,0.109354,0.123632,0.127841,0.127956
56,0.123102,0.115773,0.104519,0.0932324,0.0692542,0.0532398,0.0352226,0.0219373,0.0134129,0.00750732,0.0040589,0.00157335,0.000747573,0.000397688,4.39889e-05,4.00549e-05,0.000151279,0.000109913,4.5181e-05,2.86107e-06,3.2187e-06,2.38422e-07,1.4663e-05,7.03346e-06,4.66115e-05,0.000438935,0.0040856,0.0173873,0.0512702,0.0902676,0.114383,0.125241,0.128385
48,0.125964,0.108677,0.0962754,0.0746674,0.0518018,0.0360305,0.01955,0.0116511,0.00613091,0.0029581,0.00121011,0.000361448,9.33423e-05,1.58551e-05,5.00687e-06,4.76844e-07,2.38422e-07,5.00687e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.96056e-07,3.56441e-05,0.000857962,0.00823963,0.0303796,0.0746937,0.105452,0.121224,0.132234
40,0.124158,0.0977882,0.0816825,0.0586341,0.0360584,0.0227857,0.0127537,0.00611005,0.00334435,0.000946536,0.000274543,1.51398e-05,1.37093e-05,8.10636e-06,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.74872e-06,0.000209335,0.00356107,0.0189985,0.0493113,0.0886057,0.113117,0.134921
32,0.122102,0.0911978,0.0650596,0.041983,0.0241655,0.0135099,0.00588915,0.00264136,0.00090064,0.000124933,1.06098e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,3.39752e-05,0.00111856,0.00950909,0.0338161,0.0716512,0.106162,0.135254
24,0.13015,0.0847441,0.0539291,0.0327433,0.0153366,0.00764429,0.00253491,0.000761282,7.47454e-05,3.24254e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.5103e-06,0.000255946,0.00474436,0.0212395,0.0559227,0.0979689,0.140304
16,0.121125,0.073971,0.0454355,0.0225432,0.0101503,0.00446493,0.000760209,0.000323897,6.55661e-06,2.62264e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,4.69692e-05,0.00185469,0.0113372,0.0415913,0.0881008,0.136639
8,0.123743,0.0707562,0.0345362,0.0126155,0.00464518,0.00112428,0.000268463,2.51535e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,1.47822e-05,0.000549563,0.00744092,0.0324411,0.0795691,0.146065
