SW Version,2022.2
Date and Time Started,2024-Jan-18 11:40:12
Date and Time Ended,2024-Jan-18 11:40:49
Scan Name,Scan_3J6D0-1J6D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,17600
Horizontal Opening,169
Horizontal Percentage,66.67
Vertical Opening,113
Vertical Percentage,48.39
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
16,0.129581,0.0646618,0.0190835,0.00374156,0.000318055,2.74186e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000122191,0.00505097,0.0284493,0.0795727,0.147208
8,0.132667,0.0571755,0.0100464,0.000733148,1.18019e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.51398e-05,0.00165358,0.0194587,0.0759371,0.150465
0,0.134194,0.0599495,0.0136332,0.00164154,6.47316e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.5181e-05,0.0023307,0.0225142,0.0804811,0.151479
-8,0.131462,0.0745109,0.0298941,0.00825444,0.000968233,3.64786e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.43053e-06,0.000424153,0.00768196,0.0389248,0.0914116,0.148148
-16,0.127422,0.0934208,0.0520673,0.0214287,0.00629935,0.000793588,2.09812e-05,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.16964e-05,0.00225047,0.0187053,0.0609617,0.106315,0.139168
-24,0.126068,0.109306,0.0771771,0.041656,0.017638,0.00551757,0.00072528,2.38422e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,0.00029624,0.00744616,0.0386797,0.0871844,0.120977,0.130873
-32,0.126105,0.118961,0.0974853,0.0626368,0.0327886,0.014442,0.00447626,0.000617633,2.5392e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.46399e-06,0.00160315,0.0172276,0.0627952,0.107357,0.125028,0.127353
-40,0.125912,0.124633,0.113928,0.0907628,0.0610825,0.0337215,0.0162471,0.00585589,0.00102271,9.84684e-05,1.19211e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.96056e-07,0.000251297,0.00732111,0.0394325,0.0919668,0.121575,0.125936,0.126052
-48,0.12592,0.12589,0.123223,0.110011,0.087685,0.0587687,0.0335866,0.0177229,0.0074687,0.00186816,0.000197771,1.20403e-05,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.56441e-05,0.00214365,0.0215531,0.0706591,0.115467,0.125689,0.125959,0.125967
-56,0.125951,0.12592,0.125581,0.122282,0.111618,0.0908433,0.065919,0.0436222,0.0261128,0.0127744,0.00489278,0.00116767,0.000193003,2.22925e-05,2.26501e-06,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.86793e-06,0.00095202,0.0119632,0.0526612,0.103629,0.124454,0.125967,0.125975,0.126146
-64,0.126021,0.12593,0.125923,0.125643,0.122194,0.110869,0.0936344,0.0722338,0.0522229,0.0357688,0.0214493,0.0105421,0.00427849,0.00115253,0.000278239,0.000105025,0.000251893,3.37367e-05,4.76844e-07,2.38422e-07,4.76844e-07,1.19211e-06,2.38422e-06,7.15267e-06,0.000303392,0.00581655,0.0345698,0.0873907,0.121173,0.12617,0.126553,0.128657,0.133248
-72,0.129915,0.128034,0.12718,0.126877,0.126544,0.124275,0.118056,0.103581,0.0835965,0.0682012,0.0545434,0.0416021,0.0275867,0.0167924,0.00930888,0.00485213,0.0111926,0.00537332,0.000638972,0.000113966,0.000411755,0.000952616,0.00174501,0.00265388,0.00891402,0.0361506,0.0863418,0.124816,0.135094,0.139551,0.143334,0.155584,0.173193
-80,0.150663,0.152111,0.154389,0.153367,0.151231,0.149185,0.147427,0.144246,0.135353,0.121432,0.102075,0.0849306,0.0726277,0.0646449,0.0544544,0.0502215,0.0961144,0.0680478,0.0290534,0.0135773,0.0251135,0.0376913,0.04069,0.058267,0.0986986,0.152965,0.184456,0.193038,0.19397,0.198363,0.202599,0.230146,0.237109
-88,0.197749,0.203573,0.219606,0.213666,0.21487,0.20904,0.208785,0.206873,0.199364,0.200413,0.19397,0.183795,0.168224,0.15416,0.142984,0.147092,0.195696,0.167228,0.123476,0.100804,0.125987,0.147807,0.177252,0.212741,0.237393,0.246117,0.246459,0.245631,0.245657,0.244117,0.245488,0.247476,0.247854
-96,0.235539,0.239747,0.244547,0.243782,0.243273,0.241756,0.239545,0.238576,0.238849,0.23575,0.234539,0.231925,0.232893,0.228681,0.221842,0.22515,0.243661,0.230867,0.207412,0.195722,0.217453,0.229821,0.240506,0.246535,0.247938,0.24791,0.24797,0.247939,0.247972,0.24791,0.24797,0.247969,0.247939
-104,0.247707,0.247765,0.247939,0.247939,0.247939,0.24791,0.247939,0.247794,0.247796,0.247736,0.247649,0.247796,0.24768,0.247701,0.247455,0.247754,0.24797,0.247663,0.2462,0.245095,0.247017,0.247814,0.247847,0.24797,0.247969,0.247969,0.247939,0.248,0.247969,0.247969,0.247939,0.247939,0.24797
-112,0.247969,0.247969,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247969,0.247969,0.247939,0.24797,0.247969,0.247939,0.247939,0.247941,0.247969,0.247939,0.247969,0.247969,0.247939,0.247939,0.24797,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939
-120,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.248,0.247939,0.247939,0.247939,0.24797,0.247939,0.24797,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.24797,0.247939,0.247969,0.247939
Scan End
