SW Version,2022.1
Date and Time Started,2023-Oct-12 13:59:17
Date and Time Ended,2023-Oct-12 13:59:28
Scan Name,3J1D2-1J1D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,13568
Horizontal Opening,169
Horizontal Percentage,66.67
Vertical Opening,89
Vertical Percentage,38.71
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
96,0.250919,0.251501,0.251872,0.251779,0.251872,0.251872,0.251872,0.251872,0.251872,0.251872,0.251841,0.251872,0.251717,0.251717,0.25147,0.251717,0.251872,0.251841,0.251102,0.250461,0.251409,0.251779,0.251934,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
88,0.239525,0.241286,0.247076,0.247133,0.247305,0.247045,0.246647,0.246448,0.245688,0.245629,0.245452,0.24361,0.241405,0.237679,0.230829,0.232546,0.247809,0.246988,0.235246,0.221858,0.238031,0.245247,0.248561,0.25107,0.251779,0.251872,0.251748,0.251347,0.251102,0.250949,0.250797,0.251439,0.251903
80,0.197809,0.204853,0.214348,0.214731,0.21344,0.212289,0.212862,0.214394,0.214546,0.210668,0.203734,0.190079,0.177298,0.165166,0.158225,0.158446,0.201044,0.200873,0.168306,0.139708,0.160341,0.187581,0.204234,0.220978,0.234518,0.240657,0.240294,0.237608,0.235772,0.232885,0.235368,0.241048,0.248181
72,0.148292,0.148117,0.150644,0.151641,0.14888,0.149245,0.150819,0.147137,0.141052,0.128782,0.106318,0.0893453,0.0752422,0.0628407,0.0563604,0.0580707,0.109142,0.108046,0.0612724,0.0387832,0.0491134,0.0532741,0.0653682,0.0895443,0.116116,0.143421,0.160921,0.162956,0.163477,0.161339,0.162304,0.182158,0.216222
64,0.128358,0.127856,0.127803,0.1277,0.127155,0.126713,0.122203,0.108851,0.0883899,0.0662544,0.0483969,0.0340952,0.0242787,0.0169643,0.0115794,0.0094296,0.0231656,0.0231525,0.00952291,0.00376159,0.00430984,0.00562891,0.00555309,0.00994003,0.0316279,0.0572787,0.0874562,0.116012,0.126431,0.128784,0.12934,0.131221,0.144022
56,0.125997,0.125966,0.12595,0.125836,0.124852,0.12022,0.106668,0.0813467,0.058036,0.0397356,0.0247968,0.0130432,0.00597844,0.00219408,0.000850094,0.00037778,0.00194779,0.00259439,0.000363117,4.66115e-05,4.92342e-05,7.76064e-05,7.71296e-05,0.000265722,0.00648103,0.0304241,0.0575394,0.0893213,0.116086,0.124788,0.125951,0.126052,0.126746
48,0.12592,0.12592,0.125859,0.1243,0.117889,0.10041,0.0725408,0.0490321,0.0303728,0.0151433,0.00552114,0.00116052,0.000132086,1.45438e-05,3.57633e-07,2.38422e-07,3.2187e-06,7.86793e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,0.000249986,0.00665246,0.0320249,0.0591391,0.0928944,0.117779,0.125148,0.125959,0.125967
40,0.125948,0.125828,0.12424,0.117618,0.0932592,0.0632012,0.0420425,0.0220954,0.00892047,0.00192001,0.000129106,3.2187e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,0.000446088,0.00925364,0.035804,0.0618009,0.0979933,0.119418,0.12549,0.125967
32,0.126764,0.124882,0.117645,0.0937201,0.0609588,0.0382056,0.0177026,0.00592157,0.000763786,1.83585e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.03346e-06,0.000939026,0.014831,0.0422056,0.0702405,0.105009,0.121527,0.126107
24,0.130223,0.122522,0.100312,0.0663461,0.0395851,0.0188351,0.00569817,0.000655423,1.34709e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.84272e-05,0.00366038,0.0236122,0.0504067,0.0813193,0.112679,0.126208
16,0.140198,0.110423,0.0699391,0.0393723,0.017488,0.00444634,0.00036121,3.45712e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,0.000318294,0.00747656,0.0314282,0.0577486,0.0916232,0.12577
8,0.144966,0.0923446,0.0451519,0.0201126,0.00466986,0.000224832,2.1458e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.84134e-06,0.000949516,0.0133056,0.0390107,0.070907,0.124512
0,0.136959,0.0781143,0.0296309,0.00682853,0.000277166,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.47179e-05,0.00328653,0.0241166,0.0632297,0.12271
-8,0.130756,0.0765673,0.0328962,0.00888053,0.00132885,6.35395e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.96056e-07,0.000303988,0.00476666,0.0247532,0.0654994,0.130605
-16,0.136563,0.0884612,0.0497336,0.0258387,0.00741732,0.00124135,4.81613e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.80695e-05,0.0020074,0.0160287,0.043328,0.0815713,0.130579
-24,0.133957,0.106106,0.0750393,0.0458899,0.023687,0.00782336,0.00150683,6.95001e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.03346e-06,0.000811232,0.00983129,0.0352768,0.0670268,0.108181,0.127252
-32,0.128564,0.119451,0.0964023,0.0683295,0.0412798,0.0215395,0.00734638,0.00141241,6.69966e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000224832,0.00402087,0.0241805,0.0543363,0.0942209,0.119705,0.1262
-40,0.126175,0.124937,0.116973,0.0938231,0.068284,0.0431153,0.0236105,0.00934032,0.00251917,0.000162485,1.90738e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.6772e-05,0.00207034,0.0180656,0.046958,0.0831747,0.115572,0.124832,0.125967
-48,0.125952,0.12592,0.124633,0.115888,0.0952899,0.0713579,0.0470366,0.0278727,0.0128484,0.00426084,0.000601897,2.72993e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.58688e-05,0.00117399,0.0125383,0.041525,0.0754543,0.11162,0.123948,0.125951,0.125967
-56,0.125951,0.12592,0.12589,0.124846,0.117403,0.0996871,0.0774925,0.0559494,0.0353124,0.0183728,0.00836232,0.00256983,0.000345593,4.24392e-05,1.01329e-05,1.03714e-05,5.32874e-05,3.93397e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.04906e-05,0.000820649,0.0097129,0.0389487,0.0679178,0.106819,0.122673,0.125874,0.125959,0.125975
-64,0.125978,0.125959,0.125934,0.125941,0.124196,0.116393,0.102079,0.0801499,0.0612355,0.0415271,0.0250251,0.0136487,0.00630591,0.00274495,0.00145485,0.00127615,0.00443763,0.00206474,0.000175717,1.58551e-05,5.61484e-05,0.000118853,0.000125768,0.000652323,0.00627313,0.0320913,0.062353,0.098414,0.121027,0.125597,0.125982,0.126387,0.128827
-72,0.130723,0.131004,0.132419,0.133104,0.133928,0.133386,0.127316,0.116894,0.0998223,0.0816959,0.0634497,0.0481522,0.0363797,0.0274827,0.0214201,0.0224061,0.0423714,0.0317832,0.0127222,0.00603447,0.0100862,0.0120485,0.014198,0.0204247,0.0477978,0.0741102,0.103596,0.124203,0.129914,0.130187,0.133427,0.151709,0.171072
-80,0.156344,0.160319,0.17428,0.17617,0.175324,0.17579,0.17625,0.175295,0.165719,0.152241,0.136873,0.121747,0.110749,0.0986712,0.0943897,0.0944233,0.140946,0.131325,0.0852394,0.0594358,0.0721974,0.0956846,0.120898,0.145623,0.166305,0.185787,0.193992,0.192451,0.190598,0.188942,0.197818,0.214738,0.234071
-88,0.215665,0.221776,0.232231,0.231321,0.230504,0.232372,0.230632,0.23191,0.231645,0.230287,0.224278,0.214353,0.202118,0.193446,0.189935,0.19199,0.219223,0.214652,0.188663,0.167532,0.193084,0.215226,0.224762,0.234515,0.24205,0.244714,0.2451,0.244156,0.243055,0.241719,0.242171,0.245332,0.247446
-96,0.245713,0.247248,0.247736,0.247678,0.247449,0.247707,0.247825,0.247794,0.247765,0.247676,0.247346,0.246248,0.243488,0.239282,0.237853,0.23824,0.244917,0.243459,0.237085,0.231807,0.240287,0.242883,0.244535,0.246623,0.247787,0.24797,0.247879,0.247938,0.247818,0.247752,0.247848,0.247939,0.247969
-104,0.247939,0.247969,0.247939,0.247969,0.247969,0.247939,0.247939,0.24797,0.247969,0.247969,0.247939,0.247941,0.24791,0.247909,0.247878,0.247847,0.24791,0.247939,0.247355,0.246531,0.247692,0.247879,0.247941,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969
-112,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797
-120,0.24797,0.24797,0.247939,0.24797,0.24797,0.24797,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.24797,0.248,0.247939,0.247969,0.247969,0.247939,0.24797,0.247939,0.24797,0.247939,0.247969,0.247939,0.247969
Scan End
