SW Version,2022.1
Date and Time Started,2024-Feb-06 19:11:19
Date and Time Ended,2024-Feb-06 19:11:29
Scan Name,Scan_2J6D1-1J6D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,6912
Horizontal Opening,129
Horizontal Percentage,51.52
Vertical Opening,49
Vertical Percentage,22.58
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251872,0.251903,0.251903
96,0.251872,0.25181,0.251903,0.251903,0.251872,0.251903,0.251903,0.251872,0.251872,0.251872,0.25181,0.251717,0.251439,0.251347,0.25101,0.25147,0.251841,0.251841,0.251841,0.251841,0.251841,0.251903,0.251872,0.251872,0.251841,0.251717,0.251872,0.251779,0.25147,0.251286,0.251225,0.251409,0.251841
88,0.249472,0.24977,0.251779,0.251717,0.251593,0.251041,0.250919,0.250161,0.24983,0.249204,0.245461,0.246505,0.245576,0.243458,0.244118,0.242737,0.250431,0.250795,0.248571,0.248211,0.250008,0.251225,0.251224,0.250949,0.250372,0.249531,0.248818,0.247883,0.246844,0.244031,0.243601,0.246647,0.249233
80,0.220033,0.229552,0.241006,0.239375,0.23518,0.234724,0.230696,0.228023,0.227165,0.224128,0.222069,0.219913,0.217802,0.213437,0.210269,0.206832,0.225432,0.23157,0.212942,0.210347,0.225428,0.230364,0.237698,0.238536,0.235574,0.23163,0.229174,0.225012,0.220419,0.218691,0.217275,0.223162,0.230938
72,0.18324,0.186749,0.195449,0.194944,0.193248,0.189278,0.186823,0.183075,0.17894,0.174229,0.170728,0.160248,0.153452,0.139425,0.127175,0.121739,0.161253,0.162516,0.11915,0.11597,0.148557,0.158726,0.170263,0.179006,0.18333,0.185024,0.18129,0.177506,0.173757,0.171209,0.172839,0.184077,0.201524
64,0.159312,0.158841,0.155471,0.150793,0.146692,0.14274,0.140244,0.138122,0.133589,0.128494,0.119316,0.108218,0.0936422,0.0769099,0.0624686,0.0508542,0.0621651,0.0570684,0.0350551,0.0343854,0.0704072,0.0794569,0.08864,0.101693,0.121647,0.134631,0.143037,0.143202,0.14199,0.140938,0.140721,0.144777,0.155106
56,0.13931,0.13702,0.132446,0.130667,0.129148,0.12815,0.127131,0.121809,0.114889,0.103404,0.0890184,0.0722529,0.0550742,0.0388059,0.0281955,0.0205538,0.0227145,0.0186596,0.0103314,0.0089271,0.0226463,0.0283728,0.0366808,0.0465884,0.0631095,0.0865789,0.109135,0.121838,0.127411,0.12753,0.128066,0.129611,0.135069
48,0.128177,0.127216,0.126335,0.126099,0.125132,0.122197,0.115476,0.10405,0.0899828,0.0721628,0.0538306,0.0361244,0.0235358,0.0148997,0.0096168,0.00590739,0.00568613,0.00376028,0.00120511,0.00111927,0.00355964,0.00289671,0.00523027,0.0124449,0.0265137,0.0457378,0.0702429,0.0984192,0.117715,0.124324,0.125735,0.126006,0.126317
40,0.126014,0.125892,0.125708,0.123822,0.118462,0.107879,0.0924843,0.0763713,0.0565738,0.0367944,0.0230027,0.0143036,0.00850441,0.00412578,0.00153413,0.000563749,0.000349765,0.000125052,2.1458e-05,2.63457e-05,0.000153305,6.59237e-05,0.000162127,0.00119831,0.00590953,0.0178365,0.0378465,0.0629134,0.0919058,0.114324,0.122974,0.125773,0.125967
32,0.12648,0.123755,0.121383,0.112575,0.0991274,0.0811399,0.0609516,0.0401627,0.0232303,0.014257,0.00757002,0.0031821,0.00087799,0.000197414,2.68225e-05,5.72213e-06,1.19211e-06,3.57633e-07,2.38422e-07,2.38422e-07,8.34478e-07,8.34478e-07,2.02659e-06,1.13251e-05,0.00019491,0.00241402,0.0117782,0.0305954,0.0566869,0.0873655,0.109911,0.122096,0.125727
24,0.127751,0.11671,0.108211,0.0938412,0.073838,0.0522123,0.0314338,0.0188116,0.0101559,0.00440914,0.00118591,0.000178817,1.77625e-05,4.41081e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.48371e-06,0.000156524,0.00207475,0.0114184,0.0295835,0.0555628,0.0859262,0.109191,0.121335
16,0.125286,0.102878,0.0834732,0.0627318,0.0414661,0.0235,0.0126858,0.00580344,0.00156059,0.00025535,2.03851e-05,2.62264e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.31132e-06,8.08251e-05,0.00139298,0.00897052,0.0246962,0.0496679,0.0781622,0.104342
8,0.123053,0.0938317,0.0597715,0.0330851,0.0167396,0.0077666,0.00254087,0.000353938,2.69417e-05,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,4.92342e-05,0.00106599,0.00611994,0.0205257,0.0431609,0.0770729
0,0.130974,0.0908222,0.0427894,0.0190106,0.00680862,0.00123503,0.000151398,5.96056e-06,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,2.44383e-05,0.000676881,0.00484152,0.0217452,0.0583726
-8,0.126532,0.0853965,0.0398219,0.0191219,0.010613,0.00450284,0.00125362,0.000222686,9.6561e-06,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.88354e-05,0.000733387,0.00719713,0.031145,0.0740967
-16,0.12185,0.0884155,0.0608451,0.0382213,0.0221994,0.0142494,0.00791932,0.00315528,0.00080539,0.000135424,1.03714e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,3.6717e-05,0.00111927,0.00939038,0.032636,0.0686163,0.100361
-24,0.122579,0.10365,0.0917312,0.0698776,0.0494202,0.0285584,0.0180325,0.0116448,0.00615463,0.00216845,0.000517376,8.67857e-05,6.31819e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.19211e-06,6.8904e-05,0.0017133,0.0121077,0.0389837,0.0728436,0.101745,0.118629
-32,0.123297,0.116707,0.113877,0.101184,0.0775747,0.0563373,0.035869,0.0216205,0.0154742,0.00926343,0.00421244,0.00144758,0.000276689,6.2109e-05,6.67582e-06,3.57633e-07,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.90738e-06,6.52085e-05,0.00146594,0.0115573,0.0397936,0.0732551,0.100341,0.120226,0.125582
-40,0.124958,0.12366,0.124403,0.119935,0.110391,0.0940126,0.0711497,0.0494919,0.0308003,0.0205703,0.0141655,0.00904065,0.00414712,0.00156727,0.000412947,0.000111105,5.90095e-05,7.5103e-06,4.76844e-07,9.53689e-07,1.13251e-05,7.62951e-06,1.19211e-06,1.57359e-05,0.000399119,0.00433964,0.0193438,0.0474174,0.0809996,0.10732,0.122266,0.125874,0.125967
-48,0.128591,0.128053,0.126458,0.125177,0.122729,0.117293,0.105239,0.0864216,0.0656586,0.0468769,0.0300911,0.0206832,0.0145483,0.00964395,0.00541576,0.00275604,0.00218597,0.000546464,0.000133755,0.000125649,0.0011126,0.000669609,0.000408894,0.0013875,0.00836814,0.0269572,0.0573083,0.0874493,0.112203,0.123624,0.125913,0.126216,0.126743
-56,0.135634,0.134197,0.13275,0.131194,0.129894,0.128187,0.124386,0.118071,0.104689,0.0861214,0.0676438,0.0461935,0.0313816,0.0219639,0.0173751,0.0139112,0.0144882,0.00901624,0.00370365,0.00379926,0.0132143,0.0130173,0.0146812,0.0262336,0.0480857,0.0745629,0.0981258,0.117525,0.127007,0.128439,0.128887,0.132498,0.136549
-64,0.145271,0.144831,0.148425,0.146894,0.145418,0.143895,0.14338,0.139707,0.136008,0.127616,0.111871,0.0911229,0.0705891,0.0529828,0.0389935,0.0327963,0.0467101,0.0365603,0.0223695,0.0221503,0.0414483,0.0542983,0.0676728,0.0858034,0.104633,0.124994,0.137017,0.13953,0.139188,0.139514,0.141624,0.149668,0.159852
-72,0.179549,0.180148,0.181499,0.178942,0.172708,0.169199,0.16661,0.165976,0.162804,0.160657,0.156971,0.150468,0.13723,0.119761,0.105261,0.095281,0.115175,0.0960514,0.0715296,0.0746561,0.124723,0.138796,0.146682,0.161826,0.172673,0.177336,0.177574,0.173659,0.170517,0.169663,0.171015,0.180652,0.18641
-80,0.212406,0.223418,0.232364,0.231148,0.227196,0.220363,0.217989,0.210729,0.211495,0.206157,0.199955,0.196173,0.190968,0.185571,0.179021,0.174159,0.21602,0.206031,0.175553,0.179707,0.206169,0.214139,0.218088,0.217149,0.21422,0.211617,0.207643,0.205286,0.201779,0.201337,0.204058,0.211445,0.217047
-88,0.242335,0.245994,0.247389,0.247736,0.247507,0.24742,0.247507,0.246759,0.246645,0.246053,0.245322,0.244826,0.243701,0.241762,0.241202,0.240351,0.247262,0.246365,0.243345,0.242003,0.244097,0.244447,0.244537,0.243719,0.242798,0.241245,0.239118,0.237782,0.232776,0.230449,0.231391,0.235183,0.240317
-96,0.247852,0.24797,0.247969,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.24791,0.247823,0.247883,0.247825,0.247883,0.24797,0.247909,0.247785,0.247754,0.247785,0.247909,0.24791,0.247878,0.247818,0.247632,0.247202,0.24638,0.246108,0.244271,0.244917,0.246381,0.247323
-104,0.247969,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.248,0.247939,0.247939,0.247938,0.24791,0.247939,0.247939,0.247939,0.247939
-112,0.247969,0.247939,0.248,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.248,0.247939,0.248,0.247939,0.247939,0.248,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939
-120,0.247969,0.247939,0.248,0.247939,0.247939,0.247939,0.24797,0.24797,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.24797,0.247969,0.247939,0.247939
Scan End
