SW Version,2022.2
Date and Time Started,2024-Feb-15 13:10:14
Date and Time Ended,2024-Feb-15 13:10:51
Scan Name,Scan_3J6D2-1J6D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,15360
Horizontal Opening,153
Horizontal Percentage,60.61
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.250614,0.251779,0.251872,0.251841,0.251841,0.25181,0.251841,0.251655,0.251748,0.251439,0.251624,0.251563,0.251378,0.251193,0.251285,0.251224,0.251872,0.251563,0.249615,0.24895,0.250827,0.251686,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.231691,0.242234,0.245996,0.244222,0.241682,0.240179,0.239043,0.237271,0.236287,0.234531,0.232619,0.230833,0.226725,0.222708,0.218993,0.221718,0.243706,0.237158,0.209992,0.199902,0.212042,0.226396,0.239273,0.249359,0.251562,0.251748,0.251562,0.251655,0.251408,0.251347,0.251286,0.25181,0.251872
104,0.189278,0.198348,0.210929,0.208353,0.204975,0.201165,0.195515,0.193964,0.191896,0.189063,0.182844,0.169419,0.160146,0.152546,0.146427,0.151759,0.192121,0.184205,0.137081,0.10399,0.126142,0.14933,0.16466,0.188883,0.216244,0.231951,0.235497,0.234916,0.234076,0.231559,0.235499,0.243616,0.249583
96,0.151133,0.149738,0.150501,0.150377,0.148153,0.146316,0.144678,0.142279,0.1381,0.127023,0.113615,0.0981261,0.0833873,0.0677121,0.0565687,0.0547676,0.0889071,0.0856015,0.0461206,0.0280495,0.0369474,0.0429272,0.0547756,0.0739055,0.102978,0.134952,0.160992,0.169963,0.174255,0.174326,0.182051,0.198823,0.222147
88,0.133038,0.131888,0.130511,0.129606,0.128739,0.127563,0.124843,0.118671,0.105457,0.091014,0.075142,0.0593081,0.0433946,0.0330931,0.0246043,0.0201517,0.0313686,0.0301493,0.0128263,0.00459571,0.00660453,0.00837604,0.0096287,0.0181037,0.0409853,0.0701184,0.106625,0.133984,0.143323,0.144544,0.149412,0.159265,0.171748
80,0.126261,0.126105,0.125967,0.125845,0.124918,0.121272,0.11138,0.0946241,0.0792939,0.0617531,0.0446415,0.0300679,0.0191179,0.0103727,0.0053068,0.00322156,0.00571176,0.00537618,0.000804913,5.72213e-05,0.000135901,0.000207189,0.000197652,0.0006739,0.00814295,0.0288017,0.0585933,0.0930446,0.118493,0.127635,0.129797,0.134623,0.139572
72,0.125921,0.12592,0.125859,0.124542,0.120725,0.107314,0.0896189,0.0730167,0.052974,0.035237,0.0216369,0.0112312,0.00456412,0.0013596,0.000246052,6.19898e-05,0.000165227,0.000178817,5.60292e-06,7.15267e-07,4.76844e-07,1.43053e-06,7.15267e-07,7.98714e-06,0.000893845,0.0110078,0.0350771,0.0667049,0.102218,0.120203,0.125759,0.126727,0.127851
64,0.125929,0.125828,0.12512,0.118847,0.104702,0.0845291,0.0669885,0.0458611,0.0288447,0.0153951,0.00654433,0.0017778,0.000283842,2.19348e-05,4.2916e-06,4.76844e-07,1.31132e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.69417e-05,0.00187793,0.0167434,0.0432926,0.0765708,0.10897,0.12302,0.125913,0.125967
56,0.125968,0.125182,0.120838,0.106399,0.0851618,0.0661746,0.0450302,0.0268074,0.0131602,0.00518008,0.00118317,0.000156167,9.77531e-06,2.26501e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.0729e-06,0.000238065,0.00698696,0.0283866,0.0571141,0.0936595,0.116023,0.125118,0.126029
48,0.126,0.122432,0.110845,0.0884424,0.0661234,0.0458817,0.0253087,0.0114782,0.00403363,0.000730406,7.54606e-05,4.53002e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.10636e-06,0.00132694,0.0142513,0.0389393,0.0717371,0.104354,0.121052,0.127329
40,0.129566,0.114808,0.0897603,0.0666831,0.0437863,0.0228467,0.00931737,0.00270991,0.000464327,4.41081e-05,3.33791e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.4892e-05,0.00491567,0.0232182,0.0503309,0.0843308,0.11165,0.129998
32,0.135266,0.100946,0.0709454,0.0457791,0.0237728,0.00945048,0.00253431,0.000330572,5.91287e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.33791e-06,0.000986949,0.0116061,0.0340001,0.0639204,0.100551,0.131067
24,0.13844,0.0911793,0.0546399,0.0297469,0.0113993,0.00292139,0.000429756,5.03071e-05,2.26501e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.00013447,0.00494297,0.0219013,0.0487757,0.0881723,0.131434
16,0.141317,0.0838527,0.0383345,0.0133614,0.00320308,0.00040043,5.40026e-05,4.17239e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.03346e-06,0.00105061,0.0114696,0.0380391,0.079366,0.133877
8,0.142331,0.0803377,0.0292271,0.0055401,0.000584373,4.76844e-05,2.1458e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000166299,0.00664566,0.0322771,0.0781991,0.137574
0,0.142062,0.0822879,0.0317478,0.00810636,0.000887288,2.75378e-05,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.66896e-06,0.000777018,0.00801742,0.0317081,0.0826526,0.140266
-8,0.141591,0.0829161,0.0317908,0.00855422,0.000996009,3.96973e-05,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.74186e-06,0.000930562,0.00853468,0.0323248,0.0830296,0.140496
-16,0.141629,0.0897077,0.0462459,0.0204838,0.00605259,0.00071622,3.99357e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.65473e-05,0.00323515,0.0153189,0.0407789,0.0913347,0.139983
-24,0.136556,0.101291,0.0660981,0.036444,0.0176216,0.00540718,0.00075854,5.41218e-05,4.64923e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.86107e-06,0.00093545,0.00874275,0.0260785,0.0602913,0.103447,0.135405
-32,0.131723,0.111322,0.0849324,0.0564304,0.0313722,0.0159884,0.00466044,0.000675927,5.11416e-05,2.98028e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.72625e-05,0.00336175,0.0164377,0.0409726,0.0816568,0.112559,0.131812
-40,0.127904,0.119249,0.105284,0.0796752,0.0540705,0.0303188,0.0161549,0.00557801,0.00109638,0.000110151,4.53002e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.64923e-06,0.00087942,0.00927761,0.0270513,0.0633257,0.101245,0.121254,0.127474
-48,0.126262,0.12428,0.117214,0.102337,0.0794897,0.0560106,0.0331088,0.0191114,0.00796441,0.00183967,0.000337129,2.70609e-05,2.62264e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000257854,0.00449307,0.0197239,0.0477375,0.0893157,0.11585,0.125262,0.126075
-56,0.126,0.125859,0.1237,0.116309,0.102378,0.0815405,0.0584134,0.0375582,0.0225409,0.0120635,0.00424165,0.000993029,0.000163796,1.63319e-05,1.54974e-06,2.38422e-07,7.15267e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.30764e-05,0.00186923,0.0126864,0.0351365,0.072818,0.108735,0.122978,0.125944,0.125959
-64,0.125958,0.12592,0.125704,0.122398,0.115392,0.102769,0.0819189,0.0622635,0.0408941,0.0267948,0.0148117,0.00626407,0.00216273,0.000545272,9.77531e-05,3.18294e-05,9.31039e-05,8.82162e-06,8.34478e-07,2.38422e-07,2.38422e-07,3.57633e-07,2.38422e-07,1.65703e-05,0.000678788,0.00622783,0.0237607,0.055178,0.0947738,0.118397,0.125551,0.125998,0.12613
-72,0.12598,0.125927,0.125922,0.125705,0.122751,0.117619,0.107022,0.0897761,0.07112,0.0508033,0.0360813,0.0229543,0.0127182,0.00643883,0.00338059,0.002363,0.00343221,0.00159671,0.000169161,4.00549e-05,8.59512e-05,0.00014663,0.000174287,0.000709664,0.00474413,0.0194095,0.0477027,0.0863118,0.11421,0.12474,0.126546,0.129347,0.135419
-80,0.128574,0.127617,0.126931,0.126639,0.126331,0.124597,0.120173,0.112485,0.0997832,0.0828793,0.0634658,0.0482518,0.0358437,0.0257183,0.0162926,0.0119508,0.0208656,0.0122651,0.00379306,0.00217715,0.00346439,0.00441618,0.00560566,0.0098172,0.0248556,0.051839,0.087828,0.117122,0.13061,0.134831,0.138488,0.149715,0.161943
