SW Version,2022.1
Date and Time Started,2024-Feb-01 17:32:00
Date and Time Ended,2024-Feb-01 17:32:12
Scan Name,Scan_3J4D3-1J4D0
Link Settings,
Reset RX After Applying Settings,false
Open Area,19648
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,145
Vertical Percentage,61.29
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.22174,0.236383,0.238545,0.235235,0.23579,0.230057,0.227245,0.229217,0.223697,0.229123,0.233573,0.217724,0.204554,0.202993,0.18537,0.189951,0.228438,0.223407,0.196041,0.185339,0.206019,0.236571,0.250547,0.251254,0.250948,0.251255,0.25004,0.25147,0.249152,0.250155,0.248252,0.251593,0.251841
112,0.161281,0.157987,0.172118,0.184865,0.176057,0.172267,0.169789,0.169955,0.170241,0.164708,0.152715,0.139421,0.137791,0.109022,0.0988417,0.103462,0.143437,0.147839,0.101436,0.058926,0.0848445,0.11787,0.19252,0.192775,0.21439,0.215176,0.214493,0.209304,0.207242,0.20486,0.206226,0.220492,0.24088
104,0.133167,0.131872,0.130401,0.130435,0.129243,0.128311,0.127695,0.127409,0.119943,0.100444,0.0756361,0.0614123,0.049943,0.0327672,0.0226626,0.0156441,0.03718,0.0342006,0.00908377,0.00300531,0.00483425,0.00655935,0.0136734,0.043104,0.0981715,0.128455,0.134779,0.136117,0.135794,0.131144,0.136538,0.144097,0.176772
96,0.126184,0.126186,0.125973,0.125932,0.125947,0.125685,0.123673,0.105047,0.0885519,0.0704643,0.0506824,0.0345872,0.0167357,0.0068153,0.00277321,0.00107135,0.00315874,0.00205937,0.000121357,2.98028e-05,5.72213e-05,8.89315e-05,0.000654588,0.00439543,0.0336533,0.0867545,0.118057,0.124962,0.126021,0.125967,0.126255,0.126735,0.129706
88,0.12592,0.12592,0.12592,0.12589,0.12589,0.121096,0.110367,0.0875052,0.062883,0.045547,0.0257129,0.0104372,0.00322645,0.000730406,5.69829e-05,4.05318e-06,0.000104787,9.29847e-05,3.57633e-07,3.57633e-07,4.76844e-07,2.38422e-07,2.38422e-07,0.000131609,0.00822545,0.0491785,0.0975647,0.121329,0.12562,0.125967,0.125967,0.125975,0.125967
80,0.12592,0.12592,0.12592,0.125458,0.122633,0.105696,0.088826,0.0599453,0.0341238,0.0162456,0.00607726,0.00125792,8.61896e-05,1.12058e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.31132e-06,0.000645051,0.0154579,0.0614659,0.107769,0.123503,0.125866,0.125967,0.125967,0.125967
72,0.12592,0.12592,0.12589,0.122077,0.108588,0.0833457,0.0518212,0.0287621,0.0133764,0.00443835,0.000782621,9.64418e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.07977e-06,0.00245694,0.0270717,0.0773884,0.113341,0.124878,0.125959,0.125967,0.125967
64,0.12592,0.125828,0.121787,0.112625,0.0907789,0.0591284,0.0282698,0.012982,0.00376946,0.000653158,9.53689e-06,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,0.00013745,0.0075556,0.046443,0.0959434,0.120471,0.125217,0.125967,0.125967
56,0.125934,0.125828,0.11708,0.0952899,0.06424,0.0341808,0.0145198,0.0044089,0.000626812,9.89452e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.91424e-06,0.00142445,0.0208031,0.0706467,0.108615,0.122614,0.125874,0.125975
48,0.126184,0.114931,0.104403,0.0634991,0.035109,0.0145313,0.00422544,0.000481851,1.56167e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.1976e-05,0.00549885,0.0374022,0.0865019,0.115835,0.124565,0.126114
40,0.124641,0.111756,0.0798633,0.0426306,0.0171368,0.00510784,0.000750076,1.2994e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.54974e-06,0.000699888,0.014258,0.0587732,0.0996001,0.118528,0.127645
32,0.126861,0.0908827,0.0550236,0.0212897,0.00623343,0.000920429,3.92205e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.68225e-05,0.00340705,0.0307122,0.0755588,0.110011,0.130517
24,0.122305,0.0789793,0.0302188,0.00982674,0.00230912,0.000140908,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.90738e-06,0.000615606,0.0127218,0.0512676,0.0970645,0.140856
16,0.121797,0.06272,0.0166304,0.00324159,0.000330453,3.2187e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.94589e-05,0.00378793,0.0318372,0.0872656,0.151962
8,0.123237,0.0530994,0.0132061,0.0018883,3.30215e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-05,0.00149848,0.0220879,0.0814853,0.159477
0,0.121879,0.0568485,0.0186485,0.00463135,0.000538,1.70472e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.0729e-06,0.000176313,0.00537439,0.0334091,0.0896491,0.15513
-8,0.12021,0.0727524,0.0313525,0.0110841,0.00279049,0.000177863,3.57633e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.22787e-05,0.00129177,0.0157977,0.0530807,0.101192,0.144988
-16,0.123944,0.0877924,0.0535871,0.0244436,0.00840666,0.00173214,0.000127437,3.33791e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.15267e-07,0.00024939,0.00594124,0.035694,0.0802392,0.114951,0.13502
-24,0.125078,0.108465,0.0814497,0.0433562,0.0184125,0.00728273,0.00140431,5.03071e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,2.95644e-05,0.00144436,0.0192207,0.063269,0.103402,0.122753,0.128741
-32,0.124454,0.119492,0.100214,0.0650977,0.0336329,0.0150353,0.00485058,0.000766885,5.73405e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.62264e-06,0.000256304,0.00730812,0.0372697,0.0886776,0.117853,0.125467,0.12606
