SW Version,2022.2
Date and Time Started,2024-Feb-15 11:31:19
Date and Time Ended,2024-Feb-15 11:31:54
Scan Name,Scan_3J6D0-1J6D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,18944
Horizontal Opening,177
Horizontal Percentage,69.70
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251903,0.251903,0.25181,0.251378,0.251872,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.251378,0.251872,0.251903,0.251903,0.251872,0.25181,0.251872,0.251872,0.251872,0.251872,0.251841,0.25181,0.251439,0.250674,0.24699,0.246109,0.251255,0.251163,0.241468,0.234025,0.243485,0.248967,0.25144,0.25181,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903
96,0.227356,0.24152,0.24762,0.245744,0.243543,0.243377,0.239375,0.236366,0.238415,0.236626,0.231943,0.222671,0.207239,0.190039,0.180954,0.178914,0.209779,0.216621,0.177093,0.157554,0.178259,0.193464,0.217817,0.237718,0.248993,0.250251,0.25022,0.248522,0.2487,0.247557,0.247934,0.250888,0.251903
88,0.164344,0.179758,0.196384,0.191577,0.190564,0.190104,0.184117,0.181789,0.178393,0.166842,0.151228,0.13093,0.118557,0.106448,0.0903563,0.0852294,0.143376,0.154377,0.0886252,0.0515549,0.0663063,0.0751073,0.0919824,0.130226,0.175206,0.205548,0.209511,0.212171,0.20066,0.206159,0.210211,0.228651,0.244167
80,0.13497,0.131865,0.129933,0.129799,0.129073,0.128261,0.126124,0.115836,0.100381,0.0781443,0.0598397,0.041584,0.026618,0.0132765,0.00601146,0.0037052,0.0258558,0.0369856,0.00544115,0.000803125,0.0019944,0.00264148,0.00298898,0.00404185,0.0157116,0.0639196,0.114236,0.128569,0.12909,0.12986,0.13112,0.145965,0.190453
72,0.126095,0.125952,0.125924,0.125892,0.124757,0.120585,0.105028,0.0858916,0.0624763,0.0404614,0.0222665,0.00928449,0.00278286,0.000598797,7.3434e-05,1.70472e-05,0.000127556,0.000280742,1.77625e-05,1.19211e-06,5.96056e-07,6.55661e-06,2.26501e-06,1.33516e-05,0.000647197,0.0130776,0.0612179,0.111801,0.12552,0.125967,0.125982,0.12613,0.126835
64,0.12592,0.12592,0.12589,0.124482,0.11827,0.102707,0.0782146,0.0529411,0.0294707,0.0138124,0.00457747,0.000813735,7.53414e-05,1.90738e-06,2.38422e-07,2.38422e-07,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.72993e-05,0.00152972,0.0229532,0.0779201,0.118031,0.125866,0.125959,0.125967,0.125967
56,0.12592,0.12589,0.124846,0.117916,0.101546,0.0769683,0.0486593,0.0256536,0.0106334,0.00268153,0.000285272,1.00137e-05,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.0729e-06,0.000152113,0.00546952,0.0406329,0.100054,0.1233,0.125951,0.125967,0.125967
48,0.125828,0.125182,0.117808,0.100786,0.0737742,0.0442556,0.0220507,0.00797272,0.00164535,0.000171426,1.78817e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.53002e-06,0.000619063,0.0140182,0.0610958,0.11317,0.125383,0.125951,0.125967
40,0.124086,0.119905,0.104745,0.075282,0.0444786,0.0203609,0.00684689,0.00128259,7.93946e-05,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.15267e-07,8.20172e-05,0.00312381,0.0294758,0.0892041,0.120431,0.12582,0.126021
32,0.121445,0.108567,0.0796133,0.0443323,0.0204129,0.0065131,0.000973001,5.14992e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.62951e-06,0.000499018,0.0103872,0.0488332,0.105343,0.123889,0.126942
24,0.118257,0.0942141,0.0574499,0.0245679,0.00793233,0.00137963,8.1302e-05,8.34478e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.0729e-06,0.000113489,0.00319104,0.0252874,0.0814266,0.116834,0.130196
