SW Version,2022.1
Date and Time Started,2023-Jul-17 17:25:30
Date and Time Ended,2023-Jul-17 17:25:44
Scan Name,Scan_3J4D1-0J4D2
Link Settings,
Reset RX After Applying Settings,false
Open Area,14592
Horizontal Opening,145
Horizontal Percentage,57.58
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.24971,0.251194,0.251779,0.251841,0.251779,0.251532,0.251286,0.250736,0.250251,0.249561,0.249264,0.247823,0.248436,0.248496,0.249829,0.249919,0.251841,0.251903,0.25049,0.248015,0.250977,0.251748,0.25181,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
96,0.212744,0.231126,0.243566,0.239469,0.233785,0.22902,0.225588,0.217692,0.218105,0.21532,0.215118,0.211326,0.213594,0.209966,0.206342,0.206137,0.241088,0.243001,0.204693,0.178596,0.209117,0.229667,0.243875,0.250126,0.251316,0.251686,0.251471,0.251501,0.251286,0.251194,0.251071,0.25181,0.251872
88,0.173698,0.179845,0.186974,0.183055,0.177263,0.173218,0.171109,0.165888,0.160574,0.155522,0.151394,0.147295,0.140831,0.129041,0.121355,0.115097,0.180181,0.172465,0.115595,0.0842171,0.101818,0.122173,0.15361,0.1944,0.219475,0.230245,0.231059,0.227367,0.225986,0.224754,0.224328,0.241042,0.24983
80,0.141378,0.137874,0.134476,0.131366,0.130107,0.12858,0.127195,0.126158,0.122376,0.112836,0.103518,0.0820653,0.0701692,0.0581775,0.0478729,0.0413107,0.0662108,0.0648279,0.0319516,0.0164234,0.0211231,0.0235884,0.0302938,0.0486278,0.0908002,0.126346,0.155049,0.168382,0.167446,0.166735,0.170364,0.18198,0.205124
72,0.12689,0.126324,0.126043,0.12598,0.125921,0.12517,0.1227,0.114441,0.10232,0.0876862,0.0653391,0.050438,0.0375639,0.0275806,0.0186964,0.0120539,0.0232241,0.0186539,0.00362986,0.000843061,0.00172117,0.00213114,0.00221435,0.0045665,0.0202776,0.0546383,0.0884682,0.117138,0.130202,0.131403,0.134005,0.141325,0.1574
64,0.125932,0.125924,0.12592,0.125859,0.124512,0.11893,0.10912,0.0930727,0.0733304,0.0512506,0.0353734,0.0220707,0.0127862,0.00562283,0.00156465,0.000672112,0.0022209,0.00142684,9.56073e-05,5.00687e-06,3.43328e-05,2.3127e-05,2.5988e-05,8.59512e-05,0.00270919,0.022796,0.0567588,0.0895078,0.117104,0.125515,0.126146,0.12672,0.129107
56,0.12592,0.125951,0.12589,0.124633,0.119262,0.106289,0.0890422,0.0654555,0.0430572,0.0279549,0.0154397,0.00722562,0.00207451,0.000376469,6.50893e-05,1.64511e-05,5.32874e-05,4.07702e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,3.09949e-06,0.000228528,0.00619838,0.0344415,0.0689756,0.102124,0.121921,0.125882,0.125967,0.125982
48,0.12596,0.12589,0.124937,0.118599,0.106333,0.0862086,0.0586812,0.0355157,0.0200241,0.00969217,0.00331335,0.000605831,8.72625e-05,7.74872e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.55661e-06,0.000683199,0.0130392,0.0465718,0.0785892,0.109475,0.124219,0.125951,0.125967
40,0.126124,0.12503,0.119234,0.105805,0.084739,0.0558518,0.0313204,0.0164449,0.00678478,0.00166025,0.000263695,2.43191e-05,1.19211e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.8982e-05,0.00260572,0.0242736,0.0587308,0.0903423,0.116459,0.125513,0.126029
32,0.127387,0.120566,0.108634,0.0862812,0.0561273,0.0299534,0.0141768,0.00503381,0.00105144,0.000136974,6.55661e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.66896e-06,0.000255589,0.00848711,0.0375404,0.069784,0.0994347,0.121685,0.126625
24,0.130884,0.113051,0.092703,0.0626291,0.0328939,0.0153045,0.00489123,0.000946894,9.14349e-05,5.60292e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.93122e-05,0.0021973,0.0206318,0.053838,0.0825841,0.110359,0.128877
16,0.137637,0.104594,0.0685156,0.0353051,0.0152384,0.00436563,0.000709902,6.68774e-05,1.66896e-06,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.96056e-07,0.0002085,0.00716864,0.0334271,0.0660567,0.096419,0.130774
8,0.144479,0.0935005,0.0431474,0.0163601,0.00441176,0.000721823,4.86381e-05,1.43053e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.58551e-05,0.00174787,0.0170919,0.0512973,0.0870396,0.130121
0,0.147967,0.0822619,0.026581,0.00524255,0.000742208,6.00824e-05,3.57633e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,0.000275139,0.00708424,0.0351344,0.0846426,0.135836
