SW Version,2022.1
Date and Time Started,2023-Oct-18 18:39:46
Date and Time Ended,2023-Oct-18 18:39:57
Scan Name,0J5CMD-3J5CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,14464
Horizontal Opening,169
Horizontal Percentage,66.67
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247969,0.247969,0.247969,0.247939,0.247969,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939
112,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.24797,0.24797,0.247969,0.24797,0.24797,0.247939,0.24797,0.247969,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939
104,0.247969,0.24797,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.24797,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797
96,0.247796,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.247879,0.247384,0.247231,0.246713,0.247909,0.247939,0.24641,0.243835,0.247077,0.247879,0.24797,0.24791,0.24797,0.247969,0.247939,0.24797,0.247969,0.247969,0.247969,0.247969,0.247939
88,0.240588,0.247418,0.24791,0.24762,0.247912,0.247332,0.247277,0.247392,0.246327,0.246212,0.244591,0.239954,0.229892,0.223136,0.220252,0.218088,0.241253,0.243835,0.221222,0.215038,0.220195,0.236165,0.24433,0.246139,0.247939,0.247663,0.247538,0.247692,0.247845,0.247848,0.247939,0.247941,0.24791
80,0.204111,0.21251,0.229082,0.230238,0.229321,0.224279,0.223788,0.217316,0.212893,0.207143,0.193668,0.175478,0.157316,0.149108,0.141745,0.144687,0.176987,0.190485,0.155528,0.115631,0.136355,0.159362,0.196795,0.215991,0.230587,0.236272,0.238015,0.239109,0.234022,0.232615,0.237103,0.246024,0.247821
72,0.156024,0.16181,0.169518,0.168125,0.164029,0.160985,0.150663,0.14814,0.134297,0.110245,0.0941282,0.0748199,0.0595146,0.0458783,0.0436246,0.0426464,0.0951545,0.0953317,0.0460236,0.0128489,0.0222747,0.0292767,0.0352805,0.056694,0.107997,0.145594,0.1589,0.163036,0.149954,0.160815,0.170556,0.200463,0.220441
64,0.134181,0.134331,0.131618,0.130453,0.127356,0.12736,0.112403,0.090923,0.068207,0.0471771,0.0318018,0.0200827,0.011692,0.00653086,0.00349992,0.00207165,0.0107352,0.0106063,0.000997678,2.40806e-05,0.000385767,0.000389105,0.00051082,0.00147929,0.0123954,0.0513051,0.104987,0.125878,0.126834,0.12712,0.128594,0.131643,0.149797
56,0.127168,0.127342,0.126539,0.125288,0.114551,0.106834,0.0818581,0.0566963,0.0361253,0.0214153,0.0115589,0.00457008,0.00158122,0.000530847,0.000108124,2.18156e-05,0.000287418,0.000226143,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,8.34478e-07,1.45438e-05,0.00111892,0.0151931,0.0579529,0.108204,0.12481,0.125967,0.125982,0.126879,0.128953
48,0.125945,0.125979,0.123792,0.114362,0.100135,0.0790479,0.0507376,0.0294064,0.0149619,0.00670181,0.00169816,0.000214342,2.18156e-05,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.15267e-07,5.7579e-05,0.00205806,0.0199285,0.0676778,0.114071,0.125005,0.125975,0.125967,0.125998
