SW Version,2022.1
Date and Time Started,2023-Oct-18 18:32:24
Date and Time Ended,2023-Oct-18 18:32:37
Scan Name,3J1D3-0J1D0
Link Settings,
Reset RX After Applying Settings,false
Open Area,10048
Horizontal Opening,137
Horizontal Percentage,54.55
Vertical Opening,73
Vertical Percentage,32.26
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247277,0.248495,0.24998,0.24962,0.248997,0.24832,0.249056,0.24986,0.249171,0.247281,0.247743,0.245589,0.244713,0.246959,0.246272,0.243835,0.251223,0.249767,0.24713,0.246457,0.247223,0.249114,0.250486,0.250795,0.251841,0.246888,0.251594,0.251655,0.250792,0.251841,0.251841,0.25181,0.251903
112,0.222535,0.225503,0.237985,0.238027,0.23255,0.240929,0.231046,0.209359,0.231722,0.22571,0.226628,0.224802,0.219292,0.201511,0.203416,0.222259,0.235808,0.240261,0.224873,0.211376,0.221979,0.204363,0.235264,0.237821,0.243001,0.244031,0.244046,0.245152,0.241366,0.245104,0.244243,0.248837,0.250181
104,0.187012,0.190403,0.194396,0.19372,0.192495,0.201697,0.198163,0.195517,0.193739,0.183946,0.176586,0.177323,0.167704,0.164468,0.171871,0.162509,0.193614,0.202687,0.171292,0.161887,0.157767,0.179694,0.177998,0.198984,0.200998,0.18547,0.216172,0.220226,0.216427,0.21422,0.223382,0.232962,0.238033
96,0.160559,0.156632,0.16591,0.164796,0.163942,0.161548,0.181972,0.148526,0.137896,0.138278,0.12597,0.118159,0.114483,0.101176,0.0988231,0.0976848,0.131396,0.141512,0.0926118,0.0767406,0.0889805,0.0977856,0.103838,0.121458,0.134552,0.158879,0.178373,0.17257,0.182505,0.181081,0.19122,0.197535,0.212269
88,0.13654,0.140669,0.142554,0.140174,0.140344,0.133268,0.126828,0.117139,0.102538,0.0944429,0.0858833,0.0729366,0.0664282,0.0618605,0.0551125,0.0563483,0.0800964,0.0900781,0.0542791,0.0426268,0.0426915,0.046765,0.0543741,0.080411,0.0824806,0.101333,0.129229,0.146296,0.154813,0.152889,0.155662,0.166811,0.166286
80,0.128519,0.129351,0.128923,0.126677,0.120179,0.117578,0.098703,0.0882489,0.0748078,0.062808,0.0519564,0.045527,0.034911,0.0318465,0.0288962,0.0261599,0.0369369,0.0379034,0.0237055,0.0176724,0.0155817,0.0179015,0.0195401,0.0225428,0.0358474,0.0563035,0.0813585,0.106347,0.124297,0.128347,0.13644,0.140675,0.149547
72,0.126367,0.125752,0.123839,0.119078,0.108943,0.0947253,0.0908197,0.0643615,0.0531292,0.0430824,0.0319032,0.0286895,0.0195741,0.0156305,0.0130277,0.010756,0.0162713,0.016606,0.0102891,0.00566277,0.00571784,0.00602374,0.00682293,0.00891526,0.0170236,0.0302728,0.0530409,0.0837429,0.106491,0.123181,0.128013,0.131681,0.132238
64,0.126125,0.125035,0.119005,0.114492,0.0931954,0.0778887,0.0598872,0.0444777,0.0386254,0.0267696,0.0173463,0.013157,0.00917429,0.00715577,0.00602839,0.00460489,0.00633381,0.00598726,0.00346332,0.00137129,0.00139584,0.00127484,0.00128486,0.00173464,0.00503035,0.0118496,0.0311561,0.056082,0.0862105,0.107966,0.120619,0.12607,0.127824
56,0.126884,0.122331,0.113733,0.0959154,0.0814109,0.0616636,0.0427374,0.0329851,0.0218726,0.0156612,0.0107971,0.00630448,0.00489397,0.00359839,0.00247554,0.00162854,0.00281696,0.00228444,0.000719201,0.000186327,0.000207547,0.000145676,7.91562e-05,0.000304465,0.00158992,0.005887,0.0185512,0.0387727,0.0691742,0.100774,0.115826,0.122259,0.12711
48,0.128011,0.117694,0.10533,0.0821423,0.0652387,0.0440387,0.0293827,0.0198717,0.0107609,0.00819422,0.00496335,0.00285832,0.00214151,0.000988618,0.000541814,0.000297432,0.000508555,0.000496037,6.11553e-05,3.57633e-07,2.98028e-06,4.76844e-07,2.38422e-07,1.15635e-05,0.000331765,0.00265209,0.00859824,0.0246219,0.0478771,0.0823711,0.104285,0.121207,0.131214
40,0.129261,0.109384,0.0881422,0.066286,0.0489197,0.0287347,0.0181881,0.010369,0.00570485,0.00378936,0.0018126,0.000590214,0.00017071,0.000116231,2.72993e-05,2.50343e-06,1.12058e-05,1.31132e-06,2.38422e-07,2.38422e-07,5.3645e-06,2.38422e-07,2.38422e-07,2.38422e-07,5.60292e-06,0.000422246,0.00338595,0.0137796,0.0334355,0.0608468,0.0907476,0.112586,0.128873
32,0.133756,0.105552,0.077041,0.0567621,0.0316163,0.0192552,0.0114525,0.00551125,0.00290196,0.000823987,0.000354415,4.75652e-05,3.58825e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,6.05592e-05,0.00079478,0.00716506,0.0228157,0.0454858,0.08059,0.106372,0.131979
