SW Version,2022.1
Date and Time Started,2023-Oct-18 18:32:10
Date and Time Ended,2023-Oct-18 18:32:21
Scan Name,0J1CMD-3J1CMD
Link Settings,
Reset RX After Applying Settings,false
Open Area,17920
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,121
Vertical Percentage,51.61
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
8,0.158284,0.0932131,0.0307277,0.00706135,0.000511177,5.12608e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.31132e-06,0.000297313,0.00374824,0.0192221,0.0633707,0.129503
0,0.15825,0.0879292,0.028349,0.00375002,0.000219706,2.26501e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.65061e-05,0.00221888,0.017787,0.0642938,0.127796
-8,0.156396,0.0934005,0.0279875,0.00318389,0.000158551,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,5.74598e-05,0.002224,0.0166473,0.0621978,0.123491
-16,0.143638,0.0948007,0.0389576,0.0109808,0.0014452,4.14855e-05,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000342374,0.00541111,0.0247571,0.0724612,0.12844
-24,0.137675,0.101081,0.0642969,0.0297101,0.00876501,0.00101163,3.29023e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.20678e-05,0.00252251,0.015825,0.0507832,0.091429,0.126223
-32,0.130724,0.106565,0.0813876,0.0499019,0.0233788,0.0065075,0.000542887,1.99083e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.15267e-07,0.000452049,0.00757777,0.0320718,0.0725226,0.109053,0.127206
-40,0.126082,0.117329,0.1031,0.0774456,0.0442978,0.0202642,0.00553473,0.000543483,2.08619e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,7.42685e-05,0.00346714,0.0211252,0.0624865,0.0993683,0.122076,0.126146
-48,0.125947,0.123016,0.114514,0.096366,0.0702708,0.0429273,0.0198118,0.00573203,0.000614414,2.46767e-05,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.00137e-05,0.00109734,0.0137069,0.0477535,0.0935113,0.117066,0.125712,0.12599
-56,0.12592,0.125581,0.1237,0.115106,0.0950953,0.0701841,0.0430102,0.0206875,0.00688432,0.000931039,1.50206e-05,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,9.53689e-07,0.00040043,0.00781703,0.037191,0.0821419,0.11319,0.12458,0.125959,0.125959
-64,0.125951,0.12589,0.125488,0.123253,0.113148,0.0929207,0.069235,0.0383286,0.0222955,0.00874898,0.0014409,0.000140431,1.19211e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000107171,0.00388139,0.0244255,0.0689788,0.108277,0.123876,0.12592,0.125959,0.125967
-72,0.125951,0.12592,0.12592,0.125704,0.124029,0.112156,0.0955389,0.0706197,0.0457015,0.0268425,0.0123408,0.00399107,0.000654231,2.84915e-05,7.15267e-07,3.93397e-06,5.96056e-07,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.66896e-05,0.00248186,0.02021,0.0619183,0.102126,0.122849,0.125774,0.125982,0.125967,0.126114
-80,0.126563,0.126305,0.126001,0.125943,0.12565,0.123803,0.113372,0.0996233,0.0792694,0.0541458,0.036355,0.0217493,0.0108456,0.00399727,0.00135817,0.000397569,0.00144722,0.000873341,2.46767e-05,3.69554e-06,4.75652e-05,0.000102522,0.000170233,0.00234655,0.017383,0.0652869,0.0995907,0.122098,0.126031,0.126451,0.127678,0.130116,0.141811
-88,0.138722,0.138165,0.136319,0.136097,0.136174,0.135479,0.132254,0.125452,0.110336,0.0946939,0.0731785,0.054745,0.0389816,0.0298759,0.0225501,0.0145029,0.0394558,0.0307334,0.00612757,0.00114824,0.00467105,0.00837088,0.0140371,0.0356262,0.0795291,0.123944,0.141933,0.146781,0.143482,0.147879,0.155149,0.18684,0.224027
-96,0.173949,0.176399,0.191225,0.199833,0.196608,0.189475,0.185052,0.19959,0.178644,0.172666,0.152087,0.133728,0.11758,0.102653,0.0976959,0.101234,0.146395,0.143079,0.0890713,0.0433393,0.0628774,0.110786,0.140335,0.196868,0.221988,0.228541,0.229082,0.228011,0.218133,0.22785,0.230557,0.246981,0.251377
-104,0.240902,0.239823,0.249919,0.24965,0.24873,0.246417,0.247738,0.243327,0.243662,0.245192,0.246251,0.233461,0.223734,0.225829,0.212998,0.204792,0.237952,0.240324,0.211146,0.187254,0.22054,0.240812,0.249336,0.251686,0.251841,0.251903,0.251903,0.251872,0.251748,0.251841,0.251903,0.251872,0.251903
-112,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251841,0.251593,0.251593,0.251255,0.251903,0.251903,0.251717,0.24965,0.251286,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
-120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
Scan End
