SW Version,2022.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date and Time Started,2023-Oct-18 18:38:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date and Time Ended,2023-Oct-18 18:38:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Name,0J4CMD-3J4CMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reset RX After Applying Settings,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Area,15744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Opening,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Percentage,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Opening,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Percentage,48.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell,BER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell BER,1E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell Time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Increment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Range,-0.500 UI to 0.500 UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Increment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Range,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
48,0.125922,0.125396,0.12278,0.115835,0.102522,0.0762235,0.0493964,0.0269982,0.0111507,0.00257603,0.000252966,6.07977E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,3.33791E-06,0.000672708,0.0114453,0.047805,0.0882913,0.1177,0.125528,0.125959,0.125967
40,0.125519,0.12278,0.116654,0.0980453,0.0698204,0.0443976,0.0216305,0.00761354,0.00145044,6.71159E-05,4.05318E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.34846E-05,0.0018982,0.0186611,0.057183,0.0982238,0.120604,0.125828,0.12606
32,0.124153,0.115005,0.0984412,0.0697633,0.0413766,0.0179396,0.00506588,0.000732791,2.56304E-05,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,0.000121595,0.00461049,0.0277691,0.0673319,0.102223,0.122711,0.127296
24,0.125562,0.105754,0.0733738,0.0428267,0.0182121,0.0053217,0.000709306,2.27693E-05,3.57633E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,5.12608E-06,0.000791562,0.0107589,0.0403013,0.0788016,0.111409,0.131349
16,0.134268,0.087431,0.0452141,0.0179594,0.00439209,0.000469573,1.78817E-05,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,4.42273E-05,0.00237552,0.0181933,0.0531432,0.0955831,0.138644
8,0.138322,0.0708222,0.020913,0.00416226,0.000306373,5.96056E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,5.96056E-07,0.000242714,0.00507219,0.0313475,0.0819075,0.146325
0,0.13994,0.0684112,0.0171168,0.00264994,0.000283603,4.76844E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,0.000103118,0.00472744,0.0298084,0.0833702,0.146799
-8,0.137622,0.0754214,0.0244128,0.00560006,0.00106134,4.75652E-05,3.57633E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,8.34478E-07,0.000540622,0.00830696,0.0390756,0.0859339,0.143931
-16,0.129116,0.0890147,0.0518636,0.0209123,0.00605998,0.00128772,0.000127914,4.76844E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,8.96468E-05,0.00399286,0.0242183,0.0607305,0.103333,0.136013
-24,0.125099,0.107283,0.0808708,0.0481514,0.0223725,0.00684963,0.00144806,0.000156643,2.38422E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,5.48371E-06,0.00128772,0.015545,0.0485551,0.0915453,0.119316,0.128154
