SW Version,2022.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date and Time Started,2023-Oct-18 18:35:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date and Time Ended,2023-Oct-18 18:35:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Name,3J2D3-0J2D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reset RX After Applying Settings,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Area,14592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Opening,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Percentage,57.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Opening,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Percentage,41.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell,BER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell BER,1E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell Time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Increment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Range,-0.500 UI to 0.500 UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Increment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Range,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
48,0.128738,0.122268,0.110438,0.0868815,0.0555669,0.0308412,0.0143896,0.00493021,0.00106479,8.7501E-05,2.1458E-06,3.57633E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,4.76844E-07,0.000144841,0.00459559,0.0264043,0.0622618,0.0957873,0.119251,0.126114
40,0.135288,0.115475,0.0928041,0.0606124,0.0324746,0.0132439,0.00425393,0.000613341,6.92617E-05,5.60292E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,4.41081E-06,0.000694405,0.0107686,0.0375458,0.0746404,0.106528,0.125905
32,0.144493,0.10723,0.0685886,0.0371899,0.0150561,0.00430889,0.000694882,7.53414E-05,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,7.55798E-05,0.00318997,0.020539,0.0526308,0.088994,0.125131
24,0.149131,0.0972326,0.050167,0.0209035,0.0058386,0.000782144,7.40301E-05,3.57633E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-06,0.00061203,0.00870973,0.0342761,0.0739735,0.123614
16,0.156375,0.0906575,0.0317303,0.00776279,0.0010009,3.06373E-05,2.38422E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,4.89958E-05,0.00266616,0.020292,0.0653428,0.126887
8,0.154149,0.0862365,0.0281274,0.00555357,0.000423199,1.2994E-05,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.25309E-05,0.00223366,0.0179344,0.0638239,0.127426
0,0.148533,0.0895657,0.0406073,0.0124112,0.00278346,0.000195625,6.19898E-06,3.57633E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,3.2187E-06,0.000358825,0.00636993,0.0251186,0.0692699,0.129579
-8,0.149042,0.0926789,0.0457572,0.0165932,0.00408083,0.000478513,1.2994E-05,3.57633E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,5.48371E-06,0.000938549,0.00890048,0.029954,0.0740638,0.127253
-16,0.142479,0.103443,0.0685542,0.0371686,0.0135245,0.00394803,0.000499614,1.58551E-05,2.02659E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,8.34478E-07,0.000158908,0.00439341,0.0196024,0.0492572,0.0915334,0.125584
-24,0.134101,0.113431,0.0883874,0.0587687,0.0317535,0.0133253,0.00460238,0.00101091,0.000100495,8.34478E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.32462E-05,0.00168684,0.012853,0.0372543,0.0778658,0.109508,0.126138
