SW Version,2022.1
Date and Time Started,2023-Nov-07 15:40:59
Date and Time Ended,2023-Nov-07 15:41:09
Scan Name,Scan_3J1D0-1J1D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,5056
Horizontal Opening,105
Horizontal Percentage,42.42
Vertical Opening,41
Vertical Percentage,19.35
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251872,0.251841,0.251872,0.251779,0.251624,0.251717,0.25147,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903
104,0.250553,0.251841,0.251841,0.25181,0.250797,0.25144,0.251102,0.24965,0.248789,0.249621,0.247969,0.247969,0.247478,0.245853,0.247018,0.246137,0.250919,0.251841,0.251841,0.251872,0.251903,0.251903,0.251903,0.251903,0.251872,0.251748,0.25181,0.25181,0.250644,0.250797,0.251133,0.251378,0.251194
96,0.23796,0.244602,0.247505,0.244771,0.242605,0.241187,0.239049,0.240001,0.235274,0.234585,0.233595,0.227627,0.230323,0.231095,0.231927,0.231739,0.241546,0.246157,0.245253,0.249824,0.251501,0.250854,0.248818,0.250549,0.247636,0.247196,0.245526,0.244363,0.242449,0.239681,0.238066,0.242443,0.245856
88,0.2058,0.218452,0.227931,0.222901,0.219809,0.220332,0.217708,0.214562,0.212935,0.209871,0.205819,0.204664,0.198751,0.199505,0.193489,0.194864,0.218368,0.232555,0.218805,0.222295,0.229676,0.234421,0.23737,0.236526,0.233871,0.22634,0.220879,0.220214,0.216522,0.212169,0.211986,0.219244,0.226362
80,0.169789,0.173922,0.178854,0.171237,0.167966,0.163301,0.161131,0.156382,0.152537,0.151076,0.144896,0.141239,0.138329,0.133322,0.123778,0.115442,0.136398,0.157867,0.131416,0.126535,0.154851,0.170447,0.17637,0.178937,0.186479,0.18445,0.18658,0.181443,0.176036,0.168529,0.1691,0.179272,0.196116
72,0.14652,0.143707,0.140272,0.136323,0.1334,0.13145,0.129762,0.128393,0.127112,0.125293,0.120864,0.115082,0.111332,0.0908335,0.0744056,0.0643541,0.0629872,0.0624444,0.0448647,0.0510999,0.0938025,0.097705,0.0985149,0.111003,0.124706,0.139433,0.14544,0.146575,0.142368,0.141335,0.14223,0.144436,0.151213
64,0.132535,0.129408,0.127489,0.126736,0.126271,0.126148,0.125594,0.123519,0.119851,0.111636,0.100749,0.0837972,0.0674762,0.0483435,0.0356145,0.0267705,0.0252758,0.0243601,0.0175905,0.0171575,0.0406,0.0521363,0.0578002,0.0639207,0.0717705,0.0863789,0.105367,0.118908,0.126686,0.127622,0.127665,0.129185,0.131998
56,0.127074,0.126306,0.125995,0.125817,0.125245,0.12382,0.119401,0.11521,0.0995901,0.0794403,0.0671819,0.0476761,0.0318662,0.0225727,0.0172389,0.0129764,0.0114945,0.00974623,0.00592324,0.00580916,0.0135464,0.0171584,0.0226591,0.032553,0.0433178,0.0523206,0.0654818,0.0909208,0.11102,0.120756,0.125248,0.126021,0.126044
48,0.128594,0.126153,0.125428,0.124603,0.121932,0.116547,0.104852,0.087595,0.0668398,0.0476096,0.0300713,0.0220346,0.0161988,0.0111364,0.00741481,0.00372177,0.00275437,0.00177446,0.000840796,0.00114502,0.00378734,0.0033943,0.00278358,0.00541671,0.0132294,0.0280814,0.0435486,0.05657,0.0801633,0.104828,0.118417,0.124407,0.125951
40,0.134226,0.127353,0.123546,0.115682,0.107381,0.0921679,0.0719192,0.0503237,0.0327383,0.0218465,0.0154416,0.011039,0.00619004,0.00278954,0.000964537,0.000219348,0.000102522,5.34066e-05,4.76844e-06,2.41999e-05,0.000390536,0.000179413,3.95781e-05,0.000137093,0.00107326,0.0056915,0.0174017,0.0357721,0.0486759,0.0681246,0.0939622,0.111327,0.123914
32,0.14105,0.127139,0.111794,0.0930947,0.0759617,0.0573215,0.0376079,0.023796,0.0162317,0.0112145,0.00642011,0.0029128,0.000898256,0.000183347,1.68088e-05,2.38422e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.12058e-05,2.26501e-06,2.38422e-07,8.34478e-07,1.70472e-05,0.000212315,0.00197724,0.00915422,0.0257513,0.0431852,0.0592109,0.0848306,0.109911
