SW Version,2022.1
Date and Time Started,2024-Feb-02 11:54:00
Date and Time Ended,2024-Feb-02 11:54:13
Scan Name,Scan_3J3D0-1J4D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,20672
Horizontal Opening,177
Horizontal Percentage,69.70
Vertical Opening,145
Vertical Percentage,61.29
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251872,0.251903,0.251841,0.251501,0.251102,0.251317,0.251872,0.251903,0.251041,0.248966,0.250705,0.251501,0.251779,0.251872,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.24995,0.24962,0.251717,0.251563,0.251255,0.251317,0.248879,0.24977,0.24835,0.248493,0.247022,0.244771,0.237509,0.232169,0.22415,0.21929,0.238446,0.241468,0.220771,0.213691,0.222659,0.234925,0.245068,0.248789,0.251286,0.251779,0.251841,0.251903,0.251872,0.251872,0.251903,0.251903,0.251903
104,0.215696,0.221835,0.229196,0.226008,0.221561,0.21356,0.219128,0.214438,0.211654,0.204788,0.198271,0.178358,0.165087,0.153439,0.143049,0.146695,0.184607,0.184037,0.146669,0.122671,0.140167,0.163781,0.18524,0.212098,0.231671,0.240459,0.24081,0.241123,0.242011,0.243941,0.24621,0.249908,0.251779
96,0.157513,0.161296,0.168139,0.170895,0.164981,0.16218,0.158791,0.152374,0.141079,0.129472,0.108378,0.0953004,0.0808094,0.0656429,0.0491544,0.0433465,0.0940644,0.0923396,0.0411198,0.0186271,0.0282479,0.0374117,0.0477051,0.0749491,0.1159,0.15147,0.170138,0.174543,0.178179,0.176015,0.182067,0.203474,0.232278
88,0.13346,0.131945,0.129258,0.128508,0.127812,0.124644,0.116613,0.103641,0.0890096,0.0670596,0.051788,0.0361009,0.0228935,0.0109281,0.00521394,0.00244681,0.00939944,0.00713395,0.00115826,0.000239495,0.000647316,0.00125541,0.00233582,0.00731312,0.0304385,0.0712271,0.108747,0.129121,0.13477,0.135289,0.137809,0.145669,0.165404
80,0.126092,0.125962,0.125923,0.125644,0.122428,0.113499,0.0995708,0.0786113,0.0578393,0.0387083,0.0229399,0.00965598,0.00330632,0.000616917,8.34478e-05,1.15635e-05,6.37779e-05,1.14443e-05,3.57633e-07,2.38422e-07,9.53689e-07,9.53689e-07,8.22557e-06,0.000557074,0.00518521,0.029907,0.0713316,0.106377,0.123232,0.126255,0.126569,0.127932,0.129978
72,0.12592,0.12592,0.125704,0.123342,0.112898,0.0991466,0.0751494,0.0520742,0.031376,0.015457,0.00562247,0.00100209,0.000105502,2.74186e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.14443e-05,0.000555047,0.00736009,0.0377994,0.0819696,0.111124,0.125071,0.125951,0.125975,0.126013
64,0.12592,0.125951,0.12421,0.115158,0.098745,0.0748856,0.050161,0.0263372,0.0121988,0.00344508,0.000469573,2.86107e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.8253e-05,0.00112619,0.0145086,0.0520487,0.092967,0.117275,0.125743,0.125967,0.125967
56,0.12592,0.125519,0.11827,0.104595,0.0806415,0.0544906,0.0289409,0.0122896,0.00321465,0.000470169,1.04906e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,0.0001421,0.00425298,0.0298848,0.0737561,0.105307,0.123318,0.125951,0.125967
48,0.12586,0.122282,0.107947,0.084767,0.0572379,0.0302329,0.0125819,0.00291948,0.000294809,2.1458e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.02659e-06,0.000471838,0.0112097,0.045281,0.0868767,0.113523,0.125383,0.126052
