SW Version,2022.1
Date and Time Started,2024-Feb-06 18:37:58
Date and Time Ended,2024-Feb-06 18:38:09
Scan Name,Scan_3J4D2-0J4D1
Link Settings,
Reset RX After Applying Settings,false
Open Area,2624
Horizontal Opening,73
Horizontal Percentage,30.30
Vertical Opening,25
Vertical Percentage,12.90
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
0,0.140666,0.102006,0.0586969,0.033371,0.0203471,0.0123335,0.00759744,0.00437254,0.00236777,0.000904335,0.000274424,8.1898e-05,3.80283e-05,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,1.9193e-05,0.000119092,0.000782621,0.00347846,0.0107745,0.0325642,0.0665318
-8,0.141103,0.103963,0.0619189,0.0360904,0.0220722,0.0131253,0.00814856,0.00510462,0.00303774,0.00142481,0.000445492,0.000150325,5.10224e-05,2.38422e-06,2.38422e-06,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.51673e-05,0.000214818,0.000943198,0.00429422,0.0132889,0.0361,0.0688857
-16,0.138582,0.105879,0.0742784,0.0508007,0.0328537,0.0197999,0.0124605,0.00864359,0.00577447,0.00377148,0.00215486,0.000862373,0.000292902,6.67582e-05,3.63594e-05,6.4374e-06,3.33791e-06,2.38422e-07,2.38422e-07,8.34478e-07,2.50343e-06,2.1458e-06,7.15267e-07,2.38422e-07,4.41081e-06,2.46767e-05,0.000198844,0.00109209,0.00458712,0.0130897,0.03028,0.0564774,0.083636
-24,0.138775,0.110299,0.0892325,0.0704568,0.0525868,0.0358893,0.0232267,0.0143244,0.0100215,0.00666462,0.00453086,0.00289552,0.00141921,0.000511296,0.000155809,9.38191e-05,2.98028e-05,6.07977e-06,2.38422e-07,2.19348e-05,6.44932e-05,3.81476e-05,2.24117e-05,8.70241e-06,5.63869e-05,0.000337248,0.00114824,0.00501748,0.0151258,0.033007,0.054531,0.0805166,0.100805
-32,0.134341,0.117074,0.104446,0.0898208,0.07164,0.0536555,0.0374922,0.0239456,0.0160162,0.0110492,0.0076487,0.00515362,0.00332063,0.00198582,0.000827683,0.000329142,0.000147583,3.09949e-05,2.80146e-05,6.11553e-05,0.000290279,0.000145438,0.000101449,9.01236e-05,0.000372892,0.0013019,0.00535735,0.0151508,0.0330885,0.0548436,0.076474,0.0988151,0.112546
-40,0.131197,0.121259,0.117304,0.110899,0.0967487,0.0781549,0.060215,0.0441212,0.0300744,0.0196961,0.0137823,0.00922221,0.00645409,0.00433082,0.00295286,0.00163307,0.000963703,0.000292544,0.00012839,0.000356084,0.00135662,0.00108196,0.000624905,0.000762236,0.00223497,0.0072658,0.0196674,0.0375531,0.0597173,0.0801444,0.0981073,0.114141,0.122834
-48,0.12921,0.125427,0.121829,0.120682,0.115711,0.10173,0.087026,0.0678795,0.0503457,0.0377491,0.0263361,0.01821,0.0122193,0.00868809,0.00580081,0.00450582,0.00361949,0.00199893,0.00112488,0.00177565,0.00436027,0.00417096,0.00373667,0.00580308,0.0124799,0.0269603,0.0453385,0.0647696,0.0853309,0.103631,0.115105,0.123962,0.126298
-56,0.131512,0.130261,0.129236,0.127196,0.123844,0.119205,0.110309,0.0973001,0.0765772,0.0601867,0.0449036,0.0329175,0.0243847,0.017234,0.0121751,0.00901564,0.00802327,0.00547429,0.00373941,0.00541958,0.0113893,0.0124472,0.0156352,0.024697,0.0400035,0.0563526,0.0747685,0.0912363,0.107504,0.118826,0.125627,0.1283,0.130367
-64,0.135407,0.134424,0.134595,0.133778,0.131792,0.129087,0.124732,0.118523,0.103594,0.0891285,0.0686179,0.0538426,0.0412239,0.0315952,0.023992,0.0183277,0.0191203,0.0135548,0.00860811,0.013438,0.030369,0.0364906,0.0458657,0.0592678,0.0707227,0.088257,0.104401,0.11771,0.126591,0.130372,0.131843,0.134798,0.138979
-72,0.146868,0.146857,0.149433,0.146896,0.145573,0.14403,0.141398,0.139339,0.134054,0.124758,0.112124,0.0975518,0.0778873,0.0621559,0.0492535,0.0428486,0.0539881,0.0449073,0.0293015,0.0393684,0.078196,0.0878681,0.0964923,0.105038,0.118683,0.131605,0.138998,0.141346,0.14285,0.143327,0.144026,0.151873,0.160951
-80,0.171567,0.172458,0.173056,0.171224,0.168357,0.164345,0.162426,0.160158,0.156465,0.154033,0.14727,0.13977,0.129305,0.11335,0.097169,0.0886245,0.107521,0.0965841,0.0760934,0.103748,0.137641,0.143207,0.151483,0.159983,0.16917,0.173327,0.173129,0.170815,0.170482,0.167241,0.168376,0.180865,0.183084
-88,0.200883,0.207787,0.216635,0.211667,0.210746,0.206776,0.202022,0.199805,0.195648,0.190473,0.188631,0.182672,0.178376,0.170617,0.165465,0.166254,0.204807,0.194792,0.170896,0.185491,0.201392,0.207865,0.21068,0.210371,0.209971,0.207056,0.20382,0.20315,0.198198,0.196461,0.196658,0.204034,0.207219
-96,0.225716,0.23815,0.243732,0.242097,0.240722,0.237709,0.236621,0.235188,0.231539,0.230458,0.227807,0.227267,0.224151,0.2248,0.221322,0.222478,0.241298,0.239149,0.229851,0.230766,0.23526,0.235926,0.233988,0.232096,0.227091,0.22645,0.223187,0.220648,0.2169,0.2153,0.215248,0.220327,0.2251
-104,0.24605,0.247622,0.247823,0.247825,0.24762,0.247447,0.247534,0.247507,0.247102,0.246932,0.246761,0.246474,0.246276,0.245985,0.2458,0.246191,0.2477,0.247362,0.246391,0.246323,0.246536,0.246309,0.246179,0.245458,0.244603,0.243256,0.241346,0.239467,0.236701,0.234734,0.234771,0.239848,0.241279
-112,0.24797,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.248,0.247881,0.247883,0.247825,0.247823,0.247881,0.247881,0.24797,0.247969,0.24791,0.247909,0.247939,0.247876,0.247818,0.247754,0.247663,0.247536,0.246959,0.246686,0.2459,0.245096,0.245272,0.245898,0.246863
-120,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247941,0.247969,0.247941,0.247941,0.247878,0.247848,0.247878,0.247725,0.247816,0.247909,0.247909
Scan End
