SW Version,2022.1
Date and Time Started,2023-Oct-17 13:32:50
Date and Time Ended,2023-Oct-17 13:33:02
Scan Name,2J6D0-0J6D3
Link Settings,
Reset RX After Applying Settings,false
Open Area,16640
Horizontal Opening,161
Horizontal Percentage,63.64
Vertical Opening,105
Vertical Percentage,45.16
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251934,0.251872,0.251872,0.251717,0.251903,0.25181,0.251903,0.251903,0.251194,0.250675,0.251409,0.251255,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251903
104,0.251779,0.251903,0.251903,0.251903,0.251903,0.251872,0.251409,0.25101,0.24959,0.248817,0.248702,0.246816,0.245071,0.245096,0.240547,0.241729,0.249799,0.2498,0.236492,0.22681,0.229721,0.230653,0.240877,0.248467,0.25007,0.251532,0.251316,0.250888,0.25098,0.250705,0.251255,0.251903,0.251872
96,0.239293,0.24693,0.25019,0.249679,0.248905,0.246488,0.242115,0.238,0.233448,0.227968,0.225326,0.222813,0.220316,0.216498,0.21134,0.215333,0.226646,0.221745,0.198903,0.180561,0.187286,0.192143,0.200706,0.211016,0.220883,0.234855,0.237181,0.235806,0.236097,0.236294,0.237496,0.242814,0.25013
88,0.194848,0.216186,0.226954,0.219175,0.222915,0.21534,0.209084,0.200571,0.197548,0.18522,0.17292,0.166374,0.162491,0.154907,0.149537,0.152459,0.193701,0.190443,0.141883,0.112674,0.122158,0.131636,0.134119,0.145342,0.165404,0.194343,0.207996,0.21175,0.210016,0.20633,0.214266,0.2255,0.232134
80,0.150752,0.154232,0.169959,0.165388,0.157919,0.151327,0.144497,0.132318,0.108839,0.094767,0.0880734,0.0799639,0.0782932,0.0646045,0.0627307,0.066793,0.118471,0.111938,0.0573955,0.0321009,0.0403769,0.038943,0.0456571,0.0561521,0.0789303,0.100279,0.136818,0.15143,0.155735,0.155299,0.162398,0.186216,0.200125
72,0.133706,0.133824,0.130056,0.123482,0.11427,0.101542,0.0831307,0.0648051,0.0467164,0.0375658,0.0302008,0.024461,0.0185568,0.0143203,0.011086,0.010004,0.0288185,0.0278887,0.00540241,0.00101508,0.00153449,0.00163784,0.0020248,0.00397319,0.0139431,0.0343471,0.065107,0.10393,0.120619,0.128395,0.131775,0.138385,0.152368
64,0.126554,0.124366,0.116085,0.105944,0.0915611,0.0710377,0.0473614,0.0327403,0.0211472,0.0140474,0.00986639,0.0069518,0.004237,0.00244979,0.00120093,0.000701677,0.00222889,0.00117196,6.17514e-05,2.02659e-06,3.2187e-06,4.76844e-06,5.24529e-06,3.02796e-05,0.00189093,0.010567,0.0337336,0.0703929,0.105496,0.122207,0.125928,0.126434,0.127365
56,0.125448,0.121586,0.109917,0.095847,0.0731741,0.0481832,0.0297223,0.0171741,0.0110435,0.00616846,0.00314288,0.00141849,0.000513561,0.000179174,5.7579e-05,2.24117e-05,7.59375e-05,1.9789e-05,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,0.000147583,0.00380081,0.0170736,0.0483623,0.0881838,0.114872,0.124956,0.125951,0.125967
48,0.12415,0.115029,0.101586,0.080807,0.0533215,0.0295506,0.01605,0.00865346,0.00419087,0.00138249,0.000281934,0.000103475,1.77625e-05,9.53689e-07,2.38422e-07,2.38422e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.26501e-06,0.000583538,0.00709962,0.0287919,0.0658299,0.101922,0.12007,0.125874,0.125967
