SW Version,2022.1
Date and Time Started,2024-Feb-06 19:19:30
Date and Time Ended,2024-Feb-06 19:19:40
Scan Name,Scan_2J1D3-0J1D0
Link Settings,
Reset RX After Applying Settings,false
Open Area,64
Horizontal Opening,0
Horizontal Percentage,0.00
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.247767,0.249561,0.251624,0.251255,0.250312,0.248731,0.250705,0.251439,0.249233,0.251163,0.251255,0.247969,0.250705,0.250487,0.248192,0.242799,0.245949,0.250578,0.248329,0.248731,0.248702,0.249741,0.25007,0.251563,0.251501,0.25101,0.247476,0.246961,0.244351,0.246554,0.250372,0.25101,0.251409
112,0.240281,0.249323,0.245322,0.24605,0.24485,0.245075,0.248465,0.243485,0.248465,0.241925,0.23955,0.231892,0.238266,0.23188,0.233389,0.23389,0.238877,0.228975,0.234121,0.24764,0.243496,0.23907,0.241694,0.242117,0.24299,0.248127,0.241471,0.23854,0.239262,0.238307,0.238137,0.241178,0.24768
104,0.227739,0.234531,0.232064,0.234739,0.240255,0.230209,0.229787,0.229076,0.226996,0.21745,0.22468,0.236811,0.214538,0.215604,0.20913,0.205228,0.224042,0.212313,0.210604,0.214195,0.223652,0.233765,0.239227,0.228992,0.232226,0.238043,0.238819,0.230748,0.227988,0.229395,0.233475,0.235501,0.234858
96,0.213099,0.216974,0.226766,0.219688,0.226079,0.203069,0.210683,0.209309,0.215223,0.2114,0.192828,0.192694,0.188772,0.187285,0.200345,0.171492,0.182559,0.191954,0.177178,0.19686,0.211577,0.19316,0.205309,0.199338,0.207842,0.22289,0.215655,0.229003,0.220918,0.200942,0.207275,0.213361,0.232356
88,0.191109,0.19788,0.214531,0.213114,0.196808,0.209145,0.191375,0.186413,0.193835,0.192566,0.172492,0.170235,0.184897,0.163436,0.144872,0.148005,0.173659,0.156048,0.156315,0.157099,0.171861,0.156635,0.194286,0.177373,0.179858,0.18647,0.2061,0.187058,0.189003,0.187964,0.191559,0.203287,0.214571
80,0.176077,0.179729,0.174813,0.173522,0.176784,0.180872,0.162377,0.155501,0.159545,0.14394,0.13783,0.129178,0.140658,0.120748,0.10874,0.105951,0.111393,0.11617,0.101398,0.109776,0.13442,0.14874,0.125681,0.147761,0.144969,0.171353,0.154706,0.156549,0.164793,0.161428,0.171538,0.187148,0.192288
72,0.159355,0.156899,0.161359,0.155338,0.147437,0.141897,0.134068,0.12791,0.131883,0.125304,0.120444,0.104066,0.0948813,0.0874542,0.0808723,0.072946,0.0830811,0.078484,0.0684349,0.072297,0.0895357,0.10801,0.100489,0.0996513,0.110668,0.130317,0.140105,0.145038,0.151148,0.14433,0.154993,0.162684,0.16721
64,0.146185,0.142685,0.141107,0.134225,0.129217,0.134018,0.11733,0.110361,0.108059,0.104382,0.0893109,0.0782644,0.0681114,0.0580498,0.0534536,0.0488503,0.0508963,0.0514726,0.0549552,0.0524724,0.0580335,0.0579414,0.063753,0.0814237,0.0885172,0.0921303,0.0971854,0.11972,0.118439,0.120603,0.133505,0.147133,0.155652
56,0.141062,0.137284,0.132488,0.120528,0.113058,0.113802,0.109402,0.0936185,0.0828867,0.0741579,0.0713581,0.0538054,0.0470327,0.0408937,0.0360083,0.0302784,0.0376992,0.0353967,0.0364804,0.0332539,0.0388601,0.0417564,0.0493168,0.0479783,0.0551664,0.0730596,0.0813679,0.0854812,0.108544,0.11566,0.116059,0.126881,0.135792
48,0.138686,0.12768,0.11807,0.11109,0.103861,0.0930739,0.0824856,0.0702709,0.0665413,0.0502789,0.0420049,0.0351512,0.0311186,0.0262641,0.0271725,0.021107,0.0176316,0.0194391,0.0193372,0.0178696,0.0254458,0.0281623,0.02968,0.0307126,0.0350477,0.0426821,0.050966,0.0611956,0.0828281,0.0891114,0.102712,0.113991,0.120627
40,0.139443,0.127102,0.105904,0.0969123,0.0892937,0.0750496,0.061388,0.0570658,0.0470077,0.038158,0.0305263,0.0263955,0.0227233,0.016821,0.015254,0.0126452,0.0100607,0.00912422,0.00877995,0.00776565,0.0118793,0.0122819,0.0174624,0.0176882,0.0210839,0.0275542,0.0353964,0.045815,0.0568959,0.0718365,0.0875051,0.0981827,0.117089
32,0.13402,0.114695,0.0996033,0.0830963,0.0738721,0.0582769,0.0457262,0.0393082,0.0294522,0.0252563,0.0223152,0.0181526,0.0134765,0.0111822,0.00650225,0.00562223,0.00391084,0.0028464,0.00238422,0.00227502,0.00419158,0.0063493,0.00699519,0.0102215,0.0120155,0.0162247,0.0243146,0.0307688,0.0414962,0.0535612,0.0685958,0.0918681,0.106306
24,0.127318,0.108596,0.0904875,0.0755445,0.0603069,0.0449418,0.0366645,0.0282934,0.0250811,0.018314,0.0151083,0.00931974,0.00662253,0.00534257,0.0031337,0.00208011,0.00130095,0.000800264,0.000388867,0.000654469,0.00119461,0.00166323,0.00212589,0.00445289,0.00708937,0.0101003,0.0160976,0.0210875,0.0330272,0.0415415,0.0552047,0.078461,0.101115
16,0.13263,0.110921,0.0865328,0.0653453,0.0541628,0.0404854,0.0316682,0.0228062,0.0158095,0.0139764,0.00773132,0.00500401,0.00320916,0.00154438,0.000819934,0.000283365,0.0001874,7.98714e-05,3.08757e-05,1.71664e-05,0.000280265,0.000242952,0.000437386,0.000666271,0.00236086,0.00437505,0.00890304,0.015587,0.0223112,0.033554,0.0465608,0.0677561,0.0914852
8,0.13476,0.1055,0.082799,0.0627103,0.0491275,0.0369983,0.0264001,0.0199698,0.0131162,0.00875176,0.00528463,0.00358861,0.00184122,0.00081457,0.00031579,4.95918e-05,9.53689e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.53002e-06,1.04906e-05,2.1458e-05,0.000118973,0.0005802,0.00216547,0.00604174,0.0129841,0.0220456,0.0330826,0.0450295,0.0613176,0.0839741
0,0.135761,0.105794,0.0805908,0.0623445,0.0508746,0.0374708,0.0279595,0.0200925,0.0140537,0.0105574,0.00652574,0.0049723,0.00271897,0.00171497,0.00096263,0.000449187,0.000127675,3.46904e-05,4.88766e-06,1.20403e-05,0.000104071,0.000234727,0.000198606,0.000242714,0.00140216,0.00276355,0.0070089,0.0137777,0.0213435,0.0321098,0.0446935,0.0657597,0.0902876
-8,0.130689,0.110417,0.0830515,0.0635158,0.0519434,0.038529,0.0320107,0.022684,0.0156464,0.0108752,0.00782776,0.00608334,0.00326996,0.00257782,0.00149968,0.000794542,0.000326042,0.000104191,8.71433e-05,5.1976e-05,0.000336175,0.000420577,0.000354891,0.00089754,0.00165835,0.00416738,0.00834907,0.0154299,0.0247703,0.03544,0.0498132,0.0674886,0.0916481
-16,0.129145,0.110805,0.089884,0.0728512,0.0552826,0.0450191,0.0368402,0.0314729,0.0222461,0.0196125,0.0156009,0.0100103,0.00929671,0.0050536,0.00436861,0.00261943,0.00165048,0.000892534,0.000577935,0.000857843,0.00164857,0.0024027,0.00263933,0.00410313,0.00660418,0.00970474,0.0144768,0.0208261,0.0309913,0.0425868,0.0603293,0.0779738,0.103172
-24,0.129803,0.11401,0.0975284,0.0847102,0.0705813,0.0554074,0.0479337,0.0408396,0.0321273,0.0311623,0.0228032,0.0195729,0.0173322,0.0109255,0.00845675,0.00625513,0.00486024,0.00284175,0.00354176,0.00256816,0.00503941,0.00728451,0.00808692,0.00955668,0.0125074,0.0179319,0.0221429,0.0303424,0.0416188,0.0565686,0.0751797,0.0924243,0.112183
