SW Version,2022.1
Date and Time Started,2024-Feb-06 18:55:55
Date and Time Ended,2024-Feb-06 18:56:06
Scan Name,Scan_2J5D3-0J5D0
Link Settings,
Reset RX After Applying Settings,false
Open Area,4608
Horizontal Opening,105
Horizontal Percentage,42.42
Vertical Opening,49
Vertical Percentage,22.58
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251841,0.251903,0.251903,0.251903,0.251841,0.251841,0.251872,0.251841,0.251717,0.251717,0.251409,0.250949,0.250797,0.250645,0.250706,0.251748,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
104,0.247016,0.250463,0.251409,0.250463,0.250071,0.248289,0.246477,0.246818,0.245238,0.243593,0.24176,0.240179,0.239975,0.239074,0.240722,0.240717,0.249799,0.250857,0.25147,0.25181,0.251903,0.251748,0.251841,0.251903,0.251872,0.251841,0.251779,0.251593,0.251315,0.250489,0.250125,0.251563,0.251409
96,0.217232,0.227719,0.229942,0.232306,0.225782,0.225201,0.220681,0.220589,0.218419,0.214119,0.215071,0.212994,0.209871,0.204051,0.21178,0.215102,0.234832,0.237936,0.234401,0.240846,0.248901,0.249467,0.248762,0.248363,0.247429,0.246714,0.246863,0.243661,0.23981,0.237389,0.236222,0.24212,0.24648
88,0.179526,0.182897,0.193662,0.19082,0.187867,0.182638,0.179857,0.17424,0.16729,0.163124,0.160492,0.156213,0.154876,0.149661,0.146381,0.145894,0.191381,0.197916,0.183279,0.194177,0.209514,0.217267,0.214306,0.221328,0.214985,0.209795,0.208998,0.204816,0.200226,0.194582,0.194643,0.205529,0.221131
80,0.157228,0.155153,0.154448,0.149015,0.144306,0.141006,0.137957,0.135288,0.133622,0.131559,0.12928,0.127245,0.119976,0.117273,0.10611,0.103258,0.120985,0.122564,0.111358,0.129228,0.151489,0.163314,0.171859,0.173132,0.17395,0.170953,0.173155,0.165432,0.161269,0.159187,0.158561,0.165897,0.174307
72,0.139765,0.135928,0.130887,0.128627,0.127473,0.126939,0.1266,0.126279,0.125682,0.121343,0.116427,0.109352,0.0966538,0.084709,0.0752421,0.06176,0.072494,0.0694137,0.0578309,0.0700349,0.0941764,0.101221,0.110013,0.123364,0.129724,0.136024,0.140472,0.142762,0.14061,0.138135,0.137363,0.140507,0.145245
64,0.127748,0.126724,0.126038,0.125971,0.125933,0.125768,0.125216,0.122253,0.116973,0.106047,0.0925511,0.0779645,0.0612579,0.0465153,0.0324869,0.0271083,0.029561,0.0286068,0.0217242,0.0303066,0.0568798,0.0639691,0.0708767,0.0775172,0.0902541,0.105835,0.117857,0.122929,0.126869,0.128688,0.127736,0.127703,0.128947
56,0.126086,0.125943,0.12592,0.12592,0.125735,0.12358,0.120725,0.112551,0.0994161,0.0818665,0.0652969,0.04742,0.0318999,0.023263,0.0182056,0.0144509,0.0147269,0.0126304,0.00802005,0.0145888,0.0308881,0.0383244,0.0462452,0.0556008,0.0605375,0.0739556,0.0885597,0.106718,0.116318,0.121657,0.125235,0.12606,0.126122
48,0.127111,0.125966,0.125921,0.125212,0.122986,0.117916,0.105805,0.0895092,0.0694605,0.0509142,0.0343505,0.0223569,0.0174856,0.012646,0.00827956,0.00473793,0.00413531,0.00267712,0.00134434,0.00345665,0.0108463,0.012477,0.0165919,0.0262577,0.0393791,0.0521555,0.0642322,0.080393,0.102031,0.114593,0.119703,0.125021,0.125944
