SW Version,2022.1
Date and Time Started,2023-Nov-10 14:38:58
Date and Time Ended,2023-Nov-10 14:39:17
Scan Name,ff2-CA10
Link Settings,
Reset RX After Applying Settings,false
Open Area,5056
Horizontal Opening,177
Horizontal Percentage,35.38
Vertical Opening,25
Vertical Percentage,12.90
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251872,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251934,0.251872,0.251903,0.251934,0.251903,0.251872,0.251872,0.251903,0.251872,0.251903,0.251903,0.251872
112,0.251872,0.251903,0.251903,0.251903,0.251872,0.251872,0.251872,0.251903,0.251872,0.251903,0.251872,0.251903,0.251872,0.251903,0.251872,0.251841,0.251841,0.25181,0.251841,0.251779,0.251872,0.251872,0.25181,0.251748,0.251748,0.251717,0.251748,0.251717,0.251532,0.251717,0.251563,0.251686,0.251841,0.251903,0.251872,0.25181,0.25181,0.251841,0.251841,0.251841,0.25181,0.251872,0.251903,0.251872,0.251872,0.251903,0.251841,0.251872,0.251841,0.251872,0.25181,0.25181,0.251717,0.25181,0.251686,0.251655,0.251686,0.251501,0.251624,0.251593,0.251624,0.251655,0.251841,0.251748,0.251624
104,0.251347,0.25181,0.251717,0.25181,0.251748,0.251872,0.25181,0.251655,0.251655,0.251563,0.251655,0.251409,0.251686,0.250615,0.251317,0.250797,0.251378,0.250433,0.249322,0.250827,0.249829,0.250675,0.2501,0.249591,0.249711,0.248848,0.250341,0.248578,0.24872,0.248307,0.249251,0.249611,0.250611,0.251285,0.251069,0.25067,0.250119,0.250032,0.250672,0.250704,0.250887,0.250857,0.25147,0.251378,0.251317,0.251255,0.250888,0.250705,0.250675,0.250705,0.249889,0.24992,0.249292,0.249681,0.250766,0.248262,0.248083,0.247565,0.247248,0.247711,0.247131,0.247736,0.249829,0.249351,0.248001
96,0.247854,0.248908,0.249621,0.248408,0.249561,0.248058,0.248027,0.2487,0.247594,0.248,0.246392,0.246109,0.245828,0.245632,0.245408,0.244109,0.244304,0.243242,0.243273,0.242234,0.238267,0.241167,0.239863,0.238873,0.237948,0.241457,0.236196,0.234149,0.234069,0.231801,0.233005,0.236587,0.24291,0.244371,0.24293,0.240232,0.237694,0.237521,0.236941,0.239704,0.242089,0.243441,0.244013,0.24537,0.245016,0.246255,0.244992,0.245544,0.244063,0.245114,0.243562,0.241543,0.241477,0.241661,0.237761,0.238652,0.236851,0.237387,0.235226,0.234633,0.235881,0.237265,0.240199,0.239716,0.236744
88,0.227165,0.232505,0.235979,0.237838,0.237109,0.235586,0.236311,0.234278,0.233929,0.235328,0.233355,0.229794,0.229165,0.23655,0.22648,0.225938,0.223548,0.223679,0.220098,0.220645,0.220343,0.217456,0.215451,0.217043,0.212254,0.209471,0.203725,0.204272,0.201208,0.192565,0.195196,0.205092,0.218122,0.221306,0.216959,0.208921,0.203535,0.198832,0.202898,0.2129,0.215485,0.217923,0.219777,0.225894,0.226377,0.228773,0.222766,0.226034,0.229054,0.226245,0.227028,0.224511,0.222796,0.221249,0.222045,0.219298,0.217295,0.214865,0.216139,0.214606,0.215813,0.220222,0.222351,0.224172,0.220437
80,0.189223,0.198195,0.20495,0.204267,0.200555,0.199366,0.199917,0.198369,0.194451,0.187852,0.194263,0.186952,0.188443,0.185241,0.187325,0.181311,0.17793,0.177815,0.173301,0.172965,0.168896,0.165768,0.16094,0.156316,0.15061,0.145443,0.137926,0.135503,0.132815,0.109491,0.118496,0.124291,0.153012,0.158087,0.142695,0.132766,0.120291,0.116246,0.130803,0.140691,0.158269,0.157756,0.164188,0.170335,0.171068,0.174004,0.181444,0.190272,0.187478,0.188634,0.188871,0.190116,0.185705,0.186761,0.183886,0.180279,0.18316,0.179514,0.180788,0.184097,0.182286,0.189034,0.197099,0.197342,0.19276
72,0.16132,0.162224,0.163518,0.163573,0.163871,0.159494,0.159073,0.156914,0.155956,0.155085,0.153395,0.152061,0.149844,0.145617,0.145781,0.144119,0.136929,0.137879,0.132535,0.127976,0.121684,0.117857,0.108623,0.101579,0.0931971,0.087283,0.0799556,0.0744672,0.0681016,0.0617768,0.0582183,0.0593004,0.0700003,0.0792528,0.0698814,0.0593073,0.0519363,0.0503031,0.0603707,0.0764889,0.093949,0.0987756,0.102556,0.103825,0.109179,0.115007,0.122713,0.128279,0.135673,0.137954,0.144009,0.14632,0.153924,0.154431,0.152853,0.153756,0.151309,0.152741,0.150733,0.153011,0.152015,0.155755,0.165015,0.16701,0.158263
64,0.142698,0.141394,0.138455,0.137837,0.137301,0.135828,0.134742,0.134077,0.132354,0.131575,0.130894,0.129203,0.126498,0.123655,0.120071,0.11454,0.110765,0.106375,0.0999439,0.0917145,0.081196,0.0763524,0.0675686,0.0595238,0.0529236,0.0465298,0.0403375,0.0355445,0.029747,0.0270325,0.0238607,0.0222718,0.0247512,0.0258051,0.0235317,0.0186886,0.0147719,0.0137683,0.0178794,0.0315688,0.043373,0.0515927,0.0511833,0.0550064,0.0566821,0.062508,0.0647795,0.072071,0.0772371,0.0866252,0.0957102,0.102988,0.110026,0.119241,0.117461,0.125925,0.12965,0.130551,0.132359,0.134226,0.134039,0.136053,0.139128,0.140661,0.137811
56,0.132621,0.13121,0.130165,0.129051,0.128596,0.127577,0.126733,0.126027,0.125173,0.121856,0.122327,0.11714,0.109484,0.107235,0.0989198,0.0926123,0.0842382,0.0759496,0.067247,0.0617525,0.04871,0.0470878,0.0361848,0.032964,0.0276124,0.0236403,0.0195363,0.0162318,0.0131548,0.0105457,0.00894569,0.00790262,0.00768781,0.00826256,0.00670586,0.00475164,0.00359159,0.003035,0.00415653,0.00907506,0.0153709,0.0184201,0.018967,0.0204737,0.0229784,0.0258765,0.0305768,0.0362282,0.0415219,0.0480198,0.0558046,0.0662669,0.0753258,0.0847616,0.09986,0.104126,0.110302,0.1175,0.120113,0.123814,0.126221,0.126766,0.128945,0.12977,0.129001
48,0.127595,0.126366,0.125827,0.125221,0.123656,0.122884,0.118821,0.116374,0.110415,0.108573,0.101363,0.0987572,0.0861107,0.0792321,0.0698335,0.0615637,0.0536308,0.0453118,0.0388533,0.0330631,0.0261656,0.0220683,0.017278,0.0139158,0.0112612,0.00889919,0.00636313,0.00503083,0.00379127,0.00282805,0.00214556,0.00155702,0.00157359,0.00139584,0.00100853,0.000603923,0.000426657,0.000302439,0.000523694,0.00144007,0.00284056,0.00339084,0.00354772,0.00373298,0.00467641,0.00604889,0.00839282,0.0110188,0.0155956,0.0209838,0.0273648,0.0354468,0.0426099,0.053037,0.0634307,0.0725424,0.0844034,0.0957651,0.1028,0.111979,0.116451,0.121692,0.124226,0.125675,0.125751
