SW Version,2022.1
Date and Time Started,2023-Nov-10 14:30:37
Date and Time Ended,2023-Nov-10 14:30:55
Scan Name,ff2-CA4
Link Settings,
Reset RX After Applying Settings,false
Open Area,8320
Horizontal Opening,217
Horizontal Percentage,43.08
Vertical Opening,41
Vertical Percentage,19.35
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247939,0.247969,0.24797,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.24797,0.247939,0.247939,0.247969,0.247939
112,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247969,0.247969,0.24797,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247941,0.247939,0.247767,0.247969,0.247969,0.247969,0.247854,0.247854,0.247883,0.247852,0.247765,0.247939,0.247912,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.24797,0.247969,0.247939
104,0.247418,0.247941,0.247823,0.247823,0.247478,0.247939,0.247765,0.247854,0.247678,0.246562,0.246733,0.247303,0.24642,0.245019,0.245825,0.245182,0.245657,0.244085,0.245405,0.244163,0.245155,0.244826,0.242951,0.243809,0.243381,0.241887,0.243168,0.243241,0.241992,0.244019,0.244575,0.246785,0.247701,0.247759,0.247883,0.247972,0.247879,0.247909,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247448,0.247294,0.246349,0.247661,0.247019,0.247907,0.247109,0.244799
96,0.240281,0.240204,0.240563,0.243809,0.243678,0.241135,0.239981,0.240871,0.239024,0.242023,0.240594,0.238918,0.240312,0.240235,0.236105,0.236765,0.237247,0.23437,0.235087,0.235719,0.234424,0.236297,0.233984,0.234874,0.231966,0.230565,0.232057,0.229591,0.228848,0.228014,0.232154,0.236143,0.241469,0.240654,0.24069,0.240972,0.243264,0.245995,0.247698,0.247632,0.247723,0.24791,0.247969,0.247939,0.247939,0.247969,0.247939,0.247878,0.247972,0.247939,0.247939,0.247909,0.247907,0.247816,0.247141,0.246682,0.243114,0.240342,0.241642,0.239556,0.239395,0.238431,0.23999,0.239314,0.235998
88,0.233422,0.233459,0.234955,0.234149,0.233054,0.233032,0.233445,0.233197,0.232342,0.232417,0.232297,0.232218,0.232386,0.232218,0.23213,0.231954,0.232055,0.230591,0.232072,0.230256,0.229828,0.226659,0.225247,0.225234,0.221612,0.221452,0.219906,0.221299,0.221204,0.220356,0.220264,0.221705,0.227693,0.226358,0.227326,0.225509,0.227718,0.22739,0.231572,0.239108,0.240286,0.244507,0.24554,0.244126,0.244271,0.247598,0.246169,0.246958,0.246682,0.245629,0.244917,0.243258,0.239153,0.235922,0.234229,0.230954,0.229342,0.228588,0.229255,0.225756,0.225951,0.228286,0.230861,0.229378,0.225598
80,0.228473,0.231095,0.231117,0.231573,0.230794,0.230803,0.23044,0.227276,0.227769,0.227036,0.22903,0.226726,0.224506,0.226393,0.220962,0.218813,0.217974,0.21835,0.21043,0.205722,0.208586,0.202778,0.20269,0.195396,0.201363,0.199945,0.196219,0.194938,0.191069,0.194644,0.195075,0.207589,0.211598,0.211413,0.208619,0.207949,0.208017,0.206398,0.209878,0.218058,0.22234,0.229426,0.230987,0.235587,0.234503,0.233158,0.231391,0.231579,0.229216,0.226677,0.228701,0.22432,0.224041,0.219755,0.220934,0.22153,0.217348,0.215201,0.21629,0.216627,0.215634,0.219249,0.222078,0.22121,0.213098
72,0.195034,0.201455,0.205982,0.210477,0.206346,0.202919,0.204063,0.196727,0.199578,0.198338,0.192027,0.189516,0.193777,0.182027,0.176684,0.174001,0.167596,0.161962,0.15966,0.158809,0.153202,0.150283,0.143592,0.142452,0.135935,0.130942,0.129522,0.128199,0.122351,0.12445,0.125609,0.147208,0.163129,0.165843,0.156674,0.14287,0.1413,0.144089,0.164016,0.170113,0.181553,0.18676,0.193554,0.191568,0.19179,0.194645,0.201124,0.200996,0.202397,0.199951,0.200205,0.197076,0.198252,0.198468,0.19261,0.191963,0.188953,0.185707,0.183453,0.183976,0.184964,0.189404,0.200172,0.194169,0.185616
64,0.171451,0.170169,0.166772,0.167788,0.165453,0.163371,0.16184,0.160357,0.155986,0.155872,0.148607,0.146951,0.140863,0.136693,0.132303,0.129141,0.127154,0.123608,0.121769,0.118623,0.115089,0.114294,0.113111,0.108983,0.100153,0.0981826,0.093972,0.0861151,0.0762448,0.0710698,0.0711072,0.076513,0.0835081,0.0751091,0.0757232,0.0667425,0.0642704,0.0711152,0.100217,0.121611,0.13136,0.131683,0.135721,0.14219,0.147828,0.150768,0.156925,0.159129,0.158864,0.168153,0.162029,0.167403,0.161463,0.160763,0.156103,0.155401,0.155356,0.150824,0.15362,0.155611,0.154042,0.157772,0.168387,0.165446,0.154605
56,0.15536,0.1535,0.150611,0.148506,0.147987,0.145418,0.143033,0.13979,0.138544,0.1357,0.129455,0.127546,0.126757,0.123125,0.121937,0.118282,0.114148,0.112355,0.109899,0.105844,0.098422,0.0927821,0.0874101,0.0793807,0.0710352,0.0654988,0.0585272,0.0534171,0.0477573,0.0434588,0.040949,0.0420778,0.0439517,0.0430146,0.0387063,0.0353641,0.0322849,0.0325137,0.0465461,0.0728517,0.0852137,0.0865752,0.0840222,0.0871783,0.0860942,0.0938927,0.0993245,0.106781,0.111144,0.114931,0.120378,0.123993,0.12719,0.132975,0.130779,0.130089,0.133189,0.138235,0.13894,0.140427,0.141763,0.145696,0.14691,0.147219,0.145331
48,0.13416,0.136044,0.136845,0.136628,0.135115,0.13324,0.126782,0.123808,0.120502,0.117886,0.115606,0.114581,0.112302,0.107632,0.102316,0.0976173,0.0958075,0.0871242,0.0781676,0.068818,0.0589948,0.054639,0.0465569,0.0415039,0.0360661,0.032824,0.0278945,0.0254449,0.0228121,0.0215432,0.0203111,0.021222,0.0234922,0.0220434,0.0200179,0.017015,0.0142941,0.0125076,0.0149099,0.0242684,0.034373,0.0407141,0.0441581,0.0491068,0.0515325,0.0544964,0.0601466,0.0632543,0.068483,0.0727493,0.0805296,0.0909345,0.0976814,0.10528,0.110961,0.116307,0.11895,0.121136,0.122229,0.124819,0.1265,0.130632,0.136618,0.136461,0.134551
40,0.12908,0.12737,0.126924,0.120251,0.117081,0.114459,0.111802,0.109286,0.107732,0.104819,0.102112,0.0973292,0.0890642,0.0848887,0.0750325,0.0660518,0.0579447,0.0535675,0.0445196,0.0380089,0.0327435,0.027763,0.0239349,0.021188,0.0180622,0.016091,0.015345,0.0142179,0.0133477,0.0119528,0.0113464,0.011037,0.0117742,0.0108134,0.00824106,0.00541338,0.00359374,0.00264291,0.00344878,0.00715338,0.01165,0.0142447,0.0161729,0.0157868,0.0180641,0.0220291,0.0254816,0.0309715,0.0379501,0.0459147,0.0557568,0.0644437,0.0722485,0.0796314,0.0869669,0.0973795,0.103941,0.108658,0.111545,0.114049,0.114259,0.117785,0.119515,0.122419,0.122908
32,0.12547,0.117377,0.113768,0.10989,0.107871,0.104967,0.102324,0.0950442,0.0887602,0.0834611,0.0743943,0.068851,0.0608641,0.053292,0.0452591,0.0396141,0.0324804,0.0271203,0.0207452,0.0176243,0.0156089,0.0133804,0.0123184,0.0115736,0.0105144,0.00972955,0.00832106,0.00706171,0.00550636,0.00424463,0.00313144,0.00249545,0.00186649,0.00156012,0.000732314,0.000399953,9.31039e-05,5.99632e-05,6.91424e-05,0.000363236,0.000957027,0.00130322,0.00110163,0.000791085,0.00121536,0.00261752,0.00502153,0.00892653,0.0130524,0.0178886,0.023985,0.0326269,0.0438835,0.0532377,0.0595172,0.0666227,0.0760976,0.0854152,0.0934949,0.101584,0.10676,0.110254,0.112933,0.114677,0.115152
24,0.120241,0.114521,0.107938,0.100357,0.0933454,0.0866049,0.0787872,0.0712642,0.0661587,0.0612094,0.0529918,0.0454901,0.0368479,0.029681,0.0240195,0.0203257,0.0164192,0.0137868,0.0125364,0.0114041,0.0101115,0.00925037,0.00815576,0.00693236,0.00521954,0.0034905,0.00260917,0.00143184,0.000978127,0.000437505,0.000233535,0.000151994,0.000100137,2.68225e-05,1.08482e-05,2.26501e-06,2.38422e-07,4.76844e-07,2.38422e-07,7.15267e-07,4.53002e-06,1.08482e-05,3.42136e-05,3.8982e-05,7.03346e-06,5.74598e-05,0.00024021,0.000964656,0.00298946,0.00603447,0.0095103,0.0135696,0.0186827,0.0284918,0.0408144,0.0504853,0.0559013,0.0603239,0.066546,0.0763279,0.082417,0.0942418,0.10303,0.110525,0.113662
