SW Version,2022.1
Date and Time Started,2023-Nov-10 14:43:49
Date and Time Ended,2023-Nov-10 14:44:07
Scan Name,ff2-CA7
Link Settings,
Reset RX After Applying Settings,false
Open Area,12608
Horizontal Opening,289
Horizontal Percentage,56.92
Vertical Opening,57
Vertical Percentage,25.81
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.247969,0.247939,0.247939,0.247969,0.24797,0.24797,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.24797,0.247969,0.247939,0.24797,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247969,0.247969,0.247939,0.24797,0.247939,0.24797,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939
112,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.24797,0.247939,0.247939,0.247969,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969
104,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247969,0.247939,0.247969,0.247969,0.247939,0.247939,0.24797,0.247939,0.247969,0.247969,0.247969,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.24797,0.247939,0.24797,0.247969,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247969,0.247939,0.247939,0.24797
96,0.247969,0.247969,0.247969,0.247939,0.247939,0.247969,0.247969,0.247969,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.24791,0.247939,0.24797,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247939,0.247939,0.247939
88,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.24797,0.247969,0.247939,0.247939,0.247969,0.24791,0.247939,0.247939,0.24797,0.247939,0.24791,0.247941,0.24762,0.247825,0.247505,0.247449,0.247447,0.247476,0.246446,0.247131,0.246588,0.24719,0.247765,0.247939,0.247939,0.24797,0.247939,0.247909,0.247816,0.24791,0.247939,0.247972,0.24791,0.248001,0.24791,0.247941,0.247879,0.247939,0.247848,0.247848,0.247939,0.247818,0.247878,0.247847,0.247848,0.247507,0.246987,0.246955,0.246501,0.246895,0.245035,0.245124,0.247446,0.247694,0.247019
80,0.245629,0.246704,0.247447,0.247447,0.247622,0.247476,0.247219,0.247102,0.246562,0.247076,0.24679,0.246022,0.246276,0.245685,0.244909,0.245102,0.243759,0.242309,0.242525,0.242388,0.240748,0.241213,0.241078,0.239545,0.240327,0.23908,0.237805,0.236203,0.235687,0.234861,0.234378,0.238633,0.240575,0.244247,0.243572,0.242491,0.241743,0.241211,0.242656,0.242823,0.245244,0.243314,0.244801,0.245451,0.244242,0.244652,0.243632,0.24369,0.242771,0.240719,0.240996,0.239015,0.241726,0.239498,0.236725,0.235856,0.234631,0.234797,0.233424,0.232952,0.231664,0.232394,0.23452,0.236533,0.23661
72,0.226856,0.23349,0.23643,0.237587,0.237667,0.234809,0.233018,0.231866,0.232099,0.230323,0.227809,0.225872,0.224456,0.224135,0.221086,0.222286,0.219381,0.219196,0.214979,0.215227,0.212789,0.212529,0.212545,0.207781,0.205655,0.201382,0.198206,0.191979,0.184835,0.183282,0.178645,0.181088,0.19487,0.209782,0.207666,0.196189,0.191645,0.196442,0.196974,0.20453,0.213908,0.210943,0.214312,0.215878,0.217878,0.222398,0.221605,0.220066,0.221564,0.221243,0.216502,0.218022,0.216332,0.217721,0.215561,0.214134,0.213455,0.211689,0.210556,0.208876,0.208363,0.209018,0.215561,0.215591,0.211587
64,0.19029,0.198287,0.200675,0.20107,0.199124,0.200837,0.19283,0.194491,0.19016,0.191207,0.188765,0.187659,0.185021,0.184294,0.18219,0.178334,0.177852,0.176434,0.174146,0.170116,0.166649,0.161465,0.155071,0.147193,0.14055,0.135093,0.128861,0.118903,0.11159,0.105584,0.098513,0.0956767,0.115481,0.132332,0.12563,0.115293,0.107645,0.109663,0.109889,0.136867,0.150574,0.154621,0.159245,0.165165,0.164623,0.169331,0.171325,0.175779,0.180204,0.182006,0.185068,0.185048,0.18636,0.186002,0.182536,0.181245,0.180055,0.17921,0.176651,0.176225,0.177732,0.17795,0.185752,0.190234,0.185535
56,0.163517,0.161451,0.163798,0.164585,0.164163,0.16226,0.159584,0.157498,0.156664,0.155132,0.153924,0.150011,0.151306,0.147099,0.144261,0.142504,0.137543,0.134152,0.128787,0.118161,0.113589,0.105664,0.0960979,0.0869985,0.0813211,0.074431,0.0654897,0.0575817,0.0512911,0.046464,0.0414054,0.0405486,0.0503267,0.0562733,0.0510797,0.0446304,0.0367927,0.0346547,0.0469752,0.070042,0.0891329,0.0983439,0.097611,0.101792,0.100184,0.107329,0.11151,0.117766,0.125878,0.131509,0.1339,0.140443,0.143091,0.147282,0.146882,0.151588,0.14723,0.148937,0.149131,0.148467,0.148424,0.15308,0.16058,0.162426,0.159937
48,0.140959,0.139672,0.137519,0.135523,0.135059,0.133575,0.132228,0.131377,0.130102,0.128772,0.127443,0.12588,0.122546,0.118377,0.112751,0.104912,0.0961405,0.0898601,0.0817382,0.0731313,0.0622152,0.0538285,0.0472004,0.0414833,0.0335052,0.0286158,0.0233991,0.0178207,0.0151201,0.0116834,0.00981361,0.0086974,0.00934647,0.0106908,0.00952056,0.00698267,0.00599954,0.00521024,0.00800109,0.0185834,0.0299107,0.0338914,0.0366156,0.0385943,0.041718,0.0449523,0.0516782,0.0582499,0.0629097,0.0708126,0.079635,0.0857737,0.0961018,0.104704,0.110978,0.117616,0.121488,0.12552,0.128066,0.128876,0.131358,0.131391,0.134782,0.135948,0.133295
