SW Version,2022.1
Date and Time Started,2023-Nov-10 14:34:43
Date and Time Ended,2023-Nov-10 14:35:03
Scan Name,ff2-CA12
Link Settings,
Reset RX After Applying Settings,false
Open Area,20096
Horizontal Opening,289
Horizontal Percentage,56.92
Vertical Opening,81
Vertical Percentage,35.48
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.24797,0.247969,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.24797,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.24797,0.247969,0.247969,0.24797,0.247939,0.247939,0.247969,0.247939,0.24797,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.24797,0.247939,0.247969,0.247939,0.247939
112,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247939,0.247969,0.247969,0.24797,0.24797,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.24797,0.247939,0.247969,0.247939,0.247939,0.24797,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.24797,0.247939,0.247939,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939
104,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247969,0.247969,0.247939,0.247939,0.24797,0.247969,0.247939,0.247969,0.24797,0.247939,0.247969,0.247939,0.247941,0.247941,0.247939,0.247912,0.247939,0.247939,0.247939,0.24797,0.247969,0.247939,0.247939,0.247969,0.247969,0.247939,0.247939,0.247939,0.247969,0.247939,0.247969,0.247969,0.24797,0.24797,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.247939,0.24797,0.247939,0.247939,0.247939,0.247939,0.247969
96,0.247536,0.247881,0.247939,0.247969,0.24797,0.247939,0.247939,0.247939,0.247941,0.247883,0.247852,0.247767,0.247738,0.247447,0.247016,0.246559,0.246559,0.246106,0.245464,0.244853,0.244163,0.243728,0.242818,0.242441,0.241939,0.241734,0.241182,0.239924,0.239772,0.239772,0.239293,0.240691,0.244743,0.247563,0.247707,0.247653,0.247678,0.247612,0.247694,0.247725,0.247816,0.247909,0.24791,0.24797,0.247941,0.24791,0.247939,0.247939,0.247907,0.247909,0.247816,0.247694,0.247631,0.247725,0.2476,0.247294,0.246804,0.24638,0.245779,0.244976,0.244652,0.244038,0.246079,0.247509,0.247201
88,0.236223,0.240465,0.243001,0.243868,0.243543,0.24226,0.240409,0.238843,0.237496,0.236287,0.23532,0.234355,0.232786,0.231074,0.229542,0.227526,0.226965,0.224336,0.223872,0.222779,0.222681,0.219316,0.218553,0.217789,0.215791,0.215937,0.213747,0.211141,0.211978,0.210568,0.207153,0.210252,0.22361,0.233596,0.235224,0.229509,0.225838,0.226214,0.229778,0.23392,0.237009,0.23897,0.24131,0.241884,0.242854,0.242371,0.241834,0.241271,0.240359,0.239504,0.238427,0.237391,0.235938,0.234663,0.233025,0.231663,0.230548,0.227936,0.226538,0.224908,0.224297,0.225492,0.230302,0.233317,0.229807
80,0.200695,0.205925,0.211796,0.210634,0.211025,0.209375,0.206201,0.204291,0.202425,0.1998,0.19621,0.195093,0.192223,0.191907,0.188626,0.187487,0.185206,0.185128,0.181427,0.181709,0.179583,0.177598,0.176336,0.174449,0.170186,0.166146,0.161672,0.155221,0.150112,0.144835,0.137764,0.137621,0.157606,0.176373,0.176426,0.163031,0.151476,0.148877,0.160576,0.178321,0.185761,0.190194,0.193748,0.198264,0.202002,0.208826,0.214168,0.215069,0.215634,0.213649,0.212859,0.211167,0.210094,0.208442,0.206613,0.204899,0.203949,0.199862,0.198442,0.197774,0.196254,0.198137,0.205061,0.207414,0.20368
72,0.152711,0.154091,0.158319,0.159914,0.15834,0.157836,0.15465,0.152881,0.152069,0.149866,0.148572,0.147693,0.146386,0.144819,0.14374,0.142647,0.140157,0.138544,0.136277,0.133758,0.128429,0.123794,0.116065,0.108319,0.101689,0.0938531,0.0845994,0.0741038,0.0669453,0.05985,0.0533843,0.0528651,0.0653258,0.0792973,0.0752727,0.062111,0.0509108,0.0453131,0.0549222,0.0879309,0.106681,0.11229,0.117726,0.12051,0.124894,0.130696,0.136791,0.14308,0.150529,0.155957,0.16095,0.162562,0.16272,0.160561,0.158839,0.156888,0.154708,0.154008,0.152458,0.151462,0.151979,0.1545,0.165363,0.173529,0.170203
64,0.136388,0.134662,0.132629,0.13187,0.130913,0.129933,0.129257,0.128779,0.128234,0.127882,0.12739,0.126543,0.125178,0.123698,0.122038,0.120216,0.117113,0.111532,0.105019,0.0993149,0.0908931,0.0800478,0.0693198,0.0609202,0.0519154,0.0445116,0.0389352,0.0327925,0.0279798,0.0244335,0.0206577,0.01752,0.0183862,0.0200843,0.017414,0.0127892,0.0094598,0.00828124,0.0124175,0.0275323,0.0420109,0.0493215,0.0516909,0.0548696,0.056929,0.0614613,0.0651462,0.0727295,0.0804025,0.0895609,0.0988583,0.108329,0.116249,0.123834,0.127162,0.129715,0.130643,0.129659,0.129675,0.129797,0.129965,0.131427,0.13516,0.13839,0.13606
56,0.12943,0.128408,0.127376,0.126761,0.126303,0.126099,0.126012,0.125839,0.12529,0.124071,0.122755,0.121068,0.119098,0.115863,0.109705,0.102996,0.0949718,0.0861361,0.0744284,0.0609008,0.051374,0.0434298,0.0368473,0.0309718,0.0251015,0.0214628,0.0174249,0.0137371,0.0101998,0.00711798,0.00471373,0.00331955,0.00336068,0.00362271,0.00259761,0.00157728,0.00102033,0.000974074,0.00207547,0.0061892,0.010548,0.0121486,0.0108386,0.0107245,0.0124218,0.017148,0.0228135,0.0298422,0.0375858,0.0462747,0.0562438,0.0682851,0.0815754,0.0942104,0.105705,0.112928,0.117412,0.121413,0.124829,0.125797,0.125967,0.126037,0.126506,0.127175,0.126625
48,0.126014,0.125955,0.125893,0.12589,0.125828,0.125059,0.123909,0.122077,0.120526,0.117295,0.113173,0.105653,0.0981581,0.0888568,0.0762916,0.0633106,0.0532827,0.0420218,0.0343436,0.0279885,0.0231149,0.0183524,0.0145255,0.0106867,0.00742733,0.00488241,0.00324481,0.00198439,0.00115098,0.000635753,0.000185016,4.93534e-05,2.12196e-05,1.95506e-05,5.72213e-06,8.34478e-07,7.15267e-07,2.38422e-07,4.76844e-06,0.000429637,0.00114884,0.000889196,0.000436193,0.000171902,8.69049e-05,0.00023878,0.000988379,0.00361007,0.00877489,0.0172127,0.0244774,0.0327503,0.0434372,0.0557555,0.0710024,0.0865344,0.101219,0.108776,0.113488,0.118115,0.122613,0.1252,0.125951,0.125967,0.125975
40,0.124838,0.123763,0.123342,0.122165,0.120611,0.119179,0.116707,0.110486,0.103412,0.0928364,0.0826862,0.0694416,0.0582406,0.0455146,0.0365736,0.0293238,0.0233128,0.0185984,0.0141314,0.00987289,0.00643645,0.00416023,0.00256983,0.00152948,0.000836028,0.000304823,7.64143e-05,7.98714e-06,9.53689e-07,3.57633e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.57633e-07,4.76844e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.86107e-06,7.79641e-05,0.000637779,0.00278775,0.0086918,0.0181476,0.0274293,0.0365288,0.0474653,0.0612661,0.0757057,0.0913728,0.10235,0.109656,0.115429,0.121261,0.125427,0.12592
32,0.127152,0.120499,0.118,0.116417,0.112058,0.102996,0.0925344,0.0808197,0.06964,0.057605,0.0456648,0.0354493,0.0281424,0.0225688,0.0170059,0.0122003,0.00775397,0.00494345,0.00301497,0.00167766,0.000877513,0.000314002,2.96836e-05,4.88766e-06,5.96056e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,4.76844e-07,6.07977e-06,0.000139835,0.00110604,0.00522359,0.012637,0.022108,0.0315586,0.0417676,0.0533105,0.0674679,0.0822606,0.097186,0.108589,0.115322,0.12
24,0.132783,0.119011,0.106525,0.0931872,0.0808375,0.070225,0.0587687,0.0480565,0.0383516,0.0292384,0.0231201,0.0177511,0.0127445,0.00853346,0.00506158,0.00291733,0.00166824,0.000746381,0.000233415,2.08619e-05,8.34478e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,2.38422e-07,3.33791e-06,0.000124337,0.000995532,0.00422341,0.0110045,0.0196297,0.0290857,0.0392632,0.0504139,0.0636355,0.081229,0.0990106,0.109282
