SW Version,2022.1
Date and Time Started,2023-Nov-10 14:42:13
Date and Time Ended,2023-Nov-10 14:42:32
Scan Name,ff2-CA9
Link Settings,
Reset RX After Applying Settings,false
Open Area,3456
Horizontal Opening,49
Horizontal Percentage,10.77
Vertical Opening,17
Vertical Percentage,9.68
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
112,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903,0.251872,0.251903,0.251903,0.251872,0.251841,0.251841,0.251872,0.251872,0.251841,0.251872,0.251872,0.251841,0.251841,0.251748,0.251841,0.251748,0.251841,0.251779,0.251872,0.251779,0.251841,0.251872,0.251872,0.251872,0.251841,0.251872,0.251872,0.251903,0.251872,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251934,0.251903,0.251903,0.251872,0.251872,0.251872,0.251903,0.251872,0.251903,0.251872,0.251872,0.251903,0.251903
104,0.251717,0.25181,0.25181,0.251841,0.25181,0.251872,0.251779,0.251748,0.251841,0.251748,0.251748,0.251655,0.251532,0.251655,0.25147,0.251501,0.251532,0.251378,0.251409,0.251255,0.251163,0.250949,0.250828,0.250585,0.250797,0.250372,0.2501,0.249589,0.25007,0.250402,0.249978,0.250341,0.251224,0.251532,0.251501,0.251563,0.251501,0.251531,0.251624,0.251655,0.251841,0.251779,0.251779,0.25181,0.251841,0.251779,0.25181,0.25181,0.251872,0.251748,0.251686,0.25181,0.251841,0.25181,0.251748,0.251717,0.251655,0.251748,0.251717,0.251624,0.251779,0.251748,0.25181,0.251872,0.251748
96,0.248145,0.249203,0.250736,0.25098,0.250402,0.250191,0.250251,0.249353,0.24959,0.248997,0.248614,0.248612,0.247736,0.247303,0.245713,0.246166,0.246304,0.245102,0.244712,0.243651,0.242711,0.242951,0.240398,0.240542,0.241011,0.238981,0.238248,0.237952,0.23751,0.238797,0.238761,0.24079,0.244356,0.247624,0.247362,0.246654,0.245753,0.245893,0.246988,0.24857,0.249784,0.250272,0.250611,0.251008,0.250733,0.250917,0.250885,0.250795,0.250795,0.250398,0.250243,0.250063,0.249977,0.249888,0.2494,0.24926,0.248842,0.248371,0.24923,0.249231,0.249051,0.2492,0.250463,0.250675,0.249559
88,0.229867,0.236034,0.239778,0.241156,0.239652,0.240409,0.235414,0.237417,0.234932,0.233921,0.233936,0.231989,0.230494,0.228422,0.227942,0.229416,0.225464,0.226173,0.225441,0.221886,0.221038,0.219692,0.218783,0.219566,0.216844,0.215711,0.216084,0.213072,0.212428,0.211154,0.210532,0.215126,0.226125,0.23265,0.23079,0.224438,0.220012,0.220002,0.221993,0.228519,0.232121,0.235412,0.238965,0.240692,0.241967,0.243104,0.243687,0.244283,0.242299,0.240939,0.240513,0.239883,0.237785,0.236119,0.235842,0.236285,0.234583,0.233692,0.233283,0.233087,0.232595,0.236149,0.240679,0.24167,0.237387
80,0.187452,0.192473,0.200861,0.203968,0.203963,0.203132,0.198012,0.196735,0.192887,0.191544,0.188374,0.191642,0.188672,0.189294,0.185975,0.183756,0.178875,0.179206,0.179044,0.17523,0.173639,0.172118,0.166975,0.164408,0.161474,0.158026,0.156248,0.148565,0.14716,0.141436,0.138089,0.143674,0.163061,0.179386,0.178794,0.165553,0.15261,0.146794,0.147486,0.163459,0.173136,0.176782,0.185807,0.187542,0.189908,0.194003,0.198796,0.202273,0.205921,0.206279,0.203997,0.204378,0.203252,0.199779,0.196832,0.199029,0.195117,0.193843,0.193346,0.19501,0.194567,0.19951,0.211604,0.214644,0.207101
72,0.161928,0.162486,0.161865,0.16114,0.158432,0.157713,0.155408,0.153675,0.152512,0.150947,0.148455,0.147509,0.146113,0.14399,0.14227,0.14057,0.1396,0.137283,0.135109,0.131845,0.12731,0.122668,0.119327,0.114334,0.108246,0.103535,0.0986357,0.093055,0.0879955,0.0820658,0.0763971,0.074653,0.0813684,0.0892386,0.0823363,0.0705367,0.0605612,0.0592059,0.0649365,0.086958,0.107557,0.115764,0.117925,0.119541,0.122714,0.126513,0.131587,0.137858,0.142456,0.145616,0.150723,0.156137,0.157544,0.159525,0.15935,0.158797,0.15589,0.154464,0.155295,0.155923,0.155359,0.158556,0.167899,0.170396,0.161946
64,0.143063,0.140833,0.138842,0.136904,0.135989,0.134362,0.133126,0.132344,0.131606,0.130904,0.129794,0.129273,0.128085,0.126957,0.125329,0.123498,0.120475,0.115892,0.111672,0.105707,0.100561,0.0957132,0.08933,0.0828386,0.0754605,0.0690745,0.0625069,0.0546193,0.0476934,0.0418253,0.037999,0.0349816,0.0346305,0.0351372,0.0321959,0.025516,0.0204598,0.0185617,0.020367,0.0339168,0.0522401,0.063464,0.0670456,0.0693286,0.0700264,0.0734702,0.0749755,0.0789589,0.0852895,0.0913415,0.0986254,0.105331,0.11212,0.119602,0.125708,0.130259,0.132404,0.134632,0.134304,0.135467,0.135618,0.13788,0.140999,0.142062,0.139996
56,0.131399,0.129621,0.1283,0.127861,0.127464,0.127171,0.126782,0.126464,0.126097,0.125235,0.12434,0.122429,0.120302,0.117229,0.113027,0.106961,0.100572,0.0962078,0.0886831,0.0822684,0.074337,0.0669763,0.0575387,0.050865,0.0443079,0.0369327,0.0319607,0.0263235,0.0223549,0.0189326,0.0160786,0.0141014,0.01381,0.0136973,0.0111674,0.00835995,0.00656698,0.00537213,0.0064585,0.0112826,0.0175968,0.0233926,0.0267001,0.0279494,0.0308095,0.034546,0.0378155,0.0424948,0.0464837,0.0525095,0.0579418,0.0658355,0.0735672,0.0834921,0.0925091,0.102304,0.110415,0.116066,0.121074,0.124067,0.125942,0.127181,0.128508,0.128574,0.128185
48,0.129468,0.127261,0.12604,0.125847,0.12536,0.124829,0.124199,0.122923,0.12111,0.117484,0.113571,0.10801,0.102413,0.0935267,0.0879933,0.0800262,0.0729384,0.0650407,0.055964,0.0483904,0.0407161,0.0334233,0.0270918,0.0224768,0.0181017,0.0149498,0.0121893,0.00938722,0.00714289,0.00547644,0.00439877,0.00324803,0.00280086,0.00258414,0.00177446,0.00116422,0.000760686,0.000669728,0.00096859,0.00270132,0.00486441,0.00613127,0.00619326,0.00608453,0.00633512,0.0070753,0.00900139,0.0123109,0.0163721,0.0219937,0.0279908,0.034845,0.0424774,0.0505581,0.0594795,0.0689633,0.080366,0.092032,0.10063,0.108364,0.115253,0.12035,0.124402,0.125396,0.12592
40,0.13489,0.130219,0.126094,0.123249,0.119918,0.117915,0.114133,0.110025,0.104211,0.0972344,0.0891841,0.080668,0.0721531,0.0654231,0.0562816,0.0480565,0.0388139,0.0316573,0.0256459,0.0206975,0.0162807,0.0128604,0.0100103,0.00751245,0.00538977,0.00387114,0.00260142,0.00166049,0.00106467,0.000677715,0.000488169,0.0003264,0.000254873,0.000187519,0.000137689,8.23749e-05,6.2109e-05,4.31544e-05,8.89315e-05,0.000288729,0.0007012,0.000787509,0.000786197,0.000685941,0.000670086,0.000813973,0.00114574,0.00177887,0.00291304,0.00479002,0.00782001,0.01205,0.0178014,0.0245478,0.0318167,0.0401276,0.0490993,0.0583157,0.0687363,0.0797814,0.0902475,0.10115,0.110211,0.117311,0.121336
32,0.140143,0.13112,0.123484,0.115181,0.10968,0.101953,0.0932658,0.0857014,0.0778622,0.0692924,0.0620064,0.0529891,0.0441671,0.0356969,0.0285951,0.0222066,0.0174629,0.0134224,0.0104971,0.00766766,0.00545188,0.00360304,0.00237755,0.0014409,0.000863804,0.000537046,0.000322228,0.00018585,0.000114443,7.03346e-05,4.44657e-05,3.75515e-05,1.96698e-05,1.49014e-05,8.10636e-06,6.67582e-06,2.26501e-06,1.78817e-06,7.03346e-06,4.02934e-05,8.21365e-05,8.70241e-05,7.9633e-05,7.84409e-05,6.73543e-05,9.22694e-05,0.000128867,0.000198725,0.000397569,0.000724207,0.00132038,0.00254146,0.00455327,0.00770235,0.0120763,0.017886,0.0248756,0.0329784,0.0409806,0.0508172,0.0621872,0.0747399,0.0872477,0.0985879,0.106831
